date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,171.12,171.12,171.12,171.12,171.12,100,17112.0,1
2019-11-01,09:32,09:32 AM,170.96,170.74,170.96,170.74,170.923,603,103066.88,4
2019-11-01,09:33,09:33 AM,170.925,170.72,170.925,170.915,170.747,109,18611.435,5
2019-11-01,09:34,09:34 AM,170.9,170.4,170.9,170.4,170.41,102,17381.84,3
2019-11-01,09:35,09:35 AM,170.0,170.0,170.0,170.0,170.0,100,17000.0,1
2019-11-01,09:36,09:36 AM,170.13,170.13,170.13,170.13,170.13,2,340.26,1
2019-11-01,09:37,09:37 AM,170.135,169.98,169.98,170.125,170.08900000000003,378,64293.53,5
2019-11-01,09:38,09:38 AM,170.335,170.105,170.105,170.335,170.22,200,34044.0,2
2019-11-01,09:39,09:39 AM,170.635,170.415,170.635,170.415,170.525,200,34105.0,2
2019-11-01,09:40,09:40 AM,170.74,170.435,170.435,170.575,170.543,600,102326.0,6
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,170.52,170.31,170.52,170.38,170.359,304,51789.08,3
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,170.32,170.27,170.27,170.27,170.295,400,68118.0,3
2019-11-01,09:48,09:48 AM,170.22,170.22,170.22,170.22,170.22,100,17022.0,1
2019-11-01,09:49,09:49 AM,169.97,169.88,169.88,169.97,169.925,200,33985.0,3
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,169.64,169.64,169.64,169.64,169.64,200,33928.0,1
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,169.875,169.875,169.875,169.875,169.875,400,67950.0,2
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,170.06,170.035,170.06,170.035,170.048,400,68019.0,2
2019-11-01,10:00,10 AM,169.92,169.55,169.92,169.735,169.645,2400,407147.25,12
2019-11-01,10:01,10:01 AM,170.0,169.85,169.85,169.99,169.952,400,67981.0,4
2019-11-01,10:02,10:02 AM,170.28,170.16,170.16,170.28,170.2,300,51060.0,3
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,170.64,170.56,170.64,170.56,170.6,200,34120.0,3
2019-11-01,10:05,10:05 AM,170.63,170.61,170.61,170.63,170.62,200,34124.0,2
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,170.79,170.62,170.71,170.62,170.676,408,69635.68,4
2019-11-01,10:09,10:09 AM,170.24,170.24,170.24,170.24,170.24,200,34048.0,1
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,170.49,170.49,170.49,170.49,170.49,100,17049.0,1
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,170.325,170.325,170.325,170.325,170.325,100,17032.5,1
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,,,,,,0,0.0,0
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,,,,,,0,0.0,0
2019-11-01,10:22,10:22 AM,170.415,170.415,170.415,170.415,170.415,100,17041.5,1
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,170.4,170.305,170.4,170.305,170.37400000000005,6900,1175579.5,2
2019-11-01,10:26,10:26 AM,,,,,,0,0.0,0
2019-11-01,10:27,10:27 AM,170.17,170.17,170.17,170.17,170.17,2,340.34,1
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,170.27,170.27,170.27,170.27,170.27,200,34054.0,1
2019-11-01,10:30,10:30 AM,170.34,170.34,170.34,170.34,170.34,100,17034.0,1
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
