date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,132.97,132.76,132.76,132.79,132.88,1710,227225.35,10
2019-11-01,09:31,09:31 AM,133.0,132.76,132.93,132.78,132.827,633,84079.76,9
2019-11-01,09:32,09:32 AM,132.88,132.785,132.85,132.88,132.799,1719,228280.92,8
2019-11-01,09:33,09:33 AM,132.87,132.815,132.83,132.815,132.832,161,21385.885,5
2019-11-01,09:34,09:34 AM,132.64,132.55,132.64,132.55,132.569,260,34468.02,5
2019-11-01,09:35,09:35 AM,132.54,132.47,132.54,132.47,132.515,276,36574.04,3
2019-11-01,09:36,09:36 AM,132.605,132.605,132.605,132.605,132.605,200,26521.0,1
2019-11-01,09:37,09:37 AM,132.65,132.595,132.64,132.595,132.621,179,23739.17,4
2019-11-01,09:38,09:38 AM,132.66,132.55,132.66,132.555,132.559,158,20944.28,4
2019-11-01,09:39,09:39 AM,132.41,132.36,132.41,132.39,132.378,318,42096.145,7
2019-11-01,09:40,09:40 AM,132.515,132.375,132.375,132.515,132.455,793,105036.645,7
2019-11-01,09:41,09:41 AM,132.495,132.495,132.495,132.495,132.495,18,2384.91,1
2019-11-01,09:42,09:42 AM,132.5,132.47,132.5,132.49,132.491,430,56971.1,4
2019-11-01,09:43,09:43 AM,132.62,132.525,132.525,132.595,132.577,1174,155645.8,7
2019-11-01,09:44,09:44 AM,132.52,132.45,132.505,132.45,132.506,866,114750.7,6
2019-11-01,09:45,09:45 AM,132.595,132.51,132.51,132.53,132.548,6812,902918.06,19
2019-11-01,09:46,09:46 AM,132.54,132.47,132.53,132.51,132.512,1704,225801.47,15
2019-11-01,09:47,09:47 AM,132.39,132.39,132.39,132.39,132.39,100,13239.0,1
2019-11-01,09:48,09:48 AM,132.32,132.32,132.32,132.32,132.32,178,23552.96,3
2019-11-01,09:49,09:49 AM,132.29,132.29,132.29,132.29,132.29,200,26458.0,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,132.305,132.305,132.305,132.305,132.305,100,13230.5,1
2019-11-01,09:52,09:52 AM,132.22,132.22,132.22,132.22,132.22,16,2115.52,1
2019-11-01,09:53,09:53 AM,132.25,132.25,132.25,132.25,132.25,200,26450.0,3
2019-11-01,09:54,09:54 AM,132.275,132.19,132.19,132.275,132.237,204,26976.26,3
2019-11-01,09:55,09:55 AM,132.14,132.05,132.14,132.05,132.064,106,13998.75,3
2019-11-01,09:56,09:56 AM,132.1,131.97,132.05,131.97,132.016,1101,145350.15,8
2019-11-01,09:57,09:57 AM,131.985,131.9,131.985,131.9,131.957,300,39587.0,3
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,131.855,131.83,131.855,131.83,131.832,73,9623.715,2
2019-11-01,10:00,10 AM,131.945,131.89,131.89,131.905,131.907,4692,618906.94,9
2019-11-01,10:01,10:01 AM,131.975,131.975,131.975,131.975,131.975,100,13197.5,1
2019-11-01,10:02,10:02 AM,132.05,132.02,132.05,132.02,132.047,268,35388.52,4
2019-11-01,10:03,10:03 AM,132.15,132.075,132.075,132.15,132.106,500,66053.0,5
2019-11-01,10:04,10:04 AM,132.22,132.13,132.13,132.21,132.187,300,39656.0,3
2019-11-01,10:05,10:05 AM,132.24,132.24,132.24,132.24,132.24,100,13224.0,1
2019-11-01,10:06,10:06 AM,132.25,132.18,132.25,132.18,132.241,115,15207.7,2
2019-11-01,10:07,10:07 AM,132.055,132.055,132.055,132.055,132.055,100,13205.5,1
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,132.05,132.025,132.025,132.05,132.03799999999998,504,66547.16,5
2019-11-01,10:10,10:10 AM,132.02,131.98,132.02,131.98,132.0,200,26400.0,2
2019-11-01,10:11,10:11 AM,131.995,131.995,131.995,131.995,131.995,100,13199.5,1
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,132.07,132.06,132.06,132.06,132.061,46,6074.81,3
2019-11-01,10:15,10:15 AM,132.165,132.13,132.165,132.13,132.136,12,1585.63,3
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,132.035,132.0,132.035,132.0,132.024,109,14390.66,2
2019-11-01,10:18,10:18 AM,131.99,131.925,131.99,131.97,131.959,277,36552.805,5
2019-11-01,10:19,10:19 AM,131.85,131.82,131.85,131.82,131.83,206,27156.95,4
2019-11-01,10:20,10:20 AM,131.85,131.77,131.85,131.77,131.81,406,53514.86,5
2019-11-01,10:21,10:21 AM,131.83,131.805,131.805,131.83,131.811,400,52724.5,3
2019-11-01,10:22,10:22 AM,131.85,131.85,131.85,131.85,131.85,200,26370.0,2
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,131.845,131.845,131.845,131.845,131.845,100,13184.5,1
2019-11-01,10:26,10:26 AM,131.78,131.77,131.77,131.78,131.775,200,26355.0,2
2019-11-01,10:27,10:27 AM,131.625,131.6,131.61,131.6,131.612,257,33824.27,3
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,,,,,,0,0.0,0
2019-11-01,10:30,10:30 AM,131.715,131.63,131.63,131.715,131.672,210,27651.2,3
2019-11-01,10:31,10:31 AM,131.745,131.745,131.745,131.745,131.745,104,13701.48,3
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,131.735,131.7,131.735,131.7,131.715,176,23181.86,2
2019-11-01,10:34,10:34 AM,131.65,131.65,131.65,131.65,131.65,100,13165.0,1
2019-11-01,10:35,10:35 AM,131.6,131.6,131.6,131.6,131.6,100,13160.0,1
2019-11-01,10:36,10:36 AM,131.58,131.55,131.55,131.58,131.578,92,12105.21,2
2019-11-01,10:37,10:37 AM,131.61,131.58,131.59,131.61,131.59,400,52636.0,4
2019-11-01,10:38,10:38 AM,131.61,131.61,131.61,131.61,131.61,100,13161.0,1
2019-11-01,10:39,10:39 AM,131.7,131.63,131.63,131.7,131.66299999999998,900,118496.5,9
2019-11-01,10:40,10:40 AM,131.79,131.73,131.73,131.79,131.762,693,91310.725,9
2019-11-01,10:41,10:41 AM,131.79,131.79,131.79,131.79,131.79,2000,263580.0,8
2019-11-01,10:42,10:42 AM,131.8,131.8,131.8,131.8,131.8,1000,131800.0,2
2019-11-01,10:43,10:43 AM,131.815,131.775,131.79,131.775,131.796,400,52718.5,4
2019-11-01,10:44,10:44 AM,131.81,131.795,131.81,131.795,131.803,200,26360.5,2
