date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,36.315,36.305,36.305,36.31,36.308,5,181.54,3
2019-11-01,09:36,09:36 AM,36.3,36.275,36.275,36.3,36.295,5,181.475,2
2019-11-01,09:37,09:37 AM,36.33,36.2,36.33,36.225,36.202,428,15494.55,5
2019-11-01,09:38,09:38 AM,36.33,36.32,36.32,36.33,36.329,8,290.63,2
2019-11-01,09:39,09:39 AM,36.34,36.295,36.325,36.34,36.319,700,25423.0,5
2019-11-01,09:40,09:40 AM,36.29,36.29,36.29,36.29,36.29,1074,38975.46,1
2019-11-01,09:41,09:41 AM,36.29,36.29,36.29,36.29,36.29,1,36.29,1
2019-11-01,09:42,09:42 AM,36.23,36.19,36.23,36.19,36.225,27,978.09,3
2019-11-01,09:43,09:43 AM,36.18,36.145,36.15,36.18,36.150999999999996,211,7627.845,4
2019-11-01,09:44,09:44 AM,36.195,36.18,36.195,36.195,36.192,5,180.96,4
2019-11-01,09:45,09:45 AM,36.145,36.09,36.09,36.145,36.108000000000004,6,216.645,4
2019-11-01,09:46,09:46 AM,36.09,36.085,36.085,36.09,36.086999999999996,2,72.175,2
2019-11-01,09:47,09:47 AM,36.16,36.12,36.14,36.12,36.144,7,253.005,6
2019-11-01,09:48,09:48 AM,36.155,36.155,36.155,36.155,36.155,1,36.155,1
2019-11-01,09:49,09:49 AM,36.18,36.135,36.135,36.14,36.146,7,253.025,4
2019-11-01,09:50,09:50 AM,36.19,36.15,36.17,36.175,36.18,515,18632.76,9
2019-11-01,09:51,09:51 AM,36.205,36.14,36.14,36.205,36.157,800,28925.5,5
2019-11-01,09:52,09:52 AM,36.32,36.22,36.22,36.29,36.271,644,23358.73,8
2019-11-01,09:53,09:53 AM,36.325,36.3,36.325,36.3,36.319,9,326.875,3
2019-11-01,09:54,09:54 AM,36.37,36.36,36.37,36.365,36.368,13,472.79,5
2019-11-01,09:55,09:55 AM,36.47,36.47,36.47,36.47,36.47,4,145.88,1
2019-11-01,09:56,09:56 AM,36.475,36.44,36.475,36.44,36.461,8,291.69,4
2019-11-01,09:57,09:57 AM,36.49,36.49,36.49,36.49,36.49,9,328.41,3
2019-11-01,09:58,09:58 AM,36.56,36.53,36.555,36.545,36.548,17,621.32,7
2019-11-01,09:59,09:59 AM,36.53,36.51,36.51,36.53,36.52,2,73.04,2
2019-11-01,10:00,10 AM,36.54,36.49,36.49,36.53,36.539,507,18525.52,5
2019-11-01,10:01,10:01 AM,36.615,36.57,36.57,36.615,36.573,18,658.315,3
2019-11-01,10:02,10:02 AM,36.69,36.64,36.675,36.64,36.672,24,880.12,8
2019-11-01,10:03,10:03 AM,36.71,36.655,36.655,36.68,36.7,40,1467.985,6
2019-11-01,10:04,10:04 AM,36.71,36.675,36.71,36.675,36.699,4,146.795,4
2019-11-01,10:05,10:05 AM,36.69,36.63,36.675,36.67,36.658,10,366.58,9
2019-11-01,10:06,10:06 AM,36.665,36.635,36.64,36.635,36.649,8,293.19,6
2019-11-01,10:07,10:07 AM,36.64,36.61,36.61,36.62,36.62300000000001,3,109.87,3
2019-11-01,10:08,10:08 AM,36.57,36.555,36.57,36.56,36.56,4,146.24,3
