date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,63.75,63.56,63.59,63.75,63.64,500,31820.0,5
2019-11-01,09:31,09:31 AM,63.81,63.77,63.77,63.81,63.79,200,12758.0,2
2019-11-01,09:32,09:32 AM,63.68,63.68,63.68,63.68,63.68,100,6368.0,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,63.75,63.62,63.63,63.75,63.7,502,31977.3,6
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,63.735,63.7,63.735,63.7,63.7,101,6433.735,2
2019-11-01,09:37,09:37 AM,63.7,63.695,63.695,63.7,63.695,102,6496.895,3
2019-11-01,09:38,09:38 AM,63.78,63.71,63.71,63.78,63.745,200,12749.0,2
2019-11-01,09:39,09:39 AM,63.795,63.72,63.72,63.795,63.757,201,12815.25,3
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,63.91,63.91,63.91,63.91,63.91,400,25564.0,4
2019-11-01,09:43,09:43 AM,63.895,63.89,63.89,63.895,63.894,373,23832.335,2
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,63.78,63.78,63.78,63.78,63.78,296,18878.88,1
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,63.65,63.64,63.64,63.65,63.65,308,19604.12,6
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,63.73,63.72,63.72,63.73,63.725,200,12745.0,2
2019-11-01,09:50,09:50 AM,63.71,63.67,63.68,63.71,63.687,300,19106.0,3
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,63.755,63.755,63.755,63.755,63.755,100,6375.5,1
2019-11-01,09:54,09:54 AM,63.79,63.79,63.79,63.79,63.79,2,127.58,1
2019-11-01,09:55,09:55 AM,63.84,63.84,63.84,63.84,63.84,100,6384.0,1
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,63.85,63.83,63.83,63.85,63.84,392,25025.2,4
2019-11-01,09:58,09:58 AM,63.9,63.9,63.9,63.9,63.9,1,63.9,1
2019-11-01,09:59,09:59 AM,63.93,63.93,63.93,63.93,63.93,100,6393.0,1
2019-11-01,10:00,10 AM,63.93,63.93,63.93,63.93,63.93,100,6393.0,1
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,63.995,63.97,63.97,63.995,63.981,183,11708.585,4
2019-11-01,10:03,10:03 AM,64.015,63.98,64.015,63.98,63.988,9,575.89,2
2019-11-01,10:04,10:04 AM,63.95,63.95,63.95,63.95,63.95,100,6395.0,1
2019-11-01,10:05,10:05 AM,63.91,63.91,63.91,63.91,63.91,100,6391.0,1
2019-11-01,10:06,10:06 AM,63.86,63.83,63.86,63.83,63.858000000000004,107,6832.81,2
2019-11-01,10:07,10:07 AM,63.75,63.75,63.75,63.75,63.75,100,6375.0,1
2019-11-01,10:08,10:08 AM,63.75,63.75,63.75,63.75,63.75,100,6375.0,1
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,63.835,63.81,63.835,63.81,63.821999999999996,200,12764.5,2
2019-11-01,10:11,10:11 AM,63.875,63.875,63.875,63.875,63.875,1,63.875,1
2019-11-01,10:12,10:12 AM,63.875,63.85,63.875,63.85,63.869,400,25547.5,4
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,63.825,63.81,63.825,63.815,63.824,110,7020.67,4
2019-11-01,10:15,10:15 AM,63.815,63.815,63.815,63.815,63.815,1,63.815,1
2019-11-01,10:16,10:16 AM,63.815,63.74,63.815,63.74,63.754,213,13579.645,5
2019-11-01,10:17,10:17 AM,63.76,63.735,63.76,63.735,63.75899999999999,104,6630.94,2
2019-11-01,10:18,10:18 AM,63.735,63.68,63.735,63.69,63.681999999999995,107,6813.94,5
2019-11-01,10:19,10:19 AM,63.71,63.7,63.7,63.7,63.7,255,16243.52,3
2019-11-01,10:20,10:20 AM,63.7,63.7,63.7,63.7,63.7,101,6433.7,2
2019-11-01,10:21,10:21 AM,63.725,63.7,63.71,63.7,63.711999999999996,303,19304.63,5
2019-11-01,10:22,10:22 AM,63.71,63.7,63.7,63.71,63.7,102,6497.42,3
2019-11-01,10:23,10:23 AM,63.695,63.695,63.695,63.695,63.695,1,63.695,1
2019-11-01,10:24,10:24 AM,63.705,63.7,63.7,63.705,63.7,103,6561.105,4
2019-11-01,10:25,10:25 AM,63.705,63.685,63.705,63.685,63.688,6,382.13,2
2019-11-01,10:26,10:26 AM,63.71,63.69,63.69,63.71,63.69300000000001,334,21273.48,4
2019-11-01,10:27,10:27 AM,63.695,63.67,63.695,63.67,63.675,9,573.08,2
2019-11-01,10:28,10:28 AM,63.735,63.67,63.67,63.735,63.702,204,12995.245,4
2019-11-01,10:29,10:29 AM,63.735,63.715,63.735,63.72,63.715,103,6562.69,4
2019-11-01,10:30,10:30 AM,63.745,63.725,63.725,63.745,63.735,205,13065.665,4
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,63.72,63.69,63.72,63.69,63.708,306,19494.64,4
2019-11-01,10:33,10:33 AM,63.69,63.67,63.69,63.67,63.688,53,3375.49,2
2019-11-01,10:34,10:34 AM,63.67,63.65,63.67,63.65,63.662,134,8530.68,4
2019-11-01,10:35,10:35 AM,63.67,63.66,63.66,63.67,63.662,164,10440.635,4
2019-11-01,10:36,10:36 AM,63.675,63.61,63.67,63.62,63.641999999999996,311,19792.635,7
2019-11-01,10:37,10:37 AM,63.645,63.62,63.62,63.645,63.62,104,6616.535,4
2019-11-01,10:38,10:38 AM,63.685,63.645,63.645,63.685,63.684,103,6559.435,2
2019-11-01,10:39,10:39 AM,63.63,63.59,63.61,63.59,63.615,312,19847.835,8
2019-11-01,10:40,10:40 AM,63.61,63.59,63.59,63.59,63.605,449,28558.79,7
2019-11-01,10:41,10:41 AM,63.585,63.57,63.57,63.585,63.58,3,190.74,2
2019-11-01,10:42,10:42 AM,63.575,63.56,63.57,63.57,63.57100000000001,608,38651.045,11
2019-11-01,10:43,10:43 AM,63.565,63.545,63.565,63.545,63.55,105,6672.805,3
2019-11-01,10:44,10:44 AM,63.55,63.525,63.55,63.525,63.53,103,6543.625,3
2019-11-01,10:45,10:45 AM,63.53,63.49,63.53,63.49,63.51,2,127.02,2
2019-11-01,10:46,10:46 AM,63.485,63.48,63.48,63.48,63.482,208,13204.355,7
2019-11-01,10:47,10:47 AM,63.495,63.485,63.485,63.495,63.495,203,12889.455,3
2019-11-01,10:48,10:48 AM,63.46,63.445,63.445,63.46,63.453,200,12690.5,2
2019-11-01,10:49,10:49 AM,63.45,63.45,63.45,63.45,63.45,100,6345.0,1
2019-11-01,10:50,10:50 AM,63.44,63.44,63.44,63.44,63.44,100,6344.0,1
2019-11-01,10:51,10:51 AM,63.45,63.45,63.45,63.45,63.45,100,6345.0,1
2019-11-01,10:52,10:52 AM,63.495,63.495,63.495,63.495,63.495,100,6349.5,1
2019-11-01,10:53,10:53 AM,63.515,63.505,63.515,63.505,63.51,200,12702.0,2
2019-11-01,10:54,10:54 AM,63.485,63.485,63.485,63.485,63.485,100,6348.5,1
2019-11-01,10:55,10:55 AM,63.53,63.53,63.53,63.53,63.53,200,12706.0,2
2019-11-01,10:56,10:56 AM,63.525,63.525,63.525,63.525,63.525,10,635.25,1
2019-11-01,10:57,10:57 AM,63.53,63.53,63.53,63.53,63.53,100,6353.0,1
2019-11-01,10:58,10:58 AM,63.565,63.565,63.565,63.565,63.565,100,6356.5,1
2019-11-01,10:59,10:59 AM,63.565,63.565,63.565,63.565,63.565,100,6356.5,1
2019-11-01,11:00,11 AM,63.56,63.56,63.56,63.56,63.56,139,8834.84,1
2019-11-01,11:01,11:01 AM,,,,,,0,0.0,0
2019-11-01,11:02,11:02 AM,63.56,63.53,63.53,63.56,63.549,264,16776.84,2
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,,,,,,0,0.0,0
2019-11-01,11:09,11:09 AM,63.515,63.515,63.515,63.515,63.515,300,19054.5,2
2019-11-01,11:10,11:10 AM,,,,,,0,0.0,0
2019-11-01,11:11,11:11 AM,,,,,,0,0.0,0
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,63.455,63.455,63.455,63.455,63.455,200,12691.0,2
