date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,101.535,101.48,101.535,101.48,101.51700000000001,300,30455.0,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,101.355,101.255,101.355,101.255,101.322,300,30396.5,3
2019-11-01,09:35,09:35 AM,101.19,101.085,101.09,101.19,101.12,304,30740.405,9
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,101.15,101.15,101.15,101.15,101.15,200,20230.0,2
2019-11-01,09:38,09:38 AM,101.24,101.24,101.24,101.24,101.24,100,10124.0,2
2019-11-01,09:39,09:39 AM,101.28,101.245,101.245,101.28,101.25,85,8606.28,2
2019-11-01,09:40,09:40 AM,101.41,101.41,101.41,101.41,101.41,100,10141.0,1
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,101.22,101.22,101.22,101.22,101.22,1,101.22,1
2019-11-01,09:43,09:43 AM,101.47,101.29,101.47,101.29,101.38,200,20276.0,2
2019-11-01,09:44,09:44 AM,101.48,101.3,101.3,101.48,101.455,115,11667.31,5
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,101.34,101.34,101.34,101.34,101.34,100,10134.0,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,101.215,101.215,101.215,101.215,101.215,4,404.86,1
2019-11-01,09:50,09:50 AM,101.375,101.3,101.3,101.375,101.35,300,30405.0,3
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,101.63,101.53,101.53,101.63,101.58,200,20316.0,2
2019-11-01,09:53,09:53 AM,101.66,101.66,101.66,101.66,101.66,200,20332.0,1
2019-11-01,09:54,09:54 AM,101.7,101.65,101.7,101.65,101.698,103,10474.95,2
2019-11-01,09:55,09:55 AM,101.64,101.61,101.64,101.61,101.632,68,6910.98,3
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,101.47,101.47,101.47,101.47,101.47,100,10147.0,1
2019-11-01,09:58,09:58 AM,101.565,101.51,101.51,101.565,101.51100000000001,78,7917.835,2
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,101.53,101.4,101.4,101.53,101.515,402,40808.89,4
2019-11-01,10:01,10:01 AM,101.45,101.45,101.45,101.45,101.45,100,10145.0,1
2019-11-01,10:02,10:02 AM,101.57,101.57,101.57,101.57,101.57,200,20314.0,1
2019-11-01,10:03,10:03 AM,101.745,101.65,101.65,101.745,101.65100000000001,403,40965.235,2
2019-11-01,10:04,10:04 AM,101.745,101.715,101.715,101.745,101.744,2398,243981.57,5
2019-11-01,10:05,10:05 AM,101.9,101.74,101.74,101.9,101.79299999999999,800,81434.0,5
2019-11-01,10:06,10:06 AM,101.92,101.92,101.92,101.92,101.92,400,40768.0,2
2019-11-01,10:07,10:07 AM,101.905,101.88,101.88,101.905,101.89200000000001,400,40757.0,2
2019-11-01,10:08,10:08 AM,101.92,101.865,101.92,101.865,101.885,437,44523.93,4
2019-11-01,10:09,10:09 AM,101.68,101.655,101.68,101.655,101.663,300,30499.0,2
