date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,170.765,170.765,170.765,170.765,170.765,100,17076.5,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,170.85,169.27,170.85,169.27,169.893,300,50968.0,3
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,170.625,170.25,170.625,170.25,170.294,104,17710.62,5
2019-11-01,09:36,09:36 AM,170.94,170.44,170.51,170.6,170.72,306,52240.4,6
2019-11-01,09:37,09:37 AM,170.765,170.63,170.63,170.765,170.697,8,1365.575,3
2019-11-01,09:38,09:38 AM,170.87,170.19,170.86,170.19,170.707,9,1536.36,7
2019-11-01,09:39,09:39 AM,170.17,170.17,170.17,170.17,170.17,2,340.34,1
2019-11-01,09:40,09:40 AM,170.11,169.825,170.11,169.825,170.05200000000005,10,1700.515,7
2019-11-01,09:41,09:41 AM,169.705,169.565,169.705,169.565,169.66,4,678.64,4
2019-11-01,09:42,09:42 AM,170.005,169.73,169.73,170.005,169.868,6,1019.205,4
2019-11-01,09:43,09:43 AM,170.01,169.88,169.88,170.01,169.949,103,17504.77,4
2019-11-01,09:44,09:44 AM,170.5,170.005,170.005,170.3,170.292,5,851.46,5
2019-11-01,09:45,09:45 AM,170.615,170.11,170.11,170.615,170.132,105,17863.88,4
2019-11-01,09:46,09:46 AM,170.09,170.09,170.09,170.09,170.09,2,340.18,1
2019-11-01,09:47,09:47 AM,170.275,170.185,170.185,170.275,170.273,103,17538.14,3
2019-11-01,09:48,09:48 AM,170.275,169.895,169.895,169.93,170.035,247,41998.59,10
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,170.1,170.06,170.065,170.06,170.065,128,21768.3,4
2019-11-01,09:51,09:51 AM,170.305,170.21,170.305,170.285,170.265,229,38990.775,7
2019-11-01,09:52,09:52 AM,170.48,170.43,170.48,170.43,170.46599999999995,323,55060.56,9
2019-11-01,09:53,09:53 AM,170.435,170.165,170.43,170.165,170.28,219,37291.4,11
2019-11-01,09:54,09:54 AM,170.3,170.03,170.03,170.21,170.175,607,103296.56,8
2019-11-01,09:55,09:55 AM,170.62,170.3,170.3,170.59,170.53,229,39051.31,7
2019-11-01,09:56,09:56 AM,170.88,170.41,170.88,170.41,170.81400000000005,414,70716.835,8
2019-11-01,09:57,09:57 AM,170.515,170.505,170.505,170.515,170.51,200,34102.0,2
2019-11-01,09:58,09:58 AM,170.795,170.73,170.74,170.73,170.787,256,43721.575,9
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,170.84,170.54,170.66,170.805,170.743,212,36197.565,7
2019-11-01,10:01,10:01 AM,171.11,171.09,171.105,171.09,171.107,201,34392.59,3
2019-11-01,10:02,10:02 AM,171.01,170.91,171.01,170.915,170.916,408,69733.87,6
2019-11-01,10:03,10:03 AM,171.27,171.175,171.175,171.27,171.265,106,18154.075,3
2019-11-01,10:04,10:04 AM,171.28,171.025,171.28,171.025,171.08599999999996,212,36270.32,5
2019-11-01,10:05,10:05 AM,171.31,171.02,171.02,171.265,171.28099999999995,1400,239793.5,5
2019-11-01,10:06,10:06 AM,171.425,171.365,171.425,171.365,171.424,118,20228.09,4
2019-11-01,10:07,10:07 AM,171.17,171.17,171.17,171.17,171.17,100,17117.0,1
2019-11-01,10:08,10:08 AM,171.19,171.135,171.19,171.135,171.136,101,17284.69,2
2019-11-01,10:09,10:09 AM,170.755,170.755,170.755,170.755,170.755,100,17075.5,1
2019-11-01,10:10,10:10 AM,170.975,170.77,170.77,170.975,170.88299999999995,300,51265.0,3
2019-11-01,10:11,10:11 AM,170.835,170.835,170.835,170.835,170.835,100,17083.5,1
2019-11-01,10:12,10:12 AM,170.83,170.83,170.83,170.83,170.83,100,17083.0,1
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,170.935,170.915,170.915,170.935,170.92,400,68368.0,3
2019-11-01,10:15,10:15 AM,171.045,170.885,170.93,170.885,170.972,952,162765.8,9
2019-11-01,10:16,10:16 AM,170.92,170.845,170.845,170.92,170.882,200,34176.5,2
