date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,51.905,51.905,51.905,51.905,51.905,100.0,5190.5,1.0
2019-11-01,09:34,09:34 AM,52.22,52.21,52.22,52.22,52.217,300.0,15665.0,3.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,52.235,52.235,52.235,52.235,52.235,100.0,5223.5,1.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,52.1,52.1,52.1,52.1,52.1,100.0,5210.0,1.0
2019-11-01,09:42,09:42 AM,52.1,52.1,52.1,52.1,52.1,100.0,5210.0,2.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,52.075,52.075,52.075,52.075,52.075,29.0,1510.175,1.0
2019-11-01,09:46,09:46 AM,52.17,52.17,52.17,52.17,52.17,100.0,5217.0,1.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,52.18,52.18,52.18,52.18,52.18,100.0,5218.0,1.0
2019-11-01,09:49,09:49 AM,52.175,52.175,52.175,52.175,52.175,23.0,1200.025,1.0
2019-11-01,09:50,09:50 AM,52.19,52.18,52.18,52.19,52.19,104.0,5427.72,2.0
2019-11-01,09:51,09:51 AM,52.19,52.19,52.19,52.19,52.19,1.0,52.19,1.0
2019-11-01,09:52,09:52 AM,52.22,52.14,52.14,52.22,52.187,290.0,15134.2,3.0
2019-11-01,09:53,09:53 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,52.185,52.185,52.185,52.185,52.185,100.0,5218.5,1.0
2019-11-01,09:58,09:58 AM,52.3,52.3,52.3,52.3,52.3,2.0,104.6,1.0
2019-11-01,09:59,09:59 AM,52.34,52.34,52.34,52.34,52.34,1.0,52.34,1.0
2019-11-01,10:00,10 AM,52.29,52.27,52.29,52.27,52.278999999999996,210.0,10978.7,3.0
