date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,49.27,49.27,49.27,49.27,49.27,150.0,7390.5,1.0
2019-11-01,09:37,09:37 AM,49.22,49.22,49.22,49.22,49.22,100.0,4922.0,1.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,49.13,49.13,49.13,49.13,49.13,8.0,393.04,2.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,49.18,49.18,49.18,49.18,49.18,100.0,4918.0,1.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,49.14,49.14,49.14,49.14,49.14,100.0,4914.0,1.0
2019-11-01,09:46,09:46 AM,49.18,49.18,49.18,49.18,49.18,100.0,4918.0,1.0
2019-11-01,09:47,09:47 AM,49.17,49.17,49.17,49.17,49.17,100.0,4917.0,1.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,49.19,49.19,49.19,49.19,49.19,100.0,4919.0,1.0
2019-11-01,09:50,09:50 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,49.185,49.185,49.185,49.185,49.185,100.0,4918.5,1.0
2019-11-01,09:53,09:53 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:54,09:54 AM,49.22,49.205,49.205,49.22,49.211999999999996,200.0,9842.5,2.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,49.32,49.32,49.32,49.32,49.32,200.0,9864.0,4.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,49.26,49.26,49.26,49.26,49.26,200.0,9852.0,2.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
