date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,51.59,51.59,51.59,51.59,51.59,58,2992.22,1
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,51.68,51.64,51.68,51.64,51.66,200,10332.0,2
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,51.605,51.605,51.605,51.605,51.605,100,5160.5,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,51.24,51.125,51.24,51.125,51.169,1700,86988.0,5
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,51.37,51.37,51.37,51.37,51.37,200,10274.0,1
2019-11-01,09:43,09:43 AM,51.35,51.35,51.35,51.35,51.35,300,15405.0,1
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,51.44,51.44,51.44,51.44,51.44,200,10288.0,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,51.42,51.42,51.42,51.42,51.42,1,51.42,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,51.425,51.425,51.425,51.425,51.425,107,5502.475,1
2019-11-01,09:58,09:58 AM,51.415,51.415,51.415,51.415,51.415,100,5141.5,1
2019-11-01,09:59,09:59 AM,51.44,51.425,51.425,51.44,51.431999999999995,200,10286.5,2
2019-11-01,10:00,10 AM,51.48,51.44,51.48,51.44,51.453,300,15436.0,2
2019-11-01,10:01,10:01 AM,51.495,51.495,51.495,51.495,51.495,100,5149.5,1
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,51.685,51.63,51.665,51.685,51.651,500,25825.5,5
2019-11-01,10:04,10:04 AM,51.66,51.66,51.66,51.66,51.66,100,5166.0,1
2019-11-01,10:05,10:05 AM,51.68,51.68,51.68,51.68,51.68,100,5168.0,2
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,51.495,51.495,51.495,51.495,51.495,100,5149.5,1
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,51.47,51.47,51.47,51.47,51.47,100,5147.0,2
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
