date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,114.28,114.275,114.275,114.28,114.277,613,70051.575,5
2019-11-01,09:34,09:34 AM,114.265,114.045,114.265,114.15,114.15700000000001,400,45663.0,4
2019-11-01,09:35,09:35 AM,114.045,114.045,114.045,114.045,114.045,100,11404.5,1
2019-11-01,09:36,09:36 AM,114.08,114.08,114.08,114.08,114.08,100,11408.0,2
2019-11-01,09:37,09:37 AM,114.285,114.195,114.25,114.27,114.25399999999999,500,57127.0,8
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,114.225,114.1,114.225,114.1,114.162,200,22832.5,2
2019-11-01,09:40,09:40 AM,114.34,114.07,114.07,114.34,114.21,600,68526.0,4
2019-11-01,09:41,09:41 AM,114.335,114.31,114.31,114.335,114.323,200,22864.5,2
2019-11-01,09:42,09:42 AM,114.27,114.22,114.27,114.22,114.25299999999999,300,34276.0,7
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,114.26,114.24,114.24,114.26,114.25,200,22850.0,2
2019-11-01,09:45,09:45 AM,114.25,114.21,114.25,114.215,114.22399999999999,800,91379.5,8
2019-11-01,09:46,09:46 AM,114.22,114.21,114.21,114.22,114.21600000000001,500,57108.0,5
2019-11-01,09:47,09:47 AM,114.225,114.16,114.225,114.175,114.208,1008,115121.52,12
2019-11-01,09:48,09:48 AM,114.045,114.01,114.045,114.045,114.044,103,11746.565,3
2019-11-01,09:49,09:49 AM,114.005,113.955,113.99,113.955,113.98899999999999,600,68393.5,6
2019-11-01,09:50,09:50 AM,113.985,113.955,113.955,113.985,113.965,403,45927.955,5
2019-11-01,09:51,09:51 AM,114.105,113.95,113.985,113.975,114.01100000000001,700,79807.5,7
2019-11-01,09:52,09:52 AM,113.955,113.945,113.945,113.95,113.95,300,34185.0,3
2019-11-01,09:53,09:53 AM,114.0,113.935,113.98,113.935,113.964,600,68378.5,8
2019-11-01,09:54,09:54 AM,113.935,113.925,113.935,113.925,113.93,300,34179.0,3
2019-11-01,09:55,09:55 AM,114.02,114.02,114.02,114.02,114.02,155,17673.1,1
2019-11-01,09:56,09:56 AM,113.995,113.95,113.97,113.995,113.98299999999999,700,79788.0,9
2019-11-01,09:57,09:57 AM,114.08,114.08,114.08,114.08,114.08,100,11408.0,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,113.9,113.9,113.9,113.9,113.9,75,8542.5,1
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,113.94,113.94,113.94,113.94,113.94,100,11394.0,1
2019-11-01,10:03,10:03 AM,114.04,113.985,113.985,114.025,114.023,600,68413.935,6
2019-11-01,10:04,10:04 AM,114.01,114.0,114.01,114.0,114.00399999999999,248,28273.0,2
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,114.0,113.915,113.915,114.0,113.948,551,62785.165,4
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
