date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,78.095,78.095,78.095,78.095,78.095,100.0,7809.5,1.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,78.05,77.92,78.02,78.01,78.001,390.0,30420.2,4.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,78.36,78.25,78.25,78.36,78.316,5.0,391.58,2.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,78.345,78.345,78.345,78.345,78.345,100.0,7834.5,1.0
2019-11-01,09:43,09:43 AM,78.39,78.39,78.39,78.39,78.39,100.0,7839.0,1.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:46,09:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:53,09:53 AM,78.34,78.34,78.34,78.34,78.34,100.0,7834.0,1.0
2019-11-01,09:54,09:54 AM,78.5,78.46,78.46,78.5,78.461,307.0,24087.5,2.0
2019-11-01,09:55,09:55 AM,78.51,78.51,78.51,78.51,78.51,100.0,7851.0,1.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,78.34,78.34,78.34,78.34,78.34,74.0,5797.16,1.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:01,10:01 AM,78.33,78.305,78.305,78.33,78.317,200.0,15663.5,2.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,78.31,78.31,78.31,78.31,78.31,15.0,1174.65,3.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:06,10:06 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:07,10:07 AM,78.3,78.3,78.3,78.3,78.3,14.0,1096.2,1.0
2019-11-01,10:08,10:08 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:09,10:09 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:10,10:10 AM,78.22,78.22,78.22,78.22,78.22,10.0,782.2,1.0
2019-11-01,10:11,10:11 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:12,10:12 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:13,10:13 AM,78.17,78.11,78.17,78.17,78.113,106.0,8280.02,3.0
2019-11-01,10:14,10:14 AM,78.05,78.05,78.05,78.05,78.05,100.0,7805.0,1.0
2019-11-01,10:15,10:15 AM,78.05,78.05,78.05,78.05,78.05,107.0,8351.35,1.0
2019-11-01,10:16,10:16 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:17,10:17 AM,78.03,78.03,78.03,78.03,78.03,193.0,15059.79,1.0
2019-11-01,10:18,10:18 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:19,10:19 AM,78.045,78.04,78.04,78.045,78.041,700.0,54628.5,2.0
2019-11-01,10:20,10:20 AM,78.02,78.02,78.02,78.02,78.02,100.0,7802.0,1.0
2019-11-01,10:21,10:21 AM,78.015,78.015,78.015,78.015,78.015,100.0,7801.5,1.0
2019-11-01,10:22,10:22 AM,78.03,78.03,78.03,78.03,78.03,103.0,8037.09,1.0
2019-11-01,10:23,10:23 AM,78.05,78.02,78.05,78.02,78.043,129.0,10067.58,2.0
2019-11-01,10:24,10:24 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:25,10:25 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:26,10:26 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:27,10:27 AM,78.04,78.04,78.04,78.04,78.04,100.0,7804.0,1.0
2019-11-01,10:28,10:28 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:29,10:29 AM,78.05,78.04,78.04,78.04,78.047,300.0,23414.0,3.0
2019-11-01,10:30,10:30 AM,78.08,78.08,78.08,78.08,78.08,100.0,7808.0,1.0
