date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,91.55,90.03,90.19,90.955,91.09,1600,145744.52,10
2019-11-01,09:33,09:33 AM,91.185,90.86,90.86,91.185,91.13799999999999,409,37275.3,5
2019-11-01,09:34,09:34 AM,90.89,90.06,90.89,90.06,90.729,770,69861.3,9
2019-11-01,09:35,09:35 AM,90.24,90.04,90.18,90.04,90.178,703,63395.47,10
2019-11-01,09:36,09:36 AM,90.62,89.835,89.835,90.445,90.34,1071,96754.52,10
2019-11-01,09:37,09:37 AM,90.07,89.895,89.94,89.895,89.926,2230,200535.15,13
2019-11-01,09:38,09:38 AM,89.945,89.945,89.945,89.945,89.945,100,8994.5,1
2019-11-01,09:39,09:39 AM,90.08,89.835,90.08,90.0,90.008,705,63455.675,6
2019-11-01,09:40,09:40 AM,89.955,89.855,89.855,89.955,89.869,1200,107843.0,4
2019-11-01,09:41,09:41 AM,90.25,89.96,89.96,90.25,90.07799999999999,1900,171148.0,10
2019-11-01,09:42,09:42 AM,90.34,90.195,90.195,90.34,90.26700000000001,200,18053.5,2
2019-11-01,09:43,09:43 AM,90.495,90.22,90.22,90.495,90.225,102,9202.99,2
2019-11-01,09:44,09:44 AM,91.01,91.01,91.01,91.01,91.01,2,182.02,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,91.31,90.94,90.94,91.31,91.125,200,18225.0,2
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,91.66,91.66,91.66,91.66,91.66,100,9166.0,1
2019-11-01,09:51,09:51 AM,91.825,91.56,91.825,91.705,91.686,900,82517.5,5
2019-11-01,09:52,09:52 AM,91.705,91.6,91.705,91.6,91.681,300,27504.21,3
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,92.62,92.62,92.62,92.62,92.62,1,92.62,1
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,92.605,92.605,92.605,92.605,92.605,100,9260.5,1
2019-11-01,09:58,09:58 AM,92.67,92.67,92.67,92.67,92.67,100,9267.0,1
2019-11-01,09:59,09:59 AM,92.72,92.66,92.72,92.66,92.696,250,23174.0,3
2019-11-01,10:00,10 AM,92.48,92.445,92.445,92.48,92.463,200,18492.5,2
2019-11-01,10:01,10:01 AM,92.475,92.23,92.255,92.475,92.27600000000001,637,58779.835,8
2019-11-01,10:02,10:02 AM,92.56,92.45,92.45,92.56,92.45100000000001,201,18582.56,2
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,92.65,92.56,92.65,92.56,92.60799999999999,200,18521.5,3
2019-11-01,10:05,10:05 AM,92.38,92.38,92.38,92.38,92.38,100,9238.0,1
2019-11-01,10:06,10:06 AM,92.5,92.5,92.5,92.5,92.5,3,277.5,2
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,92.37,92.37,92.37,92.37,92.37,100,9237.0,1
2019-11-01,10:09,10:09 AM,92.27,92.27,92.27,92.27,92.27,100,9227.0,1
