date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,139.6,139.51,139.6,139.51,139.555,202,28190.1,4
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,139.345,139.345,139.345,139.345,139.345,1,139.345,1
2019-11-01,09:36,09:36 AM,139.83,139.78,139.82,139.78,139.808,5,699.04,4
2019-11-01,09:37,09:37 AM,139.6,139.555,139.555,139.6,139.584,4,558.335,4
2019-11-01,09:38,09:38 AM,139.645,139.645,139.645,139.645,139.645,1,139.645,1
2019-11-01,09:39,09:39 AM,139.7,139.62,139.62,139.68,139.697,40,5587.88,3
2019-11-01,09:40,09:40 AM,139.71,139.615,139.615,139.71,139.69299999999998,6,838.16,3
2019-11-01,09:41,09:41 AM,139.695,139.695,139.695,139.695,139.695,1,139.695,1
2019-11-01,09:42,09:42 AM,139.98,139.955,139.98,139.955,139.971,8,1119.765,3
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,139.945,139.945,139.945,139.945,139.945,1,139.945,1
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,139.76,139.67,139.675,139.76,139.68,10,1396.8,3
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,139.7,139.6,139.7,139.6,139.60299999999998,103,14379.08,3
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,139.53,139.53,139.53,139.53,139.53,3,418.59,1
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,139.39,139.385,139.39,139.385,139.385,103,14356.67,2
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,139.2,139.195,139.2,139.195,139.197,6,835.18,2
2019-11-01,09:58,09:58 AM,139.19,139.185,139.19,139.185,139.189,4,556.755,2
2019-11-01,09:59,09:59 AM,139.18,139.18,139.18,139.18,139.18,1,139.18,1
2019-11-01,10:00,10 AM,139.32,139.22,139.22,139.32,139.3,5,696.5,3
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,139.3,139.3,139.3,139.3,139.3,5,696.5,2
2019-11-01,10:03,10:03 AM,139.265,139.265,139.265,139.265,139.265,1,139.265,1
2019-11-01,10:04,10:04 AM,139.145,139.145,139.145,139.145,139.145,1,139.145,1
2019-11-01,10:05,10:05 AM,138.935,138.93,138.935,138.93,138.933,4,555.73,2
2019-11-01,10:06,10:06 AM,138.96,138.855,138.96,138.855,138.856,102,14163.315,3
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,139.025,139.025,139.025,139.025,139.025,2,278.05,1
