date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,127.9,127.9,127.9,127.9,127.9,94,12022.6,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,128.76,128.57,128.595,128.57,128.613,426,54789.26,5
2019-11-01,09:34,09:34 AM,128.6,128.46,128.6,128.5,128.548,1400,179967.0,8
2019-11-01,09:35,09:35 AM,128.51,128.45,128.5,128.51,128.482,500,64241.0,5
2019-11-01,09:36,09:36 AM,128.95,128.44,128.44,128.95,128.696,224,28827.8,3
2019-11-01,09:37,09:37 AM,128.77,128.77,128.77,128.77,128.77,100,12877.0,1
2019-11-01,09:38,09:38 AM,128.69,128.69,128.69,128.69,128.69,100,12869.0,1
2019-11-01,09:39,09:39 AM,129.03,128.675,128.675,129.03,128.859,428,55151.9,5
2019-11-01,09:40,09:40 AM,128.82,128.44,128.82,128.44,128.63,200,25726.0,2
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,128.39,128.27,128.39,128.27,128.298,6796,871914.85,4
2019-11-01,09:43,09:43 AM,128.3,128.215,128.3,128.215,128.254,218,27959.37,2
2019-11-01,09:44,09:44 AM,128.51,128.395,128.395,128.51,128.407,121,15537.21,3
2019-11-01,09:45,09:45 AM,128.545,128.48,128.515,128.48,128.516,1400,179922.0,10
2019-11-01,09:46,09:46 AM,128.4,128.36,128.4,128.36,128.36,202,25928.8,3
2019-11-01,09:47,09:47 AM,128.505,128.38,128.38,128.505,128.442,200,25688.5,2
2019-11-01,09:48,09:48 AM,128.525,128.525,128.525,128.525,128.525,700,89967.5,6
2019-11-01,09:49,09:49 AM,128.26,128.26,128.26,128.26,128.26,100,12826.0,1
2019-11-01,09:50,09:50 AM,128.25,128.25,128.25,128.25,128.25,114,14620.5,2
2019-11-01,09:51,09:51 AM,128.22,128.21,128.22,128.21,128.213,150,19232.0,2
2019-11-01,09:52,09:52 AM,128.23,128.19,128.23,128.19,128.21,200,25642.0,2
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,127.95,127.95,127.95,127.95,127.95,100,12795.0,2
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,128.005,127.96,127.96,128.0,127.98299999999999,231,29564.155,3
2019-11-01,09:59,09:59 AM,127.925,127.925,127.925,127.925,127.925,10,1279.25,1
2019-11-01,10:00,10 AM,127.78,127.78,127.78,127.78,127.78,100,12778.0,1
2019-11-01,10:01,10:01 AM,127.8,127.63,127.63,127.765,127.757,1001,127884.55,8
2019-11-01,10:02,10:02 AM,127.805,127.7,127.7,127.805,127.734,604,77151.38,5
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,127.81,127.81,127.81,127.81,127.81,14,1789.34,1
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,127.935,127.92,127.92,127.935,127.93,1200,153516.0,5
2019-11-01,10:07,10:07 AM,128.02,128.01,128.01,128.02,128.018,100,12801.75,2
2019-11-01,10:08,10:08 AM,128.005,128.0,128.0,128.005,128.001,700,89600.5,2
2019-11-01,10:09,10:09 AM,128.01,128.0,128.01,128.0,128.001,1200,153601.0,3
2019-11-01,10:10,10:10 AM,128.06,128.02,128.02,128.06,128.05,4,512.2,2
2019-11-01,10:11,10:11 AM,128.03,128.03,128.03,128.03,128.03,100,12803.0,2
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,128.035,128.035,128.035,128.035,128.035,100,12803.5,1
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,128.06,128.06,128.06,128.06,128.06,100,12806.0,1
2019-11-01,10:19,10:19 AM,128.0,128.0,128.0,128.0,128.0,100,12800.0,1
2019-11-01,10:20,10:20 AM,127.995,127.99,127.995,127.99,127.992,315,40317.425,4
2019-11-01,10:21,10:21 AM,127.85,127.85,127.85,127.85,127.85,100,12785.0,1
2019-11-01,10:22,10:22 AM,127.86,127.85,127.86,127.85,127.85600000000001,178,22758.3,2
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,127.87,127.87,127.87,127.87,127.87,100,12787.0,1
2019-11-01,10:25,10:25 AM,127.89,127.89,127.89,127.89,127.89,200,25578.0,1
2019-11-01,10:26,10:26 AM,127.77,127.77,127.77,127.77,127.77,100,12777.0,1
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,127.77,127.7,127.7,127.77,127.73700000000001,300,38321.0,3
2019-11-01,10:30,10:30 AM,127.79,127.79,127.79,127.79,127.79,100,12779.0,1
2019-11-01,10:31,10:31 AM,127.805,127.775,127.805,127.775,127.792,300,38337.5,3
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,,,,,,0,0.0,0
2019-11-01,10:34,10:34 AM,127.635,127.635,127.635,127.635,127.635,100,12763.5,1
2019-11-01,10:35,10:35 AM,,,,,,0,0.0,0
2019-11-01,10:36,10:36 AM,127.67,127.67,127.67,127.67,127.67,100,12767.0,1
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,127.74,127.74,127.74,127.74,127.74,100,12774.0,1
2019-11-01,10:39,10:39 AM,127.745,127.745,127.745,127.745,127.745,100,12774.5,1
2019-11-01,10:40,10:40 AM,127.745,127.745,127.745,127.745,127.745,100,12774.5,1
2019-11-01,10:41,10:41 AM,,,,,,0,0.0,0
2019-11-01,10:42,10:42 AM,,,,,,0,0.0,0
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,127.76,127.76,127.76,127.76,127.76,100,12776.0,1
2019-11-01,10:45,10:45 AM,127.775,127.775,127.775,127.775,127.775,100,12777.5,1
2019-11-01,10:46,10:46 AM,127.76,127.75,127.76,127.75,127.75,203,25933.28,2
2019-11-01,10:47,10:47 AM,127.71,127.71,127.71,127.71,127.71,3,383.13,1
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,127.725,127.725,127.725,127.725,127.725,100,12772.5,1
2019-11-01,10:50,10:50 AM,127.76,127.75,127.76,127.75,127.75299999999999,300,38326.0,3
2019-11-01,10:51,10:51 AM,127.705,127.705,127.705,127.705,127.705,100,12770.5,1
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,127.72,127.715,127.715,127.72,127.72,401,51215.715,6
2019-11-01,10:55,10:55 AM,,,,,,0,0.0,0
2019-11-01,10:56,10:56 AM,127.67,127.67,127.67,127.67,127.67,100,12767.0,1
2019-11-01,10:57,10:57 AM,127.63,127.63,127.63,127.63,127.63,13,1659.19,1
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,127.64,127.61,127.64,127.61,127.639,103,13146.83,2
2019-11-01,11:01,11:01 AM,127.6,127.6,127.6,127.6,127.6,100,12760.0,1
2019-11-01,11:02,11:02 AM,127.5,127.5,127.5,127.5,127.5,100,12750.0,1
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,127.47,127.47,127.47,127.47,127.47,200,25494.0,2
2019-11-01,11:05,11:05 AM,127.43,127.43,127.43,127.43,127.43,1,127.43,1
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,127.48,127.455,127.455,127.48,127.463,274,34925.02,3
2019-11-01,11:09,11:09 AM,127.46,127.46,127.46,127.46,127.46,100,12746.0,1
2019-11-01,11:10,11:10 AM,127.45,127.45,127.45,127.45,127.45,100,12745.0,1
2019-11-01,11:11,11:11 AM,127.41,127.41,127.41,127.41,127.41,20,2548.2,1
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,127.31,127.31,127.31,127.31,127.31,200,25462.0,2
2019-11-01,11:15,11:15 AM,,,,,,0,0.0,0
2019-11-01,11:16,11:16 AM,127.315,127.3,127.315,127.3,127.305,296,37682.3,3
2019-11-01,11:17,11:17 AM,127.27,127.27,127.27,127.27,127.27,3,381.81,1
2019-11-01,11:18,11:18 AM,127.24,127.24,127.24,127.24,127.24,100,12724.0,1
2019-11-01,11:19,11:19 AM,127.28,127.28,127.28,127.28,127.28,4,509.12,1
2019-11-01,11:20,11:20 AM,127.25,127.25,127.25,127.25,127.25,100,12725.0,1
2019-11-01,11:21,11:21 AM,127.265,127.265,127.265,127.265,127.265,200,25453.0,2
2019-11-01,11:22,11:22 AM,,,,,,0,0.0,0
2019-11-01,11:23,11:23 AM,,,,,,0,0.0,0
2019-11-01,11:24,11:24 AM,127.2,127.2,127.2,127.2,127.2,100,12720.0,1
