date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,46.34,46.34,46.34,46.34,46.34,100.0,4634.0,2.0
2019-11-01,09:34,09:34 AM,46.3,46.3,46.3,46.3,46.3,100.0,4630.0,1.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,46.31,46.28,46.31,46.29,46.29,400.0,18516.0,3.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,46.22,46.2,46.2,46.2,46.20399999999999,509.0,23517.8,4.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,46.24,46.235,46.24,46.24,46.236999999999995,400.0,18495.0,3.0
2019-11-01,09:46,09:46 AM,46.195,46.195,46.195,46.195,46.195,100.0,4619.5,1.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,46.225,46.21,46.21,46.225,46.22,300.0,13866.0,2.0
2019-11-01,09:50,09:50 AM,46.23,46.23,46.23,46.23,46.23,100.0,4623.0,1.0
2019-11-01,09:51,09:51 AM,46.275,46.275,46.275,46.275,46.275,1200.0,55530.0,7.0
2019-11-01,09:52,09:52 AM,46.37,46.37,46.37,46.37,46.37,300.0,13911.0,3.0
2019-11-01,09:53,09:53 AM,46.395,46.37,46.375,46.39,46.379,700.0,32465.0,7.0
2019-11-01,09:54,09:54 AM,46.43,46.395,46.43,46.395,46.41,400.0,18564.0,4.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,46.36,46.355,46.36,46.355,46.357,300.0,13907.0,3.0
2019-11-01,09:57,09:57 AM,46.355,46.32,46.34,46.355,46.33600000000001,720.0,33361.6,8.0
2019-11-01,09:58,09:58 AM,46.36,46.36,46.36,46.36,46.36,200.0,9272.0,2.0
2019-11-01,09:59,09:59 AM,46.405,46.4,46.4,46.405,46.401,700.0,32480.5,6.0
