date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,47.06,46.94,46.94,47.06,46.99100000000001,700,32894.0,2
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,47.045,47.01,47.045,47.01,47.033,1480,69609.1,3
2019-11-01,09:34,09:34 AM,47.01,46.995,46.995,47.01,46.99800000000001,259,12172.59,2
2019-11-01,09:35,09:35 AM,47.05,47.05,47.05,47.05,47.05,200,9410.0,2
2019-11-01,09:36,09:36 AM,47.055,47.02,47.055,47.025,47.028999999999996,900,42326.0,4
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,47.075,47.075,47.075,47.075,47.075,200,9415.0,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,46.94,46.94,46.94,46.94,46.94,500,23470.0,1
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,46.85,46.815,46.85,46.815,46.835,300,14050.5,3
2019-11-01,09:43,09:43 AM,46.85,46.79,46.79,46.85,46.805,1202,56259.7,5
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,46.83,46.81,46.83,46.81,46.824,1000,46824.0,4
2019-11-01,09:46,09:46 AM,46.895,46.895,46.895,46.895,46.895,100,4689.5,1
2019-11-01,09:47,09:47 AM,46.93,46.92,46.92,46.93,46.925,200,9385.0,2
2019-11-01,09:48,09:48 AM,46.98,46.965,46.965,46.975,46.975,400,18790.0,4
2019-11-01,09:49,09:49 AM,47.045,47.03,47.04,47.035,47.041000000000004,800,37633.0,4
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,46.95,46.915,46.95,46.915,46.931000000000004,400,18772.5,4
2019-11-01,09:54,09:54 AM,46.96,46.945,46.945,46.96,46.951,230,10798.8,3
2019-11-01,09:55,09:55 AM,46.97,46.97,46.97,46.97,46.97,100,4697.0,1
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,47.015,46.99,46.99,47.015,47.013999999999996,103,4842.47,3
2019-11-01,09:58,09:58 AM,47.02,47.02,47.02,47.02,47.02,200,9404.0,2
2019-11-01,09:59,09:59 AM,47.08,47.06,47.06,47.08,47.075,400,18830.0,4
2019-11-01,10:00,10 AM,47.05,46.935,47.02,47.01,47.00100000000001,700,32900.5,7
2019-11-01,10:01,10:01 AM,47.07,46.98,46.985,47.07,47.011,500,23505.5,5
