date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,143.75,143.17,143.75,143.17,143.435,292,41883.19,4
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,143.27,143.08,143.27,143.08,143.159,271,38796.17,3
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,142.91,142.8,142.91,142.8,142.865,753,107577.465,6
2019-11-01,09:41,09:41 AM,142.94,142.77,142.94,142.77,142.778,2001,285699.77,5
2019-11-01,09:42,09:42 AM,142.365,142.365,142.365,142.365,142.365,200,28473.0,1
2019-11-01,09:43,09:43 AM,142.46,142.355,142.355,142.46,142.384,800,113907.5,3
2019-11-01,09:44,09:44 AM,142.615,142.29,142.36,142.615,142.421,3274,466287.2,6
2019-11-01,09:45,09:45 AM,142.385,142.2,142.36,142.385,142.351,1692,240857.12,13
2019-11-01,09:46,09:46 AM,142.4,142.31,142.31,142.4,142.369,152,21640.12,2
2019-11-01,09:47,09:47 AM,142.24,142.04,142.24,142.04,142.14,200,28428.0,2
2019-11-01,09:48,09:48 AM,142.175,142.175,142.175,142.175,142.175,200,28435.0,1
2019-11-01,09:49,09:49 AM,142.255,142.255,142.255,142.255,142.255,300,42676.5,1
2019-11-01,09:50,09:50 AM,142.345,142.26,142.295,142.28,142.308,1553,221003.785,9
2019-11-01,09:51,09:51 AM,142.33,142.19,142.33,142.19,142.26,200,28452.0,2
2019-11-01,09:52,09:52 AM,142.26,142.26,142.26,142.26,142.26,100,14226.0,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,142.43,142.43,142.43,142.43,142.43,99,14100.57,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,142.36,142.34,142.34,142.36,142.35,200,28470.0,4
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,142.9,142.9,142.9,142.9,142.9,100,14290.0,1
2019-11-01,10:00,10 AM,143.06,142.985,143.06,143.0,142.99,3511,502038.46,6
2019-11-01,10:01,10:01 AM,142.93,142.93,142.93,142.93,142.93,200,28586.0,2
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,142.57,142.42,142.57,142.42,142.44299999999996,118,16808.26,2
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,143.105,143.08,143.08,143.105,143.093,200,28618.5,2
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,143.205,143.205,143.205,143.205,143.205,100,14320.5,1
2019-11-01,10:08,10:08 AM,143.18,143.18,143.18,143.18,143.18,100,14318.0,1
2019-11-01,10:09,10:09 AM,142.79,142.71,142.79,142.755,142.752,300,42825.5,3
2019-11-01,10:10,10:10 AM,142.75,142.69,142.75,142.69,142.72,200,28544.0,2
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
