date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,166.975,166.865,166.975,166.865,166.938,295,49246.625,2
2019-11-01,09:33,09:33 AM,167.2,167.015,167.015,167.2,167.019,102,17035.9,2
2019-11-01,09:34,09:34 AM,167.34,167.195,167.34,167.24,167.22,204,34112.86,3
2019-11-01,09:35,09:35 AM,167.36,167.205,167.36,167.205,167.28599999999997,211,35297.375,7
2019-11-01,09:36,09:36 AM,167.14,167.1,167.1,167.14,167.125,270,45123.755,3
2019-11-01,09:37,09:37 AM,167.125,166.91,167.125,167.035,167.007,280,46762.035,8
2019-11-01,09:38,09:38 AM,167.04,166.97,166.97,167.04,166.975,43,7179.92,3
2019-11-01,09:39,09:39 AM,167.11,167.11,167.11,167.11,167.11,1,167.11,1
2019-11-01,09:40,09:40 AM,167.25,167.12,167.12,167.21,167.233,372,62210.87,6
2019-11-01,09:41,09:41 AM,167.145,167.02,167.05,167.145,167.05,10,1670.505,5
2019-11-01,09:42,09:42 AM,167.15,167.115,167.115,167.145,167.128,12,2005.54,7
2019-11-01,09:43,09:43 AM,167.27,167.145,167.145,167.27,167.19400000000005,47,7858.125,7
2019-11-01,09:44,09:44 AM,167.345,167.27,167.27,167.345,167.303,5,836.515,5
2019-11-01,09:45,09:45 AM,167.37,167.34,167.37,167.34,167.36599999999999,2101,351636.35,10
2019-11-01,09:46,09:46 AM,167.405,167.32,167.32,167.4,167.347,435,72795.94,5
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,167.555,167.395,167.555,167.395,167.46900000000005,1411,236299.065,5
2019-11-01,09:49,09:49 AM,167.37,167.27,167.37,167.27,167.301,2100,351332.0,6
2019-11-01,09:50,09:50 AM,167.16,167.15,167.16,167.15,167.15900000000005,115,19223.25,2
2019-11-01,09:51,09:51 AM,167.195,167.195,167.195,167.195,167.195,4,668.78,1
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,167.14,167.14,167.14,167.14,167.14,100,16714.0,1
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,167.43,167.43,167.43,167.43,167.43,100,16743.0,1
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,168.13,168.13,168.13,168.13,168.13,20,3362.6,1
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,168.22,168.22,168.22,168.22,168.22,4,672.88,1
2019-11-01,10:12,10:12 AM,168.45,168.3,168.3,168.38,168.44299999999996,217,36552.1,5
