date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,44.885,44.665,44.665,44.885,44.808,1300,58250.0,5
2019-11-01,09:31,09:31 AM,44.86,44.76,44.86,44.76,44.81,200,8962.0,2
2019-11-01,09:32,09:32 AM,44.8,44.635,44.8,44.635,44.716,1858,83083.2,15
2019-11-01,09:33,09:33 AM,44.645,44.61,44.61,44.63,44.629,500,22314.5,4
2019-11-01,09:34,09:34 AM,44.87,44.64,44.64,44.85,44.828,1145,51327.81,15
2019-11-01,09:35,09:35 AM,44.89,44.855,44.855,44.885,44.87600000000001,315,14135.91,8
2019-11-01,09:36,09:36 AM,44.965,44.92,44.92,44.95,44.937,472,21210.285,9
2019-11-01,09:37,09:37 AM,44.975,44.945,44.975,44.97,44.958999999999996,1102,49544.39,8
2019-11-01,09:38,09:38 AM,45.135,45.045,45.045,45.11,45.093999999999994,417,18804.125,5
2019-11-01,09:39,09:39 AM,45.11,45.09,45.09,45.11,45.09,401,18081.11,2
2019-11-01,09:40,09:40 AM,45.22,45.07,45.17,45.07,45.161,1405,63451.185,12
2019-11-01,09:41,09:41 AM,44.96,44.89,44.96,44.89,44.913000000000004,500,22456.5,5
2019-11-01,09:42,09:42 AM,44.86,44.855,44.86,44.86,44.858000000000004,500,22429.0,5
2019-11-01,09:43,09:43 AM,44.91,44.84,44.88,44.84,44.903,121,5433.24,3
2019-11-01,09:44,09:44 AM,44.9,44.86,44.86,44.9,44.873999999999995,156,7000.4,3
2019-11-01,09:45,09:45 AM,44.95,44.9,44.91,44.95,44.92,2945,132289.53,14
2019-11-01,09:46,09:46 AM,44.99,44.94,44.94,44.99,44.973,300,13492.0,3
2019-11-01,09:47,09:47 AM,45.0,44.95,45.0,44.95,44.968,524,23563.5,6
2019-11-01,09:48,09:48 AM,44.98,44.935,44.935,44.98,44.93899999999999,1904,85564.74,5
2019-11-01,09:49,09:49 AM,45.005,44.97,45.005,44.97,44.986999999999995,300,13496.0,3
2019-11-01,09:50,09:50 AM,44.95,44.93,44.95,44.95,44.943999999999996,640,28764.2,7
2019-11-01,09:51,09:51 AM,45.03,44.965,44.965,45.03,44.986999999999995,300,13496.0,3
2019-11-01,09:52,09:52 AM,45.06,45.02,45.02,45.06,45.037,300,13511.0,3
2019-11-01,09:53,09:53 AM,45.09,45.065,45.065,45.09,45.065,201,9058.09,2
2019-11-01,09:54,09:54 AM,45.06,45.06,45.06,45.06,45.06,105,4731.3,2
2019-11-01,09:55,09:55 AM,45.11,45.1,45.1,45.11,45.105,200,9021.0,2
2019-11-01,09:56,09:56 AM,45.17,45.145,45.145,45.17,45.162,300,13548.5,3
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,45.23,45.22,45.22,45.23,45.225,200,9045.0,2
2019-11-01,09:59,09:59 AM,45.26,45.25,45.26,45.25,45.255,181,8191.25,2
2019-11-01,10:00,10 AM,45.24,45.24,45.24,45.24,45.24,10,452.4,1
2019-11-01,10:01,10:01 AM,45.28,45.28,45.28,45.28,45.28,100,4528.0,2
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,45.34,45.315,45.315,45.33,45.326,600,27195.5,3
2019-11-01,10:04,10:04 AM,45.37,45.34,45.37,45.34,45.358000000000004,600,27214.5,6
2019-11-01,10:05,10:05 AM,45.365,45.325,45.325,45.365,45.34,300,13602.0,3
2019-11-01,10:06,10:06 AM,45.365,45.315,45.365,45.315,45.343,500,22671.5,6
2019-11-01,10:07,10:07 AM,45.305,45.305,45.305,45.305,45.305,100,4530.5,1
2019-11-01,10:08,10:08 AM,45.38,45.375,45.375,45.38,45.38,302,13704.75,4
2019-11-01,10:09,10:09 AM,45.415,45.4,45.4,45.405,45.407,300,13622.0,3
2019-11-01,10:10,10:10 AM,45.375,45.36,45.375,45.375,45.37,400,18148.0,4
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,45.29,45.28,45.29,45.28,45.287,600,27172.0,4
2019-11-01,10:13,10:13 AM,45.35,45.345,45.345,45.35,45.348,297,13468.465,3
2019-11-01,10:14,10:14 AM,45.34,45.34,45.34,45.34,45.34,100,4534.0,1
