date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,87.01,86.975,86.975,87.01,86.98200000000001,1900,165266.5,9
2019-11-01,09:32,09:32 AM,87.12,87.0,87.0,87.09,87.06,1262,109869.94,11
2019-11-01,09:33,09:33 AM,87.24,87.09,87.09,87.18,87.191,1068,93120.125,8
2019-11-01,09:34,09:34 AM,87.07,87.07,87.07,87.07,87.07,100,8707.0,1
2019-11-01,09:35,09:35 AM,86.97,86.97,86.97,86.97,86.97,100,8697.0,1
2019-11-01,09:36,09:36 AM,87.08,87.07,87.07,87.07,87.07600000000002,500,43538.0,4
2019-11-01,09:37,09:37 AM,87.145,87.08,87.145,87.12,87.096,701,61054.6,8
2019-11-01,09:38,09:38 AM,87.05,87.05,87.05,87.05,87.05,4,348.2,2
2019-11-01,09:39,09:39 AM,87.02,87.0,87.015,87.0,87.01299999999998,800,69610.5,8
2019-11-01,09:40,09:40 AM,87.075,86.955,86.99,87.075,86.975,4006,348420.44,15
2019-11-01,09:41,09:41 AM,86.96,86.94,86.96,86.94,86.95,200,17390.0,2
2019-11-01,09:42,09:42 AM,86.94,86.94,86.94,86.94,86.94,200,17388.0,1
2019-11-01,09:43,09:43 AM,87.01,86.96,86.99,86.96,87.00200000000002,204,17748.4,4
2019-11-01,09:44,09:44 AM,86.935,86.915,86.93,86.915,86.92299999999999,600,52154.0,6
2019-11-01,09:45,09:45 AM,86.95,86.915,86.95,86.915,86.93299999999998,200,17386.5,2
2019-11-01,09:46,09:46 AM,86.9,86.88,86.885,86.9,86.89299999999999,506,43967.9,5
2019-11-01,09:47,09:47 AM,86.89,86.89,86.89,86.89,86.89,100,8689.0,1
2019-11-01,09:48,09:48 AM,86.87,86.795,86.87,86.795,86.848,500,43424.0,3
2019-11-01,09:49,09:49 AM,86.845,86.805,86.805,86.845,86.83,300,26049.0,3
2019-11-01,09:50,09:50 AM,86.835,86.835,86.835,86.835,86.835,100,8683.5,1
2019-11-01,09:51,09:51 AM,86.86,86.845,86.85,86.86,86.85600000000002,700,60799.5,4
2019-11-01,09:52,09:52 AM,86.85,86.845,86.85,86.845,86.84700000000002,300,26054.0,3
2019-11-01,09:53,09:53 AM,86.94,86.88,86.88,86.94,86.90100000000002,500,43450.5,5
2019-11-01,09:54,09:54 AM,86.93,86.93,86.93,86.93,86.93,200,17386.0,1
2019-11-01,09:55,09:55 AM,86.89,86.84,86.85,86.885,86.861,500,43430.5,5
2019-11-01,09:56,09:56 AM,86.93,86.875,86.905,86.89,86.904,876,76128.285,9
2019-11-01,09:57,09:57 AM,86.89,86.88,86.88,86.89,86.88799999999998,600,52133.0,3
2019-11-01,09:58,09:58 AM,86.91,86.9,86.91,86.9,86.90100000000002,1100,95591.0,4
2019-11-01,09:59,09:59 AM,86.92,86.8,86.92,86.81,86.867,532,46213.04,5
2019-11-01,10:00,10 AM,86.86,86.8,86.805,86.855,86.82799999999996,1048,90996.24,9
2019-11-01,10:01,10:01 AM,86.96,86.91,86.91,86.96,86.934,900,78240.5,8
2019-11-01,10:02,10:02 AM,86.935,86.935,86.935,86.935,86.935,100,8693.5,1
2019-11-01,10:03,10:03 AM,86.95,86.87,86.87,86.95,86.89,400,34756.0,2
2019-11-01,10:04,10:04 AM,86.99,86.95,86.97,86.95,86.97,300,26091.0,3
2019-11-01,10:05,10:05 AM,86.885,86.885,86.885,86.885,86.885,100,8688.5,1
2019-11-01,10:06,10:06 AM,86.74,86.74,86.74,86.74,86.74,100,8674.0,1
2019-11-01,10:07,10:07 AM,86.72,86.7,86.705,86.72,86.711,500,43355.5,4
2019-11-01,10:08,10:08 AM,86.705,86.705,86.705,86.705,86.705,100,8670.5,1
2019-11-01,10:09,10:09 AM,86.815,86.81,86.815,86.81,86.81299999999996,200,17362.5,2
2019-11-01,10:10,10:10 AM,86.74,86.74,86.74,86.74,86.74,100,8674.0,1
2019-11-01,10:11,10:11 AM,86.7,86.695,86.7,86.695,86.698,200,17339.5,2
2019-11-01,10:12,10:12 AM,86.71,86.71,86.71,86.71,86.71,400,34684.0,4
2019-11-01,10:13,10:13 AM,86.77,86.735,86.77,86.735,86.74700000000001,600,52048.0,6
2019-11-01,10:14,10:14 AM,86.76,86.72,86.725,86.76,86.73200000000001,500,43366.0,5
2019-11-01,10:15,10:15 AM,86.85,86.81,86.81,86.84,86.83200000000002,842,73112.52,8
2019-11-01,10:16,10:16 AM,86.855,86.815,86.855,86.815,86.835,957,83101.5,12
2019-11-01,10:17,10:17 AM,86.815,86.775,86.815,86.775,86.79,320,27772.7,4
2019-11-01,10:18,10:18 AM,86.79,86.74,86.77,86.79,86.75,2106,182696.0,12
2019-11-01,10:19,10:19 AM,86.81,86.79,86.81,86.79,86.79899999999998,600,52079.5,6
2019-11-01,10:20,10:20 AM,86.79,86.78,86.78,86.78,86.78399999999998,700,60748.5,7
2019-11-01,10:21,10:21 AM,86.78,86.74,86.78,86.74,86.74700000000001,559,48491.66,2
2019-11-01,10:22,10:22 AM,86.79,86.74,86.745,86.79,86.764,2250,195218.5,13
2019-11-01,10:23,10:23 AM,86.795,86.75,86.795,86.75,86.772,200,17354.5,2
2019-11-01,10:24,10:24 AM,86.79,86.69,86.77,86.69,86.736,902,78235.54,10
2019-11-01,10:25,10:25 AM,86.7,86.68,86.7,86.68,86.69,200,17338.0,2
2019-11-01,10:26,10:26 AM,86.71,86.65,86.68,86.71,86.695,1600,138712.5,10
2019-11-01,10:27,10:27 AM,86.66,86.65,86.66,86.65,86.655,300,25996.5,3
2019-11-01,10:28,10:28 AM,86.65,86.59,86.605,86.65,86.63,1498,129771.24,10
2019-11-01,10:29,10:29 AM,86.645,86.63,86.645,86.63,86.633,500,43316.5,4
2019-11-01,10:30,10:30 AM,86.65,86.635,86.64,86.65,86.64200000000002,877,75985.02,9
2019-11-01,10:31,10:31 AM,86.69,86.65,86.65,86.685,86.665,301,26086.19,4
2019-11-01,10:32,10:32 AM,86.685,86.61,86.685,86.61,86.65100000000002,707,61262.27,7
2019-11-01,10:33,10:33 AM,86.59,86.575,86.59,86.575,86.57700000000001,706,61123.45,5
2019-11-01,10:34,10:34 AM,86.46,86.46,86.46,86.46,86.46,100,8646.0,1
