date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,11.67,11.67,11.67,11.67,11.67,100.0,1167.0,1.0
2019-11-01,09:31,09:31 AM,11.65,11.645,11.645,11.65,11.645,507.0,5904.05,2.0
2019-11-01,09:32,09:32 AM,11.645,11.625,11.645,11.635,11.637,774.0,9007.05,8.0
2019-11-01,09:33,09:33 AM,11.66,11.63,11.635,11.66,11.637,905.0,10531.3,8.0
2019-11-01,09:34,09:34 AM,11.71,11.67,11.67,11.71,11.697000000000001,1900.0,22224.965,12.0
2019-11-01,09:35,09:35 AM,11.725,11.7,11.725,11.71,11.709000000000001,599.0,7013.79,4.0
2019-11-01,09:36,09:36 AM,11.705,11.69,11.7,11.69,11.694,401.0,4689.2,4.0
2019-11-01,09:37,09:37 AM,11.71,11.68,11.71,11.68,11.704,643.0,7525.67,6.0
2019-11-01,09:38,09:38 AM,11.725,11.71,11.71,11.725,11.725,13406.0,157180.85,10.0
2019-11-01,09:39,09:39 AM,11.75,11.73,11.75,11.735,11.735,500.0,5867.5,5.0
2019-11-01,09:40,09:40 AM,11.77,11.75,11.75,11.77,11.764000000000001,1335.0,15704.95,12.0
2019-11-01,09:41,09:41 AM,11.78,11.77,11.77,11.78,11.775,200.0,2355.0,2.0
2019-11-01,09:42,09:42 AM,11.79,11.76,11.765,11.79,11.777000000000001,900.0,10599.5,9.0
2019-11-01,09:43,09:43 AM,11.815,11.78,11.78,11.815,11.780999999999999,209.0,2462.335,2.0
2019-11-01,09:44,09:44 AM,11.805,11.795,11.805,11.8,11.8,421.0,4967.695,4.0
2019-11-01,09:45,09:45 AM,11.81,11.795,11.795,11.81,11.795,21100.0,248883.5,10.0
2019-11-01,09:46,09:46 AM,11.8,11.79,11.8,11.79,11.792,1000.0,11792.0,8.0
2019-11-01,09:47,09:47 AM,11.81,11.8,11.81,11.8,11.807,431.0,5088.955,4.0
2019-11-01,09:48,09:48 AM,11.795,11.79,11.79,11.795,11.790999999999999,585.0,6897.575,3.0
2019-11-01,09:49,09:49 AM,11.81,11.805,11.81,11.805,11.808,290.0,3424.45,4.0
2019-11-01,09:50,09:50 AM,11.81,11.805,11.81,11.805,11.806,500.0,5903.0,3.0
2019-11-01,09:51,09:51 AM,11.82,11.805,11.82,11.805,11.814,2900.0,34262.0,9.0
2019-11-01,09:52,09:52 AM,11.8,11.8,11.8,11.8,11.8,100.0,1180.0,1.0
2019-11-01,09:53,09:53 AM,11.805,11.8,11.805,11.8,11.802,300.0,3540.5,2.0
2019-11-01,09:54,09:54 AM,11.835,11.81,11.81,11.835,11.821,404.0,4775.74,6.0
2019-11-01,09:55,09:55 AM,11.825,11.82,11.825,11.82,11.821,370.0,4373.9,5.0
2019-11-01,09:56,09:56 AM,11.84,11.825,11.84,11.84,11.835,300.0,3550.5,3.0
2019-11-01,09:57,09:57 AM,11.86,11.845,11.85,11.855,11.850999999999999,708.0,8390.38,5.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,11.87,11.865,11.865,11.865,11.867,929.0,11024.81,9.0
2019-11-01,10:00,10 AM,11.85,11.85,11.85,11.85,11.85,400.0,4740.0,2.0
2019-11-01,10:01,10:01 AM,11.895,11.885,11.885,11.895,11.888,703.0,8357.255,7.0
2019-11-01,10:02,10:02 AM,11.895,11.885,11.89,11.89,11.89,500.0,5945.0,5.0
2019-11-01,10:03,10:03 AM,11.925,11.885,11.89,11.925,11.9,710.0,8449.05,8.0
2019-11-01,10:04,10:04 AM,11.925,11.915,11.925,11.925,11.923,736.0,8775.12,7.0
2019-11-01,10:05,10:05 AM,11.945,11.94,11.945,11.945,11.944,2900.0,34637.5,15.0
2019-11-01,10:06,10:06 AM,11.96,11.955,11.96,11.955,11.955,103.0,1231.38,2.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:08,10:08 AM,11.96,11.96,11.96,11.96,11.96,1196.0,14304.16,7.0
2019-11-01,10:09,10:09 AM,11.96,11.95,11.96,11.955,11.954,1300.0,15540.0,12.0
2019-11-01,10:10,10:10 AM,11.96,11.95,11.96,11.955,11.955,600.0,7173.0,6.0
2019-11-01,10:11,10:11 AM,11.975,11.96,11.96,11.965,11.964,291.0,3481.61,4.0
2019-11-01,10:12,10:12 AM,11.985,11.985,11.985,11.985,11.985,579.0,6939.315,4.0
2019-11-01,10:13,10:13 AM,12.025,12.0,12.0,12.025,12.01,290.0,3483.0,3.0
2019-11-01,10:14,10:14 AM,12.005,11.995,12.005,11.995,12.001,484.0,5808.42,4.0
2019-11-01,10:15,10:15 AM,11.995,11.99,11.995,11.99,11.993,220.0,2638.4,3.0
2019-11-01,10:16,10:16 AM,11.985,11.975,11.975,11.985,11.979000000000001,900.0,10781.5,8.0
2019-11-01,10:17,10:17 AM,11.995,11.985,11.995,11.995,11.994000000000002,778.0,9331.65,8.0
2019-11-01,10:18,10:18 AM,11.995,11.96,11.995,11.96,11.972999999999999,1000.0,11973.5,8.0
2019-11-01,10:19,10:19 AM,11.96,11.96,11.96,11.96,11.96,100.0,1196.0,1.0
2019-11-01,10:20,10:20 AM,11.975,11.97,11.975,11.97,11.972999999999999,200.0,2394.5,2.0
