date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,,,,,,,,,
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,237.42,237.42,237.42,237.42,237.42,10.0,2374.2,1.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,237.97,237.63,237.63,237.97,237.687,120.0,28522.4,3.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,238.07,237.89,237.89,238.07,238.01,30.0,7140.3,2.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,240.44,240.25,240.44,240.25,240.354,22.0,5287.78,2.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,240.75,240.75,240.75,240.75,240.75,20.0,4815.0,1.0
2019-11-01,09:46,09:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,240.195,240.195,240.195,240.195,240.195,1.0,240.195,1.0
2019-11-01,09:50,09:50 AM,240.47,240.39,240.39,240.47,240.46200000000002,10.0,2404.62,2.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,240.72,240.44,240.72,240.44,240.465,110.0,26451.2,2.0
2019-11-01,09:53,09:53 AM,240.76,240.76,240.76,240.76,240.76,10.0,2407.6,1.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,240.48,240.48,240.48,240.48,240.48,10.0,2404.8,1.0
2019-11-01,09:56,09:56 AM,240.21,239.465,240.21,239.465,239.955,300.0,71986.5,4.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,238.86,238.79,238.86,238.79,238.796,220.0,52535.2,3.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:06,10:06 AM,239.52,239.52,239.52,239.52,239.52,10.0,2395.2,1.0
2019-11-01,10:07,10:07 AM,239.52,239.52,239.52,239.52,239.52,10.0,2395.2,1.0
2019-11-01,10:08,10:08 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:09,10:09 AM,239.155,239.155,239.155,239.155,239.155,100.0,23915.5,1.0
2019-11-01,10:10,10:10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:11,10:11 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:12,10:12 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:13,10:13 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:14,10:14 AM,238.95,238.95,238.95,238.95,238.95,100.0,23895.0,1.0
2019-11-01,10:15,10:15 AM,239.2,238.86,239.2,238.86,239.179,96.0,22961.16,2.0
2019-11-01,10:16,10:16 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:17,10:17 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:18,10:18 AM,238.885,238.885,238.885,238.885,238.885,400.0,95554.0,2.0
2019-11-01,10:19,10:19 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:20,10:20 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:21,10:21 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:22,10:22 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:23,10:23 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:24,10:24 AM,238.9,238.675,238.675,238.7,238.69,310.0,73994.0,3.0
2019-11-01,10:25,10:25 AM,239.0,238.995,239.0,238.995,238.99599999999998,550.0,131447.75,2.0
2019-11-01,10:26,10:26 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:27,10:27 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:28,10:28 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:29,10:29 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:30,10:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:31,10:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:32,10:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:33,10:33 AM,239.075,239.075,239.075,239.075,239.075,100.0,23907.5,1.0
2019-11-01,10:34,10:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:35,10:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:36,10:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:37,10:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:38,10:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:39,10:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:40,10:40 AM,240.4,240.4,240.4,240.4,240.4,10.0,2404.0,1.0
2019-11-01,10:41,10:41 AM,240.16,240.16,240.16,240.16,240.16,100.0,24016.0,1.0
2019-11-01,10:42,10:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:43,10:43 AM,239.99,239.99,239.99,239.99,239.99,100.0,23999.0,1.0
2019-11-01,10:44,10:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:45,10:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:46,10:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:47,10:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:48,10:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:49,10:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:50,10:50 AM,239.96,239.96,239.96,239.96,239.96,3.0,719.88,1.0
2019-11-01,10:51,10:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:52,10:52 AM,240.65,240.46,240.46,240.65,240.52700000000002,300.0,72158.0,3.0
2019-11-01,10:53,10:53 AM,240.545,240.545,240.545,240.545,240.545,100.0,24054.5,1.0
