date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,144.4,143.96,144.33,144.11,144.195,11772,1697466.91,136
2019-11-01,09:31,09:31 AM,144.12,143.91,144.065,143.93,143.994,11761,1693515.615,61
2019-11-01,09:32,09:32 AM,143.95,143.865,143.88,143.92,143.922,7858,1130939.04,57
2019-11-01,09:33,09:33 AM,143.81,143.7,143.81,143.72,143.786,5268,757463.025,59
2019-11-01,09:34,09:34 AM,143.8,143.53,143.8,143.53,143.66,3556,510855.48,16
2019-11-01,09:35,09:35 AM,143.575,143.49,143.51,143.56,143.548,3655,524667.13,38
2019-11-01,09:36,09:36 AM,143.7,143.57,143.6,143.6,143.606,1960,281467.495,25
2019-11-01,09:37,09:37 AM,143.67,143.525,143.63,143.575,143.589,3343,480019.115,27
2019-11-01,09:38,09:38 AM,143.59,143.495,143.58,143.495,143.553,9561,1372508.93,50
2019-11-01,09:39,09:39 AM,143.76,143.51,143.51,143.67,143.602,2252,323391.98,23
2019-11-01,09:40,09:40 AM,143.64,143.57,143.64,143.57,143.597,2081,298825.645,32
2019-11-01,09:41,09:41 AM,143.69,143.535,143.56,143.67,143.599,12702,1823999.48,58
2019-11-01,09:42,09:42 AM,143.71,143.61,143.67,143.67,143.67,3840,551693.78,55
2019-11-01,09:43,09:43 AM,143.75,143.66,143.66,143.675,143.726,2566,368799.92,41
2019-11-01,09:44,09:44 AM,143.745,143.665,143.665,143.73,143.718,4252,611089.875,56
2019-11-01,09:45,09:45 AM,143.715,143.6,143.695,143.63,143.683,2802,402601.06,48
2019-11-01,09:46,09:46 AM,143.67,143.6,143.65,143.645,143.65,1807,259575.17,23
2019-11-01,09:47,09:47 AM,143.7,143.63,143.65,143.69,143.68200000000004,2935,421707.22,24
2019-11-01,09:48,09:48 AM,143.805,143.705,143.705,143.795,143.78,4252,611355.065,55
2019-11-01,09:49,09:49 AM,143.805,143.7,143.8,143.705,143.72799999999995,13534,1945218.045,41
2019-11-01,09:50,09:50 AM,143.795,143.72,143.72,143.795,143.75799999999995,965,138726.57,12
2019-11-01,09:51,09:51 AM,143.8,143.69,143.8,143.725,143.749,1692,243223.64,25
2019-11-01,09:52,09:52 AM,143.725,143.62,143.72,143.63,143.658,1155,165925.02,23
2019-11-01,09:53,09:53 AM,143.7,143.63,143.63,143.66,143.661,4492,645324.095,62
2019-11-01,09:54,09:54 AM,143.745,143.66,143.725,143.745,143.701,2994,430241.51,33
2019-11-01,09:55,09:55 AM,143.845,143.69,143.795,143.69,143.757,3666,527015.06,36
2019-11-01,09:56,09:56 AM,143.7,143.635,143.67,143.66,143.667,865,124271.545,14
2019-11-01,09:57,09:57 AM,143.69,143.46,143.69,143.46,143.569,2700,387636.76,29
2019-11-01,09:58,09:58 AM,143.455,143.35,143.455,143.38,143.4,3773,541049.44,23
2019-11-01,09:59,09:59 AM,143.365,143.235,143.365,143.29,143.263,1831,262314.6,27
2019-11-01,10:00,10 AM,143.32,143.03,143.23,143.29,143.185,7058,1010601.565,80
2019-11-01,10:01,10:01 AM,143.56,143.32,143.33,143.56,143.459,4308,618021.2,50
2019-11-01,10:02,10:02 AM,143.7,143.515,143.535,143.69,143.599,5128,736374.14,67
2019-11-01,10:03,10:03 AM,143.745,143.645,143.745,143.685,143.688,4063,583803.695,53
2019-11-01,10:04,10:04 AM,143.695,143.605,143.695,143.64,143.634,3108,446413.735,41
2019-11-01,10:05,10:05 AM,143.695,143.63,143.645,143.685,143.649,12031,1728243.2,98
2019-11-01,10:06,10:06 AM,143.81,143.655,143.7,143.725,143.743,6787,975581.98,76
2019-11-01,10:07,10:07 AM,143.76,143.7,143.71,143.755,143.74200000000005,4821,692977.805,55
2019-11-01,10:08,10:08 AM,143.8,143.685,143.755,143.785,143.765,8001,1150261.265,63
2019-11-01,10:09,10:09 AM,143.775,143.74,143.775,143.775,143.766,1998,287244.395,23
2019-11-01,10:10,10:10 AM,143.81,143.75,143.78,143.805,143.775,3339,480066.295,34
2019-11-01,10:11,10:11 AM,143.835,143.74,143.805,143.77,143.77200000000005,5101,733378.535,60
2019-11-01,10:12,10:12 AM,143.82,143.77,143.77,143.795,143.789,7413,1065906.68,48
2019-11-01,10:13,10:13 AM,143.84,143.77,143.805,143.775,143.803,10752,1546168.85,72
2019-11-01,10:14,10:14 AM,143.81,143.76,143.76,143.79,143.781,2524,362903.22,31
