date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,166.72,166.69,166.69,166.72,166.707,299.0,49845.28,3.0
2019-11-01,09:31,09:31 AM,167.12,167.12,167.12,167.12,167.12,100.0,16712.0,1.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,166.86,166.86,166.86,166.86,166.86,100.0,16686.0,1.0
2019-11-01,09:34,09:34 AM,166.9,166.605,166.9,166.605,166.613,103.0,17161.2,2.0
2019-11-01,09:35,09:35 AM,166.64,166.64,166.64,166.64,166.64,1.0,166.64,1.0
2019-11-01,09:36,09:36 AM,166.79,166.595,166.595,166.79,166.68599999999995,210.0,35004.13,5.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,166.48,166.48,166.48,166.48,166.48,547.0,91064.56,3.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,166.81,166.795,166.795,166.81,166.803,200.0,33360.5,2.0
2019-11-01,09:42,09:42 AM,166.985,166.75,166.985,166.81,166.868,210.0,35042.365,4.0
2019-11-01,09:43,09:43 AM,166.755,166.755,166.755,166.755,166.755,100.0,16675.5,1.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,167.195,167.04,167.195,167.04,167.106,7.0,1169.745,2.0
2019-11-01,09:46,09:46 AM,166.69,166.69,166.69,166.69,166.69,3.0,500.07,1.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,166.57,166.57,166.57,166.57,166.57,6.0,999.42,2.0
2019-11-01,09:50,09:50 AM,166.59,166.59,166.59,166.59,166.59,148.0,24655.32,1.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,166.78,166.71,166.775,166.71,166.733,600.0,100040.0,6.0
2019-11-01,09:53,09:53 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:54,09:54 AM,166.94,166.94,166.94,166.94,166.94,100.0,16694.0,1.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,166.725,166.71,166.725,166.71,166.71099999999996,210.0,35009.25,2.0
2019-11-01,09:58,09:58 AM,166.9,166.9,166.9,166.9,166.9,100.0,16690.0,1.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,166.96,166.96,166.96,166.96,166.96,14.0,2337.44,1.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,167.365,167.365,167.365,167.365,167.365,100.0,16736.5,1.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:06,10:06 AM,167.43,167.43,167.43,167.43,167.43,4.0,669.72,1.0
2019-11-01,10:07,10:07 AM,167.16,167.16,167.16,167.16,167.16,1.0,167.16,1.0
