date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,19.31,19.24,19.25,19.31,19.284000000000002,2100,40496.0,3
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,19.36,19.36,19.36,19.36,19.36,300,5808.0,1
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,19.48,19.48,19.48,19.48,19.48,114,2220.72,1
2019-11-01,09:36,09:36 AM,19.56,19.56,19.56,19.56,19.56,104,2034.24,1
2019-11-01,09:37,09:37 AM,19.57,19.57,19.57,19.57,19.57,130,2544.1,6
2019-11-01,09:38,09:38 AM,19.575,19.565,19.565,19.575,19.573,2411,47189.825,7
2019-11-01,09:39,09:39 AM,19.6,19.6,19.6,19.6,19.6,200,3920.0,2
2019-11-01,09:40,09:40 AM,19.58,19.58,19.58,19.58,19.58,100,1958.0,1
2019-11-01,09:41,09:41 AM,19.56,19.55,19.55,19.56,19.552,400,7821.0,4
2019-11-01,09:42,09:42 AM,19.56,19.56,19.56,19.56,19.56,468,9154.08,2
2019-11-01,09:43,09:43 AM,19.6,19.6,19.6,19.6,19.6,100,1960.0,1
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,19.655,19.65,19.655,19.65,19.655,526,10338.4,3
2019-11-01,09:46,09:46 AM,19.635,19.61,19.635,19.635,19.622,597,11714.11,5
2019-11-01,09:47,09:47 AM,19.63,19.63,19.63,19.63,19.63,104,2041.52,2
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,19.66,19.64,19.64,19.66,19.653,300,5896.0,4
2019-11-01,09:50,09:50 AM,19.7,19.67,19.675,19.7,19.683,2911,57298.035,8
2019-11-01,09:51,09:51 AM,19.66,19.66,19.66,19.66,19.66,100,1966.0,1
2019-11-01,09:52,09:52 AM,19.635,19.635,19.635,19.635,19.635,100,1963.5,1
2019-11-01,09:53,09:53 AM,19.67,19.66,19.67,19.66,19.66,104,2044.68,4
2019-11-01,09:54,09:54 AM,19.7,19.66,19.66,19.7,19.687,8081,159093.325,17
2019-11-01,09:55,09:55 AM,19.71,19.71,19.71,19.71,19.71,41,808.11,1
2019-11-01,09:56,09:56 AM,19.71,19.695,19.71,19.7,19.701,400,7880.5,4
2019-11-01,09:57,09:57 AM,19.695,19.69,19.69,19.695,19.691,499,9825.81,2
2019-11-01,09:58,09:58 AM,19.71,19.71,19.71,19.71,19.71,100,1971.0,1
2019-11-01,09:59,09:59 AM,19.74,19.72,19.74,19.72,19.73,200,3946.0,2
2019-11-01,10:00,10 AM,19.775,19.69,19.71,19.775,19.729,400,7891.5,4
2019-11-01,10:01,10:01 AM,19.825,19.76,19.77,19.825,19.789,932,18443.76,9
2019-11-01,10:02,10:02 AM,19.84,19.825,19.825,19.84,19.832,210,4164.75,3
2019-11-01,10:03,10:03 AM,19.86,19.86,19.86,19.86,19.86,200,3972.0,2
2019-11-01,10:04,10:04 AM,19.9,19.88,19.88,19.895,19.889,600,11933.5,4
2019-11-01,10:05,10:05 AM,19.91,19.875,19.875,19.91,19.89,1311,26076.36,7
2019-11-01,10:06,10:06 AM,19.895,19.87,19.89,19.87,19.889,800,15911.0,6
2019-11-01,10:07,10:07 AM,19.885,19.85,19.87,19.875,19.87,921,18300.235,11
2019-11-01,10:08,10:08 AM,19.87,19.86,19.87,19.865,19.865,528,10488.72,5
2019-11-01,10:09,10:09 AM,19.865,19.845,19.865,19.855,19.854,412,8179.76,5
2019-11-01,10:10,10:10 AM,19.865,19.85,19.865,19.85,19.862000000000002,500,9931.0,5
2019-11-01,10:11,10:11 AM,19.855,19.835,19.835,19.855,19.845,387,7679.885,3
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,19.875,19.85,19.85,19.87,19.867,510,10132.2,6
2019-11-01,10:14,10:14 AM,19.87,19.845,19.845,19.87,19.851,400,7940.5,5
2019-11-01,10:15,10:15 AM,19.86,19.85,19.85,19.86,19.855,200,3971.0,2
2019-11-01,10:16,10:16 AM,19.86,19.85,19.85,19.86,19.855999999999998,300,5956.9,4
2019-11-01,10:17,10:17 AM,19.855,19.85,19.85,19.855,19.854,400,7941.5,3
2019-11-01,10:18,10:18 AM,19.86,19.855,19.855,19.86,19.859,125,2482.375,2
2019-11-01,10:19,10:19 AM,19.855,19.835,19.855,19.835,19.845,378,7501.41,3
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,19.845,19.84,19.84,19.845,19.840999999999998,401,7956.345,2
2019-11-01,10:22,10:22 AM,19.855,19.855,19.855,19.855,19.855,132,2620.86,1
2019-11-01,10:23,10:23 AM,19.87,19.865,19.865,19.87,19.868,300,5960.5,3
2019-11-01,10:24,10:24 AM,19.865,19.84,19.865,19.85,19.855999999999998,231,4586.74,4
2019-11-01,10:25,10:25 AM,19.87,19.855,19.855,19.87,19.86,305,6057.3,4
2019-11-01,10:26,10:26 AM,19.89,19.88,19.88,19.885,19.887,600,11932.5,6
2019-11-01,10:27,10:27 AM,19.89,19.885,19.89,19.885,19.887999999999998,300,5966.5,5
2019-11-01,10:28,10:28 AM,19.89,19.89,19.89,19.89,19.89,200,3978.0,3
2019-11-01,10:29,10:29 AM,19.895,19.88,19.895,19.88,19.887,200,3977.5,2
2019-11-01,10:30,10:30 AM,19.89,19.885,19.89,19.885,19.887,400,7955.0,4
2019-11-01,10:31,10:31 AM,19.89,19.865,19.885,19.885,19.88,480,9542.585,8
2019-11-01,10:32,10:32 AM,19.885,19.88,19.885,19.885,19.885,311,6184.18,5
2019-11-01,10:33,10:33 AM,19.9,19.895,19.9,19.895,19.897000000000002,300,5969.0,3
2019-11-01,10:34,10:34 AM,19.905,19.885,19.885,19.885,19.893,700,13925.0,7
2019-11-01,10:35,10:35 AM,19.905,19.88,19.885,19.885,19.887999999999998,792,15751.42,9
2019-11-01,10:36,10:36 AM,19.89,19.865,19.88,19.89,19.877,600,11926.0,5
2019-11-01,10:37,10:37 AM,19.905,19.895,19.895,19.905,19.899,500,9949.5,5
2019-11-01,10:38,10:38 AM,19.905,19.895,19.905,19.9,19.899,486,9670.775,6
2019-11-01,10:39,10:39 AM,19.915,19.895,19.915,19.91,19.904,602,11982.33,7
2019-11-01,10:40,10:40 AM,19.91,19.905,19.91,19.905,19.907,371,7385.555,4
2019-11-01,10:41,10:41 AM,19.935,19.92,19.935,19.925,19.926,1200,23911.5,12
2019-11-01,10:42,10:42 AM,19.925,19.925,19.925,19.925,19.925,600,11955.0,6
2019-11-01,10:43,10:43 AM,19.965,19.93,19.93,19.965,19.952,300,5985.5,3
2019-11-01,10:44,10:44 AM,19.945,19.945,19.945,19.945,19.945,110,2193.95,2
2019-11-01,10:45,10:45 AM,19.94,19.925,19.94,19.935,19.933,400,7973.0,4
2019-11-01,10:46,10:46 AM,19.93,19.92,19.93,19.925,19.925,400,7970.0,4
2019-11-01,10:47,10:47 AM,19.955,19.935,19.945,19.935,19.95,1066,21266.63,8
2019-11-01,10:48,10:48 AM,19.955,19.935,19.935,19.955,19.945,200,3989.0,2
2019-11-01,10:49,10:49 AM,19.96,19.96,19.96,19.96,19.96,200,3992.0,2
2019-11-01,10:50,10:50 AM,19.955,19.95,19.95,19.955,19.953,200,3990.5,3
2019-11-01,10:51,10:51 AM,19.95,19.93,19.95,19.93,19.941,218,4347.065,4
2019-11-01,10:52,10:52 AM,19.915,19.915,19.915,19.915,19.915,100,1991.5,1
2019-11-01,10:53,10:53 AM,19.905,19.895,19.905,19.895,19.9,400,7960.0,5
2019-11-01,10:54,10:54 AM,19.915,19.895,19.895,19.915,19.909000000000002,401,7983.415,5
2019-11-01,10:55,10:55 AM,19.91,19.885,19.91,19.885,19.902,419,8338.825,6
