date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,238.89,238.89,238.89,238.89,238.89,2.0,477.78,1.0
2019-11-01,09:32,09:32 AM,238.89,238.77,238.89,238.77,238.77200000000002,102.0,24354.78,3.0
2019-11-01,09:33,09:33 AM,238.47,238.085,238.47,238.085,238.173,1000.0,238173.0,4.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,237.655,237.655,237.655,237.655,237.655,49.0,11645.095,1.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,237.335,237.22,237.335,237.22,237.266,500.0,118633.0,3.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,237.81,237.81,237.81,237.81,237.81,50.0,11890.5,1.0
2019-11-01,09:44,09:44 AM,237.72,237.72,237.72,237.72,237.72,19.0,4516.68,1.0
2019-11-01,09:45,09:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:46,09:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:47,09:47 AM,237.8,237.8,237.8,237.8,237.8,226.0,53742.8,2.0
2019-11-01,09:48,09:48 AM,237.8,237.8,237.8,237.8,237.8,74.0,17597.2,1.0
2019-11-01,09:49,09:49 AM,237.7,237.68,237.7,237.68,237.687,300.0,71306.0,3.0
2019-11-01,09:50,09:50 AM,237.86,237.86,237.86,237.86,237.86,200.0,47572.0,1.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,237.78,237.78,237.78,237.78,237.78,100.0,23778.0,1.0
2019-11-01,09:53,09:53 AM,237.78,237.78,237.78,237.78,237.78,100.0,23778.0,1.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,237.805,237.76,237.76,237.79,237.799,413.0,98210.88,4.0
2019-11-01,09:56,09:56 AM,237.735,237.735,237.735,237.735,237.735,87.0,20682.945,2.0
