date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,20.265,20.265,20.265,20.265,20.265,200.0,4053.0,1.0
2019-11-01,09:33,09:33 AM,20.265,20.26,20.265,20.26,20.261,956.0,19369.56,3.0
2019-11-01,09:34,09:34 AM,20.27,20.27,20.27,20.27,20.27,7.0,141.89,2.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,20.24,20.24,20.24,20.24,20.24,6.0,121.44,1.0
2019-11-01,09:37,09:37 AM,20.32,20.3,20.3,20.32,20.319000000000006,102.0,2072.56,2.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,20.24,20.23,20.23,20.24,20.239,116.0,2347.68,2.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,20.255,20.255,20.255,20.255,20.255,3.0,60.765,1.0
2019-11-01,09:44,09:44 AM,20.255,20.24,20.255,20.24,20.243,128.0,2591.14,2.0
2019-11-01,09:45,09:45 AM,20.26,20.235,20.24,20.26,20.238,6115.0,123756.1,7.0
2019-11-01,09:46,09:46 AM,20.255,20.235,20.255,20.235,20.239,2600.0,52621.0,3.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,20.17,20.165,20.165,20.17,20.167,300.0,6050.0,3.0
2019-11-01,09:53,09:53 AM,20.15,20.15,20.15,20.15,20.15,100.0,2015.0,1.0
2019-11-01,09:54,09:54 AM,20.16,20.16,20.16,20.16,20.16,100.0,2016.0,1.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,20.16,20.16,20.16,20.16,20.16,100.0,2016.0,1.0
2019-11-01,09:57,09:57 AM,20.15,20.15,20.15,20.15,20.15,100.0,2015.0,1.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,20.145,20.145,20.145,20.145,20.145,200.0,4029.0,2.0
