date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,353.495,353.495,353.495,09:30 AM,353.495,09:30,35349.5,1,353.495,100
2019-11-01,354.038,354.035,354.04,09:31 AM,354.035,09:31,106211.5,3,354.04,300
2019-11-01,353.86,353.86,353.86,09:32 AM,353.86,09:32,70772.0,2,353.86,200
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,354.16,354.16,354.16,09:34 AM,354.16,09:34,35416.0,1,354.16,100
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,354.18800000000016,354.185,354.19,09:38 AM,354.185,09:38,70837.5,2,354.19,200
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,353.439,353.365,353.45,09:40 AM,353.365,09:40,40645.475,3,353.45,115
2019-11-01,353.635,353.695,353.695,09:41 AM,353.515,09:41,106090.5,3,353.515,300
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,353.82,353.82,353.82,09:47 AM,353.82,09:47,35382.0,1,353.82,100
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,353.91,353.945,353.945,09:53 AM,353.875,09:53,70782.0,2,353.875,200
2019-11-01,354.05,354.05,354.05,09:54 AM,354.05,09:54,70810.0,2,354.05,200
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,354.31,354.31,354.31,09:57 AM,354.31,09:57,35431.0,1,354.31,100
2019-11-01,354.025,353.98,354.07,09:58 AM,353.98,09:58,70805.0,4,354.07,200
