date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,247.96,247.96,247.96,09:36 AM,247.96,09:36,24796.0,1,247.96,100
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,247.857,247.96,247.96,09:38 AM,247.82,09:38,129381.54,4,247.94,522
2019-11-01,248.66,248.66,248.66,09:39 AM,248.66,09:39,497.32,1,248.66,2
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,248.71,248.71,248.71,09:41 AM,248.71,09:41,24373.58,1,248.71,98
2019-11-01,249.85299999999998,250.225,250.225,09:42 AM,249.79,09:42,29232.825,2,249.79,117
2019-11-01,250.606,250.55,250.66,09:43 AM,250.55,09:43,50121.14,3,250.66,200
2019-11-01,250.43,250.43,250.43,09:44 AM,250.43,09:44,50086.0,2,250.43,200
2019-11-01,250.111,250.43,250.43,09:45 AM,249.79,09:45,62027.42,7,250.12,248
2019-11-01,250.65400000000002,250.84,250.84,09:46 AM,250.25,09:46,37598.1,3,250.33,150
2019-11-01,250.105,250.1,250.11,09:47 AM,250.1,09:47,50021.0,2,250.11,200
2019-11-01,250.093,250.37,250.37,09:48 AM,250.05,09:48,67274.93,7,250.1,269
2019-11-01,250.576,250.63,250.63,09:49 AM,250.54,09:49,92211.8,3,250.54,368
2019-11-01,250.905,250.905,250.905,09:50 AM,250.905,09:50,25090.5,1,250.905,100
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,250.83,250.83,250.83,09:52 AM,250.83,09:52,25083.0,1,250.83,100
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,251.555,251.555,251.555,09:54 AM,251.555,09:54,25155.5,1,251.555,100
2019-11-01,251.76,251.76,251.76,09:55 AM,251.76,09:55,25176.0,1,251.76,100
2019-11-01,251.19299999999998,251.03,251.315,09:56 AM,251.03,09:56,159758.94,5,251.315,636
2019-11-01,251.08,251.08,251.08,09:57 AM,251.08,09:57,25108.0,1,251.08,100
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,252.162,252.19,252.19,09:59 AM,252.135,09:59,50432.5,2,252.135,200
2019-11-01,252.405,252.405,252.405,10 AM,252.405,10:00,25240.5,1,252.405,100
2019-11-01,253.05700000000002,253.16,253.16,10:01 AM,252.645,10:01,303668.5,9,252.645,1200
2019-11-01,253.30599999999998,253.265,253.6,10:02 AM,253.18,10:02,208977.475,8,253.205,825
2019-11-01,253.185,253.07,253.235,10:03 AM,253.07,10:03,103805.7,4,253.235,410
2019-11-01,253.425,253.62,253.62,10:04 AM,253.2,10:04,101623.55,4,253.2,401
2019-11-01,253.37,253.42,253.42,10:05 AM,253.32,10:05,50674.0,3,253.32,200
2019-11-01,253.72299999999998,253.73,253.845,10:06 AM,253.52,10:06,152234.0,4,253.52,600
2019-11-01,254.08599999999998,253.985,254.12,10:07 AM,253.985,10:07,203269.0,4,254.12,800
2019-11-01,254.02200000000002,254.0,254.11,10:08 AM,253.885,10:08,206265.5,4,253.885,812
2019-11-01,254.248,254.38,254.42,10:09 AM,254.01,10:09,200855.63,15,254.42,790
2019-11-01,254.863,255.015,255.07,10:10 AM,254.49,10:10,159034.62,8,254.49,624
2019-11-01,254.863,254.315,255.195,10:11 AM,254.315,10:11,430209.06,28,255.12,1688
2019-11-01,254.644,255.64,255.72,10:12 AM,254.3,10:12,1100318.04,24,254.315,4321
2019-11-01,255.502,255.3,255.57,10:13 AM,255.3,10:13,102201.0,2,255.57,400
2019-11-01,255.452,255.75,255.75,10:14 AM,255.26,10:14,153271.0,6,255.37,600
2019-11-01,255.747,255.705,255.85,10:15 AM,255.705,10:15,153448.0,4,255.75,600
2019-11-01,255.832,256.0,256.0,10:16 AM,255.68,10:16,366862.38,14,255.7,1434
2019-11-01,255.67,255.57,255.93,10:17 AM,255.36,10:17,688007.68,16,255.83,2691
2019-11-01,255.579,255.42,255.67,10:18 AM,255.42,10:18,522915.36,13,255.47,2046
2019-11-01,254.893,254.74,255.38,10:19 AM,254.735,10:19,399671.82,10,255.38,1568
2019-11-01,254.352,254.12,254.75,10:20 AM,254.07,10:20,506924.26,11,254.69,1993
2019-11-01,254.139,253.98,254.24,10:21 AM,253.98,10:21,432036.0,13,254.215,1700
2019-11-01,254.018,254.2,254.2,10:22 AM,253.75,10:22,304821.5,10,253.755,1200
2019-11-01,254.12400000000002,254.185,254.28,10:23 AM,254.05,10:23,203299.5,8,254.28,800
2019-11-01,254.128,254.22,254.22,10:24 AM,254.03,10:24,152477.0,4,254.03,600
