date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,56.18,56.15,56.21,09:30 AM,56.15,09:30,11292.16,3,56.16,201
2019-11-01,55.995,55.995,55.995,09:31 AM,55.995,09:31,27997.5,2,55.995,500
2019-11-01,55.875,55.85,55.89,09:32 AM,55.835,09:32,20841.39,8,55.89,373
2019-11-01,55.77,55.77,55.77,09:33 AM,55.77,09:33,5577.0,1,55.77,100
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,55.88,55.88,55.88,09:35 AM,55.88,09:35,11176.0,2,55.88,200
2019-11-01,55.928000000000004,55.925,55.93,09:36 AM,55.925,09:36,11185.5,2,55.93,200
2019-11-01,55.831,55.82,55.94,09:37 AM,55.82,09:37,6141.4,3,55.94,110
2019-11-01,55.873999999999995,55.86,55.925,09:38 AM,55.85,09:38,84369.465,19,55.855,1510
2019-11-01,55.87,55.85,55.89,09:39 AM,55.85,09:39,11174.0,2,55.89,200
2019-11-01,55.875,55.875,55.875,09:40 AM,55.875,09:40,5587.5,1,55.875,100
2019-11-01,55.836999999999996,55.82,55.84,09:41 AM,55.79,09:41,6030.44,4,55.79,108
2019-11-01,55.86,55.86,55.86,09:42 AM,55.86,09:42,4580.52,1,55.86,82
2019-11-01,56.0,56.0,56.0,09:43 AM,56.0,09:43,2800.0,1,56.0,50
2019-11-01,56.004,56.02,56.02,09:44 AM,56.0,09:44,13888.96,4,56.0,248
2019-11-01,55.992,56.0,56.0,09:45 AM,55.985,09:45,11198.5,2,55.985,200
2019-11-01,56.053000000000004,56.05,56.08,09:46 AM,56.05,09:46,11042.47,4,56.08,197
2019-11-01,56.21,56.21,56.21,09:47 AM,56.21,09:47,5621.0,1,56.21,100
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,56.165,56.19,56.19,09:50 AM,56.15,09:50,22466.0,4,56.16,400
2019-11-01,56.16,56.155,56.17,09:51 AM,56.155,09:51,56160.5,9,56.17,1000
