date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,77.32,77.32,77.32,09:30 AM,77.32,09:30,7732.0,1,77.32,100
2019-11-01,77.335,77.34,77.34,09:31 AM,77.33,09:31,15467.0,2,77.33,200
2019-11-01,77.29,77.29,77.29,09:32 AM,77.29,09:32,15458.0,2,77.29,200
2019-11-01,77.285,77.21,77.36,09:33 AM,77.21,09:33,15457.0,2,77.36,200
2019-11-01,77.19,77.19,77.19,09:34 AM,77.19,09:34,7719.0,1,77.19,100
2019-11-01,77.12100000000002,77.01,77.23,09:35 AM,77.01,09:35,15655.48,3,77.23,203
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,77.068,77.1,77.13,09:37 AM,77.01,09:37,42310.33,9,77.01,549
2019-11-01,77.082,77.065,77.1,09:38 AM,77.065,09:38,15416.5,2,77.1,200
2019-11-01,77.062,77.105,77.105,09:39 AM,77.06,09:39,8014.42,2,77.06,104
2019-11-01,77.06,77.06,77.06,09:40 AM,77.06,09:40,7860.12,2,77.06,102
2019-11-01,77.033,76.99,77.06,09:41 AM,76.99,09:41,62859.24,5,77.06,816
2019-11-01,77.01100000000002,77.02,77.02,09:42 AM,76.995,09:42,21717.14,4,76.995,282
2019-11-01,77.027,77.05,77.05,09:43 AM,77.015,09:43,23108.0,3,77.015,300
2019-11-01,77.08,77.08,77.08,09:44 AM,77.08,09:44,7708.0,1,77.08,100
2019-11-01,77.095,77.095,77.095,09:45 AM,77.095,09:45,2852.515,1,77.095,37
2019-11-01,77.017,77.0,77.09,09:46 AM,76.965,09:46,46441.5,7,77.09,603
2019-11-01,76.96,76.96,76.96,09:47 AM,76.96,09:47,1000.48,1,76.96,13
2019-11-01,76.958,77.02,77.02,09:48 AM,76.94,09:48,36247.38,7,76.94,471
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,77.138,77.135,77.14,09:50 AM,77.135,09:50,15427.5,2,77.14,200
2019-11-01,77.15,77.15,77.15,09:51 AM,77.15,09:51,16587.25,3,77.15,215
2019-11-01,77.21300000000002,77.19,77.23,09:52 AM,77.19,09:52,23241.19,4,77.205,301
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,77.202,77.235,77.245,09:54 AM,77.185,09:54,101057.01,9,77.225,1309
2019-11-01,77.23,77.23,77.23,09:55 AM,77.23,09:55,54061.0,1,77.23,700
2019-11-01,77.23,77.275,77.275,09:56 AM,77.19,09:56,61938.68,4,77.19,802
2019-11-01,77.195,77.195,77.195,09:57 AM,77.195,09:57,32576.29,1,77.195,422
2019-11-01,77.227,77.22,77.23,09:58 AM,77.22,09:58,23168.0,2,77.23,300
2019-11-01,77.215,77.215,77.215,09:59 AM,77.215,09:59,8030.36,2,77.215,104
2019-11-01,77.086,77.07,77.16,10 AM,77.07,10:00,26286.28,5,77.16,341
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,77.328,77.35,77.35,10:03 AM,77.325,10:03,31085.7,5,77.325,402
2019-11-01,77.347,77.35,77.35,10:04 AM,77.345,10:04,12452.85,2,77.345,161
2019-11-01,77.31,77.31,77.31,10:05 AM,77.31,10:05,7731.0,1,77.31,100
2019-11-01,77.297,77.3,77.3,10:06 AM,77.275,10:06,61837.5,4,77.275,800
2019-11-01,77.295,77.3,77.3,10:07 AM,77.295,10:07,31072.6,3,77.295,402
2019-11-01,77.32,77.32,77.32,10:08 AM,77.32,10:08,8659.84,3,77.32,112
2019-11-01,77.345,77.345,77.345,10:09 AM,77.345,10:09,7734.5,1,77.345,100
2019-11-01,77.405,77.425,77.425,10:10 AM,77.37,10:10,23531.06,4,77.37,304
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,77.5,77.5,77.5,10:12 AM,77.5,10:12,3177.5,1,77.5,41
2019-11-01,77.498,77.56,77.56,10:13 AM,77.49,10:13,8912.28,4,77.5,115
2019-11-01,77.575,77.595,77.595,10:14 AM,77.575,10:14,15747.745,4,77.575,203
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,77.515,77.515,77.515,10:16 AM,77.515,10:16,15503.0,2,77.515,200
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,77.51,77.5,77.51,10:18 AM,77.5,10:18,7983.5,2,77.51,103
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,77.455,77.455,77.455,10:20 AM,77.455,10:20,774.55,1,77.455,10
2019-11-01,77.49,77.49,77.49,10:21 AM,77.49,10:21,1627.29,1,77.49,21
2019-11-01,77.492,77.51,77.51,10:22 AM,77.49,10:22,15808.345,5,77.49,204
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,77.55,77.55,77.55,10:24 AM,77.55,10:24,77.55,1,77.55,1
2019-11-01,77.545,77.545,77.545,10:25 AM,77.545,10:25,77.545,1,77.545,1
2019-11-01,77.505,77.49,77.55,10:26 AM,77.49,10:26,26196.66,5,77.55,338
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,77.44,77.445,77.445,10:28 AM,77.435,10:28,154.88,2,77.435,2
2019-11-01,77.439,77.43,77.44,10:29 AM,77.43,10:29,1703.66,3,77.44,22
2019-11-01,77.433,77.44,77.44,10:30 AM,77.43,10:30,23617.155,7,77.43,305
