date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,54.655,54.62,54.68,09:30 AM,54.62,09:30,9291.4,2,54.68,170
2019-11-01,54.693999999999996,54.685,54.71,09:31 AM,54.685,09:31,14603.395,3,54.71,267
2019-11-01,54.66,54.67,54.67,09:32 AM,54.65,09:32,10932.0,2,54.65,200
2019-11-01,54.716,54.75,54.75,09:33 AM,54.68,09:33,33376.55,6,54.68,610
2019-11-01,54.75,54.75,54.75,09:34 AM,54.75,09:34,5475.0,1,54.75,100
2019-11-01,54.833,54.82,54.85,09:35 AM,54.82,09:35,7457.32,2,54.85,136
2019-11-01,54.8,54.8,54.8,09:36 AM,54.8,09:36,3397.6,1,54.8,62
2019-11-01,54.838,54.81,54.86,09:37 AM,54.79,09:37,21002.835,5,54.86,383
2019-11-01,54.848,54.83,54.855,09:38 AM,54.83,09:38,39106.34,8,54.84,713
2019-11-01,54.847,54.915,54.915,09:39 AM,54.84,09:39,89016.76,5,54.84,1623
2019-11-01,54.852,54.84,54.87,09:40 AM,54.83,09:40,18759.32,6,54.86,342
2019-11-01,54.857,54.865,54.87,09:41 AM,54.85,09:41,16895.855,4,54.855,308
2019-11-01,54.903,54.91,54.91,09:42 AM,54.9,09:42,10980.54,2,54.9,200
2019-11-01,54.96,54.96,54.96,09:43 AM,54.96,09:43,219.84,2,54.96,4
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,54.958999999999996,54.97,54.985,09:45 AM,54.945,09:45,54959.0,5,54.945,1000
2019-11-01,55.00899999999999,55.015,55.015,09:46 AM,55.005,09:46,21618.435,4,55.005,393
2019-11-01,55.035,55.035,55.035,09:47 AM,55.035,09:47,110.07,1,55.035,2
2019-11-01,55.05,55.05,55.05,09:48 AM,55.05,09:48,19487.7,3,55.05,354
2019-11-01,55.074,55.075,55.075,09:49 AM,55.07,09:49,7820.44,2,55.07,142
2019-11-01,55.07,55.07,55.07,09:50 AM,55.07,09:50,2312.94,1,55.07,42
2019-11-01,55.085,55.085,55.085,09:51 AM,55.085,09:51,5508.5,1,55.085,100
2019-11-01,55.075,55.055,55.085,09:52 AM,55.055,09:52,11235.22,3,55.065,204
2019-11-01,55.085,55.085,55.085,09:53 AM,55.085,09:53,5508.5,1,55.085,100
