date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,438.4,438.4,438.4,09:37 AM,438.4,09:37,43840.0,2,438.4,100
2019-11-01,437.767,437.46,437.77,09:38 AM,437.46,09:38,44214.46,2,437.77,101
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,437.13,437.13,437.13,09:40 AM,437.13,09:40,874.26,1,437.13,2
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,437.685,437.685,437.685,09:43 AM,437.685,09:43,87537.0,1,437.685,200
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,438.17,438.17,438.17,09:46 AM,438.17,09:46,43817.0,1,438.17,100
2019-11-01,439.61800000000005,439.69,439.69,09:47 AM,439.6,09:47,54952.25,2,439.6,125
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,439.41,439.41,439.41,09:52 AM,439.41,09:52,439.41,1,439.41,1
2019-11-01,439.93300000000005,439.65,439.98,09:53 AM,439.65,09:53,19797.01,3,439.9,45
2019-11-01,439.88,439.88,439.88,09:54 AM,439.88,09:54,26392.8,1,439.88,60
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,439.11,439.11,439.11,10:01 AM,439.11,10:01,4391.1,1,439.11,10
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,,,,10:03 AM,,10:03,0.0,0,,0
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,439.47,439.47,439.47,10:05 AM,439.47,10:05,131841.0,2,439.47,300
2019-11-01,439.71,439.71,439.71,10:06 AM,439.71,10:06,82665.48,1,439.71,188
2019-11-01,439.73,439.73,439.73,10:07 AM,439.73,10:07,659595.0,2,439.73,1500
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,439.545,439.545,439.545,10:11 AM,439.545,10:11,307681.5,5,439.545,700
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,438.67,438.67,438.67,10:16 AM,438.67,10:16,43867.0,1,438.67,100
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,438.7,438.7,438.7,10:19 AM,438.7,10:19,4387.0,1,438.7,10
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,438.695,438.695,438.695,10:33 AM,438.695,10:33,43869.5,1,438.695,100
2019-11-01,438.705,438.705,438.705,10:34 AM,438.705,10:34,87741.0,1,438.705,200
2019-11-01,438.47,438.47,438.47,10:35 AM,438.47,10:35,87694.0,1,438.47,200
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,,,,10:37 AM,,10:37,0.0,0,,0
2019-11-01,,,,10:38 AM,,10:38,0.0,0,,0
2019-11-01,,,,10:39 AM,,10:39,0.0,0,,0
