date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,63.505,63.505,63.505,09:31 AM,63.505,09:31,6350.5,1,63.505,100
2019-11-01,63.54,63.54,63.54,09:32 AM,63.54,09:32,6354.0,1,63.54,100
2019-11-01,63.54,63.54,63.54,09:33 AM,63.54,09:33,6354.0,1,63.54,100
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,63.32,63.32,63.32,09:39 AM,63.32,09:39,6332.0,1,63.32,100
2019-11-01,63.283,63.285,63.285,09:40 AM,63.28,09:40,759.4,2,63.28,12
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,63.295,63.285,63.33,09:42 AM,63.285,09:42,11393.185,8,63.33,180
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,63.25,63.25,63.25,09:44 AM,63.25,09:44,6325.0,1,63.25,100
2019-11-01,63.275,63.275,63.275,09:45 AM,63.275,09:45,27777.725,2,63.275,439
2019-11-01,63.255,63.26,63.26,09:46 AM,63.25,09:46,12651.0,2,63.25,200
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,62.925,62.925,62.925,09:59 AM,62.925,09:59,42096.825,5,62.925,669
2019-11-01,62.915,62.915,62.915,10 AM,62.915,10:00,62915.0,10,62.915,1000
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,62.98,62.98,62.98,10:03 AM,62.98,10:03,6298.0,1,62.98,100
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,63.022,63.03,63.03,10:05 AM,63.02,10:05,31511.0,5,63.02,500
2019-11-01,63.03,63.03,63.03,10:06 AM,63.03,10:06,18972.03,4,63.03,301
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,62.986000000000004,63.025,63.025,10:08 AM,62.985,10:08,172517.475,2,62.985,2739
2019-11-01,63.09,63.09,63.09,10:09 AM,63.09,10:09,2523.6,1,63.09,40
2019-11-01,63.1,63.1,63.1,10:10 AM,63.1,10:10,2587.1,1,63.1,41
2019-11-01,63.11,63.11,63.11,10:11 AM,63.11,10:11,6311.0,1,63.11,100
2019-11-01,63.08,63.08,63.08,10:12 AM,63.08,10:12,6308.0,1,63.08,100
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,62.985,62.985,62.985,10:15 AM,62.985,10:15,188955.0,1,62.985,3000
2019-11-01,62.971000000000004,62.98,62.985,10:16 AM,62.965,10:16,91559.335,11,62.985,1454
2019-11-01,62.976000000000006,62.965,62.98,10:17 AM,62.965,10:17,44083.0,3,62.98,700
2019-11-01,63.01,63.01,63.01,10:18 AM,63.01,10:18,31505.0,2,63.01,500
2019-11-01,63.035,63.035,63.035,10:19 AM,63.035,10:19,252.14,1,63.035,4
2019-11-01,62.99,62.99,62.99,10:20 AM,62.99,10:20,6299.0,1,62.99,100
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,62.97,62.97,62.97,10:24 AM,62.97,10:24,188910.0,1,62.97,3000
2019-11-01,62.94300000000001,62.925,62.955,10:25 AM,62.925,10:25,47207.22,5,62.955,750
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,62.98,62.98,62.98,10:27 AM,62.98,10:27,6298.0,1,62.98,100
2019-11-01,62.99,62.99,62.99,10:28 AM,62.99,10:28,3275.48,1,62.99,52
2019-11-01,62.97,62.97,62.97,10:29 AM,62.97,10:29,6297.0,1,62.97,100
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,63.0,63.0,63.0,10:31 AM,63.0,10:31,6300.0,1,63.0,100
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,,,,10:34 AM,,10:34,0.0,0,,0
2019-11-01,63.0,62.985,63.005,10:35 AM,62.985,10:35,214137.65,6,63.005,3399
2019-11-01,62.99,62.99,62.99,10:36 AM,62.99,10:36,18897.0,2,62.99,300
2019-11-01,,,,10:37 AM,,10:37,0.0,0,,0
2019-11-01,63.00100000000001,63.02,63.02,10:38 AM,62.99,10:38,32256.68,5,62.99,512
2019-11-01,63.013999999999996,63.02,63.02,10:39 AM,63.01,10:39,19597.39,4,63.01,311
2019-11-01,63.003,62.99,63.01,10:40 AM,62.99,10:40,19216.05,3,63.01,305
2019-11-01,62.977,62.975,62.98,10:41 AM,62.975,10:41,16185.075,3,62.98,257
2019-11-01,63.003,63.005,63.01,10:42 AM,62.975,10:42,51473.715,5,62.975,817
2019-11-01,62.983000000000004,62.97,62.985,10:43 AM,62.97,10:43,255145.735,9,62.985,4051
2019-11-01,63.0,63.0,63.0,10:44 AM,63.0,10:44,6300.0,1,63.0,100
2019-11-01,63.00899999999999,63.0,63.01,10:45 AM,63.0,10:45,88402.03,3,63.01,1403
2019-11-01,62.96,62.96,62.96,10:46 AM,62.96,10:46,6296.0,1,62.96,100
2019-11-01,62.99800000000001,62.99,63.01,10:47 AM,62.97,10:47,488234.5,6,62.97,7750
2019-11-01,62.96,62.97,62.97,10:48 AM,62.95,10:48,69256.0,5,62.95,1100
2019-11-01,62.99100000000001,63.0,63.0,10:49 AM,62.985,10:49,203019.675,11,62.985,3223
2019-11-01,62.985,62.985,62.985,10:50 AM,62.985,10:50,6298.5,1,62.985,100
2019-11-01,,,,10:51 AM,,10:51,0.0,0,,0
2019-11-01,62.995,62.995,62.995,10:52 AM,62.995,10:52,176637.98,7,62.995,2804
2019-11-01,,,,10:53 AM,,10:53,0.0,0,,0
2019-11-01,,,,10:54 AM,,10:54,0.0,0,,0
2019-11-01,,,,10:55 AM,,10:55,0.0,0,,0
2019-11-01,62.995,62.995,63.005,10:56 AM,62.995,10:56,12725.01,3,63.005,202
2019-11-01,,,,10:57 AM,,10:57,0.0,0,,0
2019-11-01,63.04,63.04,63.05,10:58 AM,63.04,10:58,12671.05,3,63.05,201
2019-11-01,63.02,63.02,63.02,10:59 AM,63.02,10:59,18906.0,3,63.02,300
2019-11-01,,,,11 AM,,11:00,0.0,0,,0
2019-11-01,,,,11:01 AM,,11:01,0.0,0,,0
2019-11-01,,,,11:02 AM,,11:02,0.0,0,,0
2019-11-01,,,,11:03 AM,,11:03,0.0,0,,0
2019-11-01,62.995,62.995,62.995,11:04 AM,62.995,11:04,132289.5,2,62.995,2100
2019-11-01,,,,11:05 AM,,11:05,0.0,0,,0
2019-11-01,62.995,62.995,62.995,11:06 AM,62.995,11:06,6299.5,1,62.995,100
2019-11-01,62.995,63.005,63.005,11:07 AM,62.995,11:07,298408.685,29,62.995,4737
2019-11-01,62.995,62.995,63.0,11:08 AM,62.995,11:08,2015.85,2,63.0,32
2019-11-01,63.0,63.0,63.0,11:09 AM,63.0,11:09,252.0,1,63.0,4
2019-11-01,,,,11:10 AM,,11:10,0.0,0,,0
2019-11-01,63.02,63.02,63.02,11:11 AM,63.02,11:11,6302.0,1,63.02,100
2019-11-01,,,,11:12 AM,,11:12,0.0,0,,0
2019-11-01,62.98,62.98,62.98,11:13 AM,62.98,11:13,8691.24,2,62.98,138
2019-11-01,62.981,62.98,62.985,11:14 AM,62.98,11:14,25192.5,4,62.98,400
2019-11-01,62.992,62.995,62.995,11:15 AM,62.975,11:15,66015.26,8,62.975,1048
2019-11-01,62.995,63.0,63.0,11:16 AM,62.995,11:16,62869.51,10,62.995,998
2019-11-01,,,,11:17 AM,,11:17,0.0,0,,0
2019-11-01,62.99,62.99,62.99,11:18 AM,62.99,11:18,144877.0,6,62.99,2300
2019-11-01,62.995,62.99,63.0,11:19 AM,62.99,11:19,12599.0,2,63.0,200
2019-11-01,,,,11:20 AM,,11:20,0.0,0,,0
2019-11-01,63.02,63.02,63.02,11:21 AM,63.02,11:21,6302.0,1,63.02,100
2019-11-01,63.01,63.01,63.01,11:22 AM,63.01,11:22,6301.0,1,63.01,100
2019-11-01,63.02,63.02,63.02,11:23 AM,63.02,11:23,6302.0,2,63.02,100
2019-11-01,,,,11:24 AM,,11:24,0.0,0,,0
2019-11-01,62.996,62.995,63.0,11:25 AM,62.995,11:25,75595.0,11,62.995,1200
2019-11-01,62.99,62.99,62.99,11:26 AM,62.99,11:26,125.98,1,62.99,2
2019-11-01,,,,11:27 AM,,11:27,0.0,0,,0
2019-11-01,62.993,62.985,63.0,11:28 AM,62.985,11:28,50520.49,10,62.995,802
2019-11-01,62.997,63.0,63.0,11:29 AM,62.99,11:29,18899.0,6,62.99,300
2019-11-01,62.986000000000004,62.99,62.99,11:30 AM,62.985,11:30,25194.5,4,62.985,400
2019-11-01,62.94600000000001,62.95,62.99,11:31 AM,62.91,11:31,220562.8,28,62.99,3504
2019-11-01,62.974,62.975,62.98,11:32 AM,62.96,11:32,75569.0,7,62.96,1200
2019-11-01,62.995,63.0,63.0,11:33 AM,62.99,11:33,12599.0,2,62.99,200
2019-11-01,63.0,63.0,63.0,11:34 AM,63.0,11:34,6300.0,1,63.0,100
2019-11-01,62.995,62.995,62.995,11:35 AM,62.995,11:35,6299.5,1,62.995,100
2019-11-01,,,,11:36 AM,,11:36,0.0,0,,0
2019-11-01,63.005,63.005,63.005,11:37 AM,63.005,11:37,4662.37,1,63.005,74
2019-11-01,63.015,63.015,63.015,11:38 AM,63.015,11:38,4663.11,1,63.015,74
2019-11-01,,,,11:39 AM,,11:39,0.0,0,,0
2019-11-01,,,,11:40 AM,,11:40,0.0,0,,0
2019-11-01,63.035,63.035,63.035,11:41 AM,63.035,11:41,4664.59,1,63.035,74
2019-11-01,63.034,63.04,63.04,11:42 AM,63.025,11:42,15821.525,3,63.035,251
2019-11-01,63.0,63.0,63.0,11:43 AM,63.0,11:43,176400.0,2,63.0,2800
2019-11-01,,,,11:44 AM,,11:44,0.0,0,,0
2019-11-01,,,,11:45 AM,,11:45,0.0,0,,0
2019-11-01,,,,11:46 AM,,11:46,0.0,0,,0
2019-11-01,63.00899999999999,63.005,63.01,11:47 AM,63.005,11:47,19217.665,6,63.01,305
2019-11-01,63.007,63.005,63.01,11:48 AM,63.005,11:48,13798.595,3,63.01,219
2019-11-01,,,,11:49 AM,,11:49,0.0,0,,0
2019-11-01,,,,11:50 AM,,11:50,0.0,0,,0
2019-11-01,,,,11:51 AM,,11:51,0.0,0,,0
2019-11-01,63.005,63.005,63.005,11:52 AM,63.005,11:52,6300.5,1,63.005,100
2019-11-01,63.005,63.005,63.005,11:53 AM,63.005,11:53,6300.5,1,63.005,100
2019-11-01,63.005,63.005,63.005,11:54 AM,63.005,11:54,4725.375,1,63.005,75
2019-11-01,63.033,63.035,63.035,11:55 AM,63.025,11:55,30444.905,6,63.025,483
2019-11-01,63.026,63.025,63.045,11:56 AM,63.025,11:56,149750.92,9,63.045,2376
2019-11-01,,,,11:57 AM,,11:57,0.0,0,,0
2019-11-01,63.041000000000004,63.01,63.06,11:58 AM,63.01,11:58,29944.625,5,63.06,475
2019-11-01,,,,11:59 AM,,11:59,0.0,0,,0
