date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,137.405,138.27,138.27,09:30 AM,137.05,09:30,330460.25,14,137.55,2405
2019-11-01,138.222,138.25,138.27,09:31 AM,138.18,09:31,221155.0,14,138.27,1600
2019-11-01,138.18,138.18,138.18,09:32 AM,138.18,09:32,27636.0,2,138.18,200
2019-11-01,138.142,138.1,138.18,09:33 AM,138.1,09:33,47244.46,5,138.15,342
2019-11-01,138.055,137.96,138.12,09:34 AM,137.96,09:34,55498.11,5,138.11,402
2019-11-01,138.067,138.09,138.09,09:35 AM,138.03,09:35,41420.0,3,138.03,300
2019-11-01,138.042,138.05,138.15,09:36 AM,137.995,09:36,282433.235,11,137.995,2046
2019-11-01,138.00799999999998,137.97,138.04,09:37 AM,137.97,09:37,33536.075,3,138.04,243
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,137.878,137.895,137.9,09:39 AM,137.8,09:39,83692.1,4,137.8,607
2019-11-01,137.868,137.845,137.895,09:40 AM,137.845,09:40,185570.565,9,137.86,1346
2019-11-01,137.81,137.81,137.81,09:41 AM,137.81,09:41,27562.0,2,137.81,200
2019-11-01,137.72,137.725,137.725,09:42 AM,137.7,09:42,68860.0,2,137.7,500
2019-11-01,137.697,137.6,137.73,09:43 AM,137.6,09:43,50121.83,6,137.68,364
2019-11-01,137.625,137.64,137.66,09:44 AM,137.595,09:44,53673.96,6,137.6,390
2019-11-01,137.704,137.73,137.73,09:45 AM,137.67,09:45,123933.5,5,137.67,900
2019-11-01,137.724,137.7,137.74,09:46 AM,137.7,09:46,89520.575,6,137.74,650
2019-11-01,137.748,137.86,137.86,09:47 AM,137.69,09:47,110198.5,7,137.705,800
2019-11-01,137.903,137.905,137.905,09:48 AM,137.9,09:48,124113.0,3,137.9,900
2019-11-01,137.93,137.93,137.93,09:49 AM,137.93,09:49,13793.0,1,137.93,100
2019-11-01,137.82,137.82,137.82,09:50 AM,137.82,09:50,13782.0,1,137.82,100
2019-11-01,137.803,137.775,137.82,09:51 AM,137.775,09:51,47266.325,3,137.8,343
2019-11-01,137.786,137.8,137.8,09:52 AM,137.76,09:52,110229.0,4,137.79,800
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,137.923,137.955,137.955,09:54 AM,137.915,09:54,69651.15,4,137.915,505
2019-11-01,137.985,137.985,137.985,09:55 AM,137.985,09:55,41395.5,2,137.985,300
2019-11-01,138.005,138.0,138.025,09:56 AM,138.0,09:56,82803.0,5,138.0,600
2019-11-01,137.982,137.98,138.0,09:57 AM,137.955,09:57,126667.64,8,137.97,918
2019-11-01,138.00799999999998,138.0,138.02,09:58 AM,137.985,09:58,318660.1,15,137.985,2309
2019-11-01,138.08,138.08,138.11,09:59 AM,138.065,09:59,170252.255,12,138.065,1233
2019-11-01,138.01,138.0,138.1,10 AM,137.995,10:00,775338.815,55,138.0,5618
