date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,69.895,69.895,69.895,09:33 AM,69.89,09:33,7129.28,2.0,69.89,102.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,69.765,69.72,69.77,09:35 AM,69.72,09:35,1953.41,2.0,69.77,28.0
2019-11-01,69.605,69.605,69.605,09:36 AM,69.605,09:36,139.21,2.0,69.605,2.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,69.764,69.68,69.77,09:38 AM,69.68,09:38,7464.76,4.0,69.77,107.0
2019-11-01,,,,09:39 AM,,09:39,0.0,0.0,,0.0
2019-11-01,69.68,69.7,69.7,09:40 AM,69.66,09:40,13936.0,2.0,69.66,200.0
2019-11-01,69.76,69.76,69.76,09:41 AM,69.76,09:41,209.28,1.0,69.76,3.0
2019-11-01,69.74,69.74,69.74,09:42 AM,69.74,09:42,14296.7,2.0,69.74,205.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,69.666,69.665,69.67,09:45 AM,69.66,09:45,139332.5,3.0,69.67,2000.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,69.575,69.56,69.59,09:47 AM,69.56,09:47,13915.0,2.0,69.59,200.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,69.43,69.43,69.43,09:50 AM,69.43,09:50,6943.0,1.0,69.43,100.0
2019-11-01,69.42,69.42,69.42,09:51 AM,69.42,09:51,6942.0,1.0,69.42,100.0
2019-11-01,,,,09:52 AM,,09:52,0.0,0.0,,0.0
2019-11-01,,,,09:53 AM,,09:53,0.0,0.0,,0.0
2019-11-01,69.431,69.46,69.46,09:54 AM,69.415,09:54,27772.5,6.0,69.415,400.0
2019-11-01,69.465,69.465,69.465,09:55 AM,69.465,09:55,6946.5,1.0,69.465,100.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,,,,09:57 AM,,09:57,0.0,0.0,,0.0
2019-11-01,69.214,69.23,69.23,09:58 AM,69.21,09:58,116278.965,17.0,69.215,1680.0
2019-11-01,69.255,69.255,69.26,09:59 AM,69.25,09:59,63437.58,6.0,69.25,916.0
2019-11-01,69.192,69.175,69.2,10 AM,69.175,10:00,20757.5,3.0,69.2,300.0
2019-11-01,69.19,69.19,69.19,10:01 AM,69.19,10:01,6919.0,1.0,69.19,100.0
2019-11-01,,,,10:02 AM,,10:02,0.0,0.0,,0.0
2019-11-01,69.437,69.43,69.45,10:03 AM,69.43,10:03,19581.26,2.0,69.45,282.0
2019-11-01,69.485,69.485,69.485,10:04 AM,69.485,10:04,6948.5,1.0,69.485,100.0
2019-11-01,69.58,69.58,69.58,10:05 AM,69.58,10:05,6958.0,1.0,69.58,100.0
2019-11-01,69.58,69.58,69.58,10:06 AM,69.58,10:06,6958.0,1.0,69.58,100.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,69.61,69.63,69.63,10:08 AM,69.59,10:08,13922.0,2.0,69.59,200.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,69.635,69.635,69.635,10:10 AM,69.635,10:10,6963.5,1.0,69.635,100.0
2019-11-01,69.65,69.65,69.65,10:11 AM,69.65,10:11,69.65,1.0,69.65,1.0
2019-11-01,,,,10:12 AM,,10:12,0.0,0.0,,0.0
2019-11-01,69.655,69.655,69.655,10:13 AM,69.655,10:13,6965.5,1.0,69.655,100.0
2019-11-01,,,,10:14 AM,,10:14,0.0,0.0,,0.0
2019-11-01,,,,10:15 AM,,10:15,0.0,0.0,,0.0
2019-11-01,,,,10:16 AM,,10:16,0.0,0.0,,0.0
2019-11-01,69.73,69.73,69.73,10:17 AM,69.73,10:17,627.57,1.0,69.73,9.0
2019-11-01,,,,10:18 AM,,10:18,0.0,0.0,,0.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,69.63,69.615,69.645,10:20 AM,69.615,10:20,13926.0,2.0,69.645,200.0
2019-11-01,69.611,69.595,69.63,10:21 AM,69.595,10:21,27844.5,3.0,69.63,400.0
2019-11-01,,,,10:22 AM,,10:22,0.0,0.0,,0.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,69.709,69.71,69.71,10:24 AM,69.705,10:24,9340.97,3.0,69.705,134.0
2019-11-01,69.702,69.7,69.71,10:25 AM,69.7,10:25,41821.0,4.0,69.71,600.0
2019-11-01,,,,10:26 AM,,10:26,0.0,0.0,,0.0
2019-11-01,69.665,69.67,69.67,10:27 AM,69.66,10:27,13933.0,2.0,69.66,200.0
2019-11-01,69.67,69.67,69.67,10:28 AM,69.67,10:28,13934.0,2.0,69.67,200.0
2019-11-01,69.62,69.62,69.62,10:29 AM,69.62,10:29,208.86,1.0,69.62,3.0
2019-11-01,,,,10:30 AM,,10:30,0.0,0.0,,0.0
2019-11-01,69.76,69.76,69.76,10:31 AM,69.76,10:31,6976.0,1.0,69.76,100.0
2019-11-01,69.76,69.76,69.76,10:32 AM,69.76,10:32,976.64,1.0,69.76,14.0
