date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,187.275,187.275,187.275,09:31 AM,187.275,09:31,64422.6,1,187.275,344
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,186.958,186.81,187.17,09:33 AM,186.81,09:33,59826.5,5,187.04,320
2019-11-01,187.007,186.725,187.24,09:34 AM,186.66,09:34,112204.5,6,186.66,600
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,186.799,186.8,186.8,09:36 AM,186.73,09:36,19053.53,3,186.73,102
2019-11-01,187.355,187.46,187.46,09:37 AM,187.28,09:37,21358.44,5,187.345,114
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,187.385,187.385,187.385,09:39 AM,187.385,09:39,18738.5,1,187.385,100
2019-11-01,187.192,187.275,187.275,09:40 AM,187.19,09:40,19093.55,2,187.19,102
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,186.637,186.9,186.9,09:43 AM,186.375,09:43,2799.555,4,186.375,15
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,187.102,187.1,187.11,09:45 AM,187.1,09:45,748.41,2,187.11,4
2019-11-01,187.215,187.215,187.215,09:46 AM,187.215,09:46,561.645,1,187.215,3
2019-11-01,187.41,187.345,187.48,09:47 AM,187.275,09:47,40480.51,8,187.345,216
2019-11-01,187.16,187.16,187.16,09:48 AM,187.16,09:48,18716.0,1,187.16,100
2019-11-01,187.079,186.96,187.095,09:49 AM,186.96,09:49,22262.415,3,187.095,119
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,186.53,186.53,186.53,09:51 AM,186.49,09:51,18839.49,2,186.49,101
2019-11-01,186.53099999999998,186.535,186.535,09:52 AM,186.525,09:52,2797.965,2,186.525,15
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,185.99099999999999,185.99,186.0,09:54 AM,185.99,09:54,1487.93,2,186.0,8
2019-11-01,186.28400000000002,186.445,186.445,09:55 AM,186.08,09:55,44335.55,5,186.19,238
2019-11-01,186.435,186.435,186.435,09:56 AM,186.435,09:56,19016.37,2,186.435,102
2019-11-01,186.463,186.505,186.51,09:57 AM,186.415,09:57,40276.1,4,186.415,216
2019-11-01,186.52700000000002,186.445,186.67,09:58 AM,186.445,09:58,57263.765,6,186.565,307
2019-11-01,186.421,186.135,186.43,09:59 AM,186.135,09:59,19201.405,2,186.43,103
2019-11-01,185.855,186.085,186.085,10 AM,185.57,10:00,47578.82,6,185.57,256
2019-11-01,186.27900000000002,186.375,186.375,10:01 AM,186.115,10:01,1676.515,6,186.115,9
2019-11-01,186.769,186.77,186.785,10:02 AM,186.635,10:02,19797.56,3,186.635,106
2019-11-01,186.843,186.99,187.185,10:03 AM,186.8,10:03,22047.525,7,186.8,118
2019-11-01,186.89,186.79,186.99,10:04 AM,186.79,10:04,373.78,2,186.99,2
2019-11-01,186.893,187.05,187.05,10:05 AM,186.795,10:05,39060.58,6,186.795,209
2019-11-01,187.01,187.08,187.08,10:06 AM,187.01,10:06,37589.08,3,187.01,201
2019-11-01,187.06099999999998,187.125,187.125,10:07 AM,187.045,10:07,93530.5,2,187.045,500
2019-11-01,187.24,187.24,187.24,10:08 AM,187.24,10:08,187.24,1,187.24,1
2019-11-01,187.146,187.005,187.18,10:09 AM,187.005,10:09,43043.65,7,187.17,230
2019-11-01,187.0,187.105,187.105,10:10 AM,186.98,10:10,131834.99,10,186.985,705
2019-11-01,187.015,187.06,187.06,10:11 AM,186.935,10:11,243680.805,11,187.05,1303
2019-11-01,187.22,187.22,187.22,10:12 AM,187.22,10:12,18722.0,1,187.22,100
2019-11-01,187.308,187.445,187.445,10:13 AM,187.165,10:13,564359.51,7,187.165,3013
2019-11-01,187.40900000000002,187.49,187.49,10:14 AM,187.36,10:14,57534.5,6,187.395,307
2019-11-01,187.56599999999997,187.63,187.63,10:15 AM,187.565,10:15,19506.89,3,187.565,104
