date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,39.34,39.34,39.34,09:33 AM,39.34,09:33,16365.44,2.0,39.34,416.0
2019-11-01,39.34,39.34,39.34,09:34 AM,39.34,09:34,3934.0,1.0,39.34,100.0
2019-11-01,39.47,39.49,39.49,09:35 AM,39.43,09:35,23682.0,6.0,39.43,600.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,39.515,39.515,39.515,09:37 AM,39.515,09:37,3951.5,1.0,39.515,100.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,39.431999999999995,39.425,39.44,09:39 AM,39.425,09:39,7886.5,2.0,39.44,200.0
2019-11-01,39.435,39.44,39.44,09:40 AM,39.43,09:40,7965.88,3.0,39.43,202.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,,,,09:42 AM,,09:42,0.0,0.0,,0.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,39.4,39.4,39.4,09:44 AM,39.4,09:44,7880.0,2.0,39.4,200.0
2019-11-01,39.435,39.435,39.435,09:45 AM,39.435,09:45,7808.13,1.0,39.435,198.0
2019-11-01,39.415,39.415,39.415,09:46 AM,39.415,09:46,3941.5,1.0,39.415,100.0
2019-11-01,39.454,39.465,39.465,09:47 AM,39.445,09:47,51329.965,3.0,39.445,1301.0
2019-11-01,39.495,39.495,39.495,09:48 AM,39.495,09:48,3949.5,1.0,39.495,100.0
2019-11-01,39.5,39.5,39.5,09:49 AM,39.5,09:49,7900.0,1.0,39.5,200.0
2019-11-01,39.525,39.54,39.54,09:50 AM,39.51,09:50,8300.3,3.0,39.51,210.0
2019-11-01,39.52,39.52,39.52,09:51 AM,39.52,09:51,3952.0,1.0,39.52,100.0
2019-11-01,39.565,39.565,39.565,09:52 AM,39.565,09:52,3956.5,1.0,39.565,100.0
2019-11-01,39.6,39.6,39.6,09:53 AM,39.6,09:53,1980.0,1.0,39.6,50.0
2019-11-01,39.602,39.6,39.615,09:54 AM,39.6,09:54,9227.295,3.0,39.6,233.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,39.535,39.535,39.535,09:57 AM,39.535,09:57,3953.5,1.0,39.535,100.0
2019-11-01,39.55,39.565,39.565,09:58 AM,39.535,09:58,7910.0,2.0,39.535,200.0
2019-11-01,39.57,39.57,39.57,09:59 AM,39.57,09:59,3957.0,2.0,39.57,100.0
2019-11-01,39.591,39.6,39.6,10 AM,39.585,10:00,13857.0,4.0,39.6,350.0
2019-11-01,,,,10:01 AM,,10:01,0.0,0.0,,0.0
2019-11-01,39.615,39.615,39.615,10:02 AM,39.615,10:02,7923.0,2.0,39.615,200.0
2019-11-01,39.613,39.605,39.625,10:03 AM,39.605,10:03,19806.5,5.0,39.61,500.0
2019-11-01,39.63,39.63,39.63,10:04 AM,39.63,10:04,3963.0,1.0,39.63,100.0
2019-11-01,39.615,39.615,39.615,10:05 AM,39.615,10:05,3961.5,1.0,39.615,100.0
2019-11-01,39.605,39.595,39.61,10:06 AM,39.595,10:06,39605.0,9.0,39.61,1000.0
2019-11-01,39.596,39.585,39.605,10:07 AM,39.585,10:07,15838.5,4.0,39.605,400.0
2019-11-01,39.585,39.585,39.585,10:08 AM,39.585,10:08,3958.5,1.0,39.585,100.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,39.537,39.545,39.545,10:10 AM,39.525,10:10,11860.985,4.0,39.535,300.0
2019-11-01,39.54,39.525,39.555,10:11 AM,39.525,10:11,7908.0,2.0,39.555,200.0
2019-11-01,39.523,39.525,39.525,10:12 AM,39.52,10:12,7904.5,2.0,39.52,200.0
2019-11-01,39.515,39.505,39.525,10:13 AM,39.505,10:13,7903.0,2.0,39.525,200.0
2019-11-01,39.505,39.505,39.505,10:14 AM,39.505,10:14,3950.5,1.0,39.505,100.0
2019-11-01,39.52,39.52,39.52,10:15 AM,39.52,10:15,7904.0,2.0,39.52,200.0
2019-11-01,39.525,39.525,39.525,10:16 AM,39.525,10:16,3952.5,1.0,39.525,100.0
2019-11-01,39.5,39.5,39.5,10:17 AM,39.495,10:17,55299.5,3.0,39.495,1400.0
2019-11-01,,,,10:18 AM,,10:18,0.0,0.0,,0.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,,,,10:20 AM,,10:20,0.0,0.0,,0.0
2019-11-01,,,,10:21 AM,,10:21,0.0,0.0,,0.0
2019-11-01,39.613,39.62,39.62,10:22 AM,39.6,10:22,8992.2,3.0,39.6,227.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,39.665,39.67,39.67,10:24 AM,39.66,10:24,7933.0,2.0,39.66,200.0
2019-11-01,39.68,39.68,39.68,10:25 AM,39.68,10:25,3888.64,1.0,39.68,98.0
2019-11-01,,,,10:26 AM,,10:26,0.0,0.0,,0.0
2019-11-01,,,,10:27 AM,,10:27,0.0,0.0,,0.0
2019-11-01,,,,10:28 AM,,10:28,0.0,0.0,,0.0
2019-11-01,,,,10:29 AM,,10:29,0.0,0.0,,0.0
2019-11-01,,,,10:30 AM,,10:30,0.0,0.0,,0.0
