date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,86.95,86.95,86.95,09:30 AM,86.95,09:30,1304.25,1.0,86.95,15.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,87.0,87.0,87.0,09:33 AM,87.0,09:33,8700.0,1.0,87.0,100.0
2019-11-01,87.015,87.015,87.015,09:34 AM,87.015,09:34,8701.5,1.0,87.015,100.0
2019-11-01,87.235,87.35,87.35,09:35 AM,87.12,09:35,17447.0,2.0,87.12,200.0
2019-11-01,87.22,87.22,87.22,09:36 AM,87.22,09:36,8722.0,3.0,87.22,100.0
2019-11-01,87.545,87.54,87.55,09:37 AM,87.54,09:37,17509.0,2.0,87.55,200.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,87.43,87.43,87.43,09:39 AM,87.43,09:39,8743.0,1.0,87.43,100.0
2019-11-01,87.45,87.45,87.45,09:40 AM,87.45,09:40,43725.0,2.0,87.45,500.0
2019-11-01,87.432,87.62,87.62,09:41 AM,87.43,09:41,17661.24,3.0,87.43,202.0
2019-11-01,,,,09:42 AM,,09:42,0.0,0.0,,0.0
2019-11-01,87.93,88.015,88.03,09:43 AM,87.83,09:43,61551.15,8.0,87.83,700.0
2019-11-01,88.25,88.31,88.31,09:44 AM,88.19,09:44,17650.0,2.0,88.19,200.0
2019-11-01,88.303,88.28,88.36,09:45 AM,88.225,09:45,44151.5,5.0,88.35,500.0
2019-11-01,88.242,88.285,88.285,09:46 AM,88.19,09:46,26472.5,3.0,88.19,300.0
2019-11-01,88.335,88.335,88.37,09:47 AM,88.3,09:47,26500.5,3.0,88.3,300.0
2019-11-01,88.285,88.335,88.335,09:48 AM,88.11,09:48,61799.5,5.0,88.3,700.0
2019-11-01,88.35,88.35,88.35,09:49 AM,88.35,09:49,8835.0,1.0,88.35,100.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,88.307,88.5,88.5,09:51 AM,88.25,09:51,229597.5,13.0,88.425,2600.0
2019-11-01,88.775,88.775,88.775,09:52 AM,88.775,09:52,8877.5,1.0,88.775,100.0
2019-11-01,88.75,88.75,88.75,09:53 AM,88.75,09:53,8875.0,1.0,88.75,100.0
2019-11-01,88.603,88.52,88.7,09:54 AM,88.52,09:54,26581.0,3.0,88.7,300.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,88.865,88.865,88.865,09:56 AM,88.865,09:56,888.65,1.0,88.865,10.0
2019-11-01,88.715,88.715,88.715,09:57 AM,88.715,09:57,8871.5,1.0,88.715,100.0
2019-11-01,,,,09:58 AM,,09:58,0.0,0.0,,0.0
2019-11-01,,,,09:59 AM,,09:59,0.0,0.0,,0.0
2019-11-01,88.69,88.69,88.69,10 AM,88.69,10:00,8869.0,1.0,88.69,100.0
2019-11-01,88.98,89.02,89.02,10:01 AM,88.94,10:01,17796.0,2.0,88.94,200.0
2019-11-01,88.99,88.99,88.99,10:02 AM,88.99,10:02,8899.0,1.0,88.99,100.0
2019-11-01,,,,10:03 AM,,10:03,0.0,0.0,,0.0
2019-11-01,,,,10:04 AM,,10:04,0.0,0.0,,0.0
2019-11-01,,,,10:05 AM,,10:05,0.0,0.0,,0.0
2019-11-01,,,,10:06 AM,,10:06,0.0,0.0,,0.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,88.46,88.46,88.46,10:08 AM,88.46,10:08,2653.8,1.0,88.46,30.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,,,,10:10 AM,,10:10,0.0,0.0,,0.0
2019-11-01,,,,10:11 AM,,10:11,0.0,0.0,,0.0
2019-11-01,88.541,88.58,88.58,10:12 AM,88.42,10:12,80041.54,11.0,88.42,904.0
2019-11-01,88.61,88.61,88.61,10:13 AM,88.61,10:13,8861.0,1.0,88.61,100.0
2019-11-01,88.58,88.58,88.58,10:14 AM,88.58,10:14,8858.0,1.0,88.58,100.0
2019-11-01,,,,10:15 AM,,10:15,0.0,0.0,,0.0
2019-11-01,88.69,88.69,88.69,10:16 AM,88.69,10:16,8869.0,1.0,88.69,100.0
