date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,88.00299999999999,87.97,88.04,09:30 AM,87.95,09:30,52802.0,6,88.04,600
2019-11-01,87.91,87.94,87.94,09:31 AM,87.88,09:31,17582.0,2,87.88,200
2019-11-01,87.93,88.09,88.09,09:32 AM,87.85,09:32,58297.525,9,87.955,663
2019-11-01,87.96,87.95,88.015,09:33 AM,87.95,09:33,101153.5,7,88.015,1150
2019-11-01,87.919,87.86,87.95,09:34 AM,87.86,09:34,26815.3,4,87.95,305
2019-11-01,88.0,88.01,88.01,09:35 AM,88.0,09:35,8976.02,2,88.0,102
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,88.307,88.3,88.325,09:40 AM,88.3,09:40,132460.0,3,88.325,1500
2019-11-01,88.456,88.45,88.5,09:41 AM,88.44,09:41,133833.26,9,88.5,1513
2019-11-01,88.435,88.435,88.435,09:42 AM,88.435,09:42,8843.5,1,88.435,100
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,88.397,88.34,88.4,09:46 AM,88.34,09:46,9281.7,2,88.4,105
2019-11-01,88.25,88.25,88.25,09:47 AM,88.25,09:47,8825.0,2,88.25,100
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,88.36,88.36,88.36,09:50 AM,88.36,09:50,17672.0,1,88.36,200
2019-11-01,88.228,88.21,88.26,09:51 AM,88.21,09:51,61760.0,5,88.26,700
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,88.236,88.235,88.25,09:53 AM,88.22,09:53,97060.0,5,88.22,1100
2019-11-01,88.15,88.15,88.15,09:54 AM,88.15,09:54,26445.0,1,88.15,300
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,88.15899999999998,88.16,88.16,09:56 AM,88.15,09:56,8815.9,2,88.15,100
2019-11-01,88.12,88.12,88.12,09:57 AM,88.12,09:57,8812.0,1,88.12,100
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,88.1,88.1,88.1,10 AM,88.1,10:00,8810.0,3,88.1,100
2019-11-01,88.1,88.1,88.1,10:01 AM,88.1,10:01,32420.8,2,88.1,368
2019-11-01,88.184,88.26,88.26,10:02 AM,88.155,10:02,22575.06,3,88.2,256
2019-11-01,88.314,88.34,88.34,10:03 AM,88.26,10:03,13158.74,2,88.26,149
2019-11-01,88.29,88.31,88.31,10:04 AM,88.28,10:04,25427.64,4,88.28,288
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,88.225,88.24,88.24,10:07 AM,88.21,10:07,6087.51,2,88.21,69
