date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,93.72,93.72,93.72,09:32 AM,93.72,09:32,8809.68,1.0,93.72,94.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,,,,09:35 AM,,09:35,0.0,0.0,,0.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,93.53,93.53,93.53,09:39 AM,93.53,09:39,280.59,1.0,93.53,3.0
2019-11-01,93.57799999999999,93.625,93.625,09:40 AM,93.53,09:40,374.31,2.0,93.53,4.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,,,,09:42 AM,,09:42,0.0,0.0,,0.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,,,,09:52 AM,,09:52,0.0,0.0,,0.0
2019-11-01,,,,09:53 AM,,09:53,0.0,0.0,,0.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,,,,09:57 AM,,09:57,0.0,0.0,,0.0
2019-11-01,,,,09:58 AM,,09:58,0.0,0.0,,0.0
2019-11-01,,,,09:59 AM,,09:59,0.0,0.0,,0.0
2019-11-01,93.685,93.685,93.685,10 AM,93.685,10:00,9368.5,1.0,93.685,100.0
2019-11-01,,,,10:01 AM,,10:01,0.0,0.0,,0.0
2019-11-01,,,,10:02 AM,,10:02,0.0,0.0,,0.0
2019-11-01,93.635,93.635,93.635,10:03 AM,93.635,10:03,9363.5,1.0,93.635,100.0
2019-11-01,,,,10:04 AM,,10:04,0.0,0.0,,0.0
2019-11-01,,,,10:05 AM,,10:05,0.0,0.0,,0.0
2019-11-01,,,,10:06 AM,,10:06,0.0,0.0,,0.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,93.47,93.475,93.475,10:08 AM,93.47,10:08,9814.375,2.0,93.47,105.0
2019-11-01,93.515,93.555,93.555,10:09 AM,93.51,10:09,28989.55,4.0,93.52,310.0
2019-11-01,,,,10:10 AM,,10:10,0.0,0.0,,0.0
2019-11-01,,,,10:11 AM,,10:11,0.0,0.0,,0.0
2019-11-01,,,,10:12 AM,,10:12,0.0,0.0,,0.0
2019-11-01,,,,10:13 AM,,10:13,0.0,0.0,,0.0
2019-11-01,,,,10:14 AM,,10:14,0.0,0.0,,0.0
2019-11-01,93.325,93.325,93.325,10:15 AM,93.325,10:15,746.6,1.0,93.325,8.0
2019-11-01,,,,10:16 AM,,10:16,0.0,0.0,,0.0
2019-11-01,,,,10:17 AM,,10:17,0.0,0.0,,0.0
2019-11-01,,,,10:18 AM,,10:18,0.0,0.0,,0.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,,,,10:20 AM,,10:20,0.0,0.0,,0.0
2019-11-01,,,,10:21 AM,,10:21,0.0,0.0,,0.0
2019-11-01,,,,10:22 AM,,10:22,0.0,0.0,,0.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,93.4,93.4,93.4,10:24 AM,93.4,10:24,9340.0,1.0,93.4,100.0
2019-11-01,,,,10:25 AM,,10:25,0.0,0.0,,0.0
2019-11-01,,,,10:26 AM,,10:26,0.0,0.0,,0.0
2019-11-01,,,,10:27 AM,,10:27,0.0,0.0,,0.0
2019-11-01,,,,10:28 AM,,10:28,0.0,0.0,,0.0
2019-11-01,93.43,93.43,93.43,10:29 AM,93.43,10:29,9343.0,1.0,93.43,100.0
2019-11-01,,,,10:30 AM,,10:30,0.0,0.0,,0.0
2019-11-01,,,,10:31 AM,,10:31,0.0,0.0,,0.0
2019-11-01,93.52,93.52,93.52,10:32 AM,93.52,10:32,9352.0,1.0,93.52,100.0
2019-11-01,93.5,93.5,93.5,10:33 AM,93.5,10:33,9350.0,1.0,93.5,100.0
2019-11-01,93.46,93.46,93.46,10:34 AM,93.46,10:34,9346.0,1.0,93.46,100.0
2019-11-01,,,,10:35 AM,,10:35,0.0,0.0,,0.0
2019-11-01,,,,10:36 AM,,10:36,0.0,0.0,,0.0
2019-11-01,,,,10:37 AM,,10:37,0.0,0.0,,0.0
2019-11-01,,,,10:38 AM,,10:38,0.0,0.0,,0.0
2019-11-01,93.398,93.395,93.41,10:39 AM,93.395,10:39,12141.8,2.0,93.41,130.0
2019-11-01,,,,10:40 AM,,10:40,0.0,0.0,,0.0
2019-11-01,,,,10:41 AM,,10:41,0.0,0.0,,0.0
2019-11-01,,,,10:42 AM,,10:42,0.0,0.0,,0.0
