date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,53.456,53.5,53.5,09:35 AM,53.345,09:35,374.19,2,53.345,7
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,53.82,53.82,53.82,09:37 AM,53.82,09:37,5435.82,2,53.82,101
2019-11-01,53.695,53.695,53.695,09:38 AM,53.695,09:38,17128.705,2,53.695,319
2019-11-01,53.725,53.67,53.735,09:39 AM,53.67,09:39,10530.03,5,53.715,196
2019-11-01,53.74,53.74,53.74,09:40 AM,53.74,09:40,483.66,1,53.74,9
2019-11-01,53.681000000000004,53.6,53.74,09:41 AM,53.6,09:41,22009.4,4,53.74,410
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,53.711999999999996,53.71,53.72,09:45 AM,53.71,09:45,5371.2,2,53.72,100
2019-11-01,53.797,53.745,53.85,09:46 AM,53.745,09:46,10759.5,2,53.85,200
2019-11-01,53.825,53.825,53.825,09:47 AM,53.825,09:47,5382.5,1,53.825,100
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,53.865,53.865,53.865,09:49 AM,53.865,09:49,10773.0,1,53.865,200
2019-11-01,53.955,53.955,53.955,09:50 AM,53.955,09:50,27301.23,1,53.955,506
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,53.79,53.79,53.79,09:56 AM,53.79,09:56,5379.0,1,53.79,100
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,54.032,54.035,54.035,10:01 AM,54.03,10:01,16209.5,3,54.03,300
2019-11-01,54.18,54.18,54.18,10:02 AM,54.18,10:02,5418.0,1,54.18,100
2019-11-01,,,,10:03 AM,,10:03,0.0,0,,0
2019-11-01,54.345,54.33,54.36,10:04 AM,54.33,10:04,10869.0,2,54.36,200
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,54.398,54.395,54.4,10:08 AM,54.395,10:08,10879.5,3,54.4,200
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,54.35,54.35,54.35,10:13 AM,54.35,10:13,978.3,1,54.35,18
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,54.39,54.39,54.39,10:15 AM,54.39,10:15,10878.0,1,54.39,200
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,54.26600000000001,54.24,54.27,10:18 AM,54.24,10:18,37986.0,4,54.27,700
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,54.325,54.325,54.325,10:27 AM,54.325,10:27,10865.0,1,54.325,200
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,54.33,54.33,54.33,10:31 AM,54.33,10:31,5433.0,1,54.33,100
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,54.34,54.34,54.34,10:34 AM,54.34,10:34,5434.0,1,54.34,100
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,54.37,54.37,54.37,10:37 AM,54.37,10:37,5437.0,1,54.37,100
