date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,92.25200000000001,92.25,92.255,09:31 AM,92.25,09:31,553.515,2,92.255,6
2019-11-01,92.21600000000001,92.19,92.26,09:32 AM,92.13,09:32,28125.95,4,92.26,305
2019-11-01,92.18,92.18,92.18,09:33 AM,92.18,09:33,368.72,1,92.18,4
2019-11-01,92.133,92.21,92.21,09:34 AM,92.13,09:34,9581.84,2,92.13,104
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,92.17,92.17,92.17,09:36 AM,92.17,09:36,9217.0,1,92.17,100
2019-11-01,92.145,92.145,92.145,09:37 AM,92.145,09:37,18429.0,1,92.145,200
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,92.09,92.09,92.09,09:39 AM,92.09,09:39,9209.0,1,92.09,100
2019-11-01,91.89,91.89,91.89,09:40 AM,91.89,09:40,1102.68,1,91.89,12
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,91.68299999999999,91.73,91.73,09:43 AM,91.68,09:43,9718.38,3,91.68,106
2019-11-01,91.762,91.78,91.78,09:44 AM,91.71,09:44,6698.61,2,91.71,73
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,91.87899999999999,91.89,91.895,09:49 AM,91.85,09:49,28206.745,6,91.85,307
2019-11-01,91.84899999999999,91.83,91.88,09:50 AM,91.83,09:50,19563.94,3,91.88,213
2019-11-01,91.83,91.83,91.83,09:51 AM,91.83,09:51,9183.0,1,91.83,100
2019-11-01,91.83,91.83,91.83,09:52 AM,91.83,09:52,9183.0,1,91.83,100
2019-11-01,91.82799999999999,91.805,91.84,09:53 AM,91.805,09:53,27548.5,3,91.84,300
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,91.9,91.9,91.9,09:55 AM,91.9,09:55,9190.0,1,91.9,100
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,92.02,92.02,92.02,09:58 AM,92.02,09:58,9202.0,1,92.02,100
2019-11-01,92.031,92.03,92.05,09:59 AM,92.03,09:59,9939.4,2,92.05,108
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,92.221,92.24,92.24,10:03 AM,92.21,10:03,14201.96,2,92.21,154
2019-11-01,92.21,92.21,92.21,10:04 AM,92.21,10:04,36884.0,2,92.21,400
2019-11-01,92.291,92.31,92.31,10:05 AM,92.22,10:05,92291.5,9,92.22,1000
2019-11-01,92.277,92.275,92.28,10:06 AM,92.275,10:06,27683.0,3,92.28,300
2019-11-01,92.31700000000001,92.325,92.325,10:07 AM,92.3,10:07,27695.0,3,92.3,300
2019-11-01,92.338,92.33,92.36,10:08 AM,92.33,10:08,36935.0,4,92.36,400
2019-11-01,92.33,92.32,92.335,10:09 AM,92.32,10:09,46165.0,5,92.33,500
2019-11-01,92.355,92.36,92.36,10:10 AM,92.35,10:10,18471.0,2,92.35,200
2019-11-01,92.322,92.355,92.355,10:11 AM,92.3,10:11,64625.5,8,92.3,700
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,92.37,92.37,92.37,10:13 AM,92.37,10:13,9237.0,1,92.37,100
2019-11-01,92.49,92.5,92.5,10:14 AM,92.48,10:14,37550.94,4,92.48,406
2019-11-01,92.505,92.5,92.51,10:15 AM,92.5,10:15,18501.0,2,92.51,200
2019-11-01,92.535,92.56,92.56,10:16 AM,92.485,10:16,46267.5,4,92.485,500
2019-11-01,92.557,92.55,92.565,10:17 AM,92.55,10:17,27767.0,3,92.555,300
2019-11-01,92.514,92.47,92.545,10:18 AM,92.47,10:18,37005.5,4,92.545,400
2019-11-01,92.5,92.49,92.51,10:19 AM,92.49,10:19,27750.0,3,92.51,300
2019-11-01,92.479,92.46,92.5,10:20 AM,92.45,10:20,46239.63,5,92.49,500
2019-11-01,92.41,92.415,92.415,10:21 AM,92.405,10:21,18482.0,2,92.405,200
2019-11-01,92.462,92.455,92.49,10:22 AM,92.425,10:22,46231.0,5,92.425,500
2019-11-01,92.48899999999999,92.495,92.495,10:23 AM,92.47,10:23,36995.5,2,92.47,400
2019-11-01,92.56700000000001,92.545,92.59,10:24 AM,92.545,10:24,18513.5,2,92.59,200
2019-11-01,92.5,92.5,92.5,10:25 AM,92.5,10:25,9250.0,1,92.5,100
2019-11-01,92.52,92.51,92.53,10:26 AM,92.51,10:26,46260.0,4,92.52,500
2019-11-01,92.48,92.48,92.48,10:27 AM,92.48,10:27,9248.0,1,92.48,100
2019-11-01,92.441,92.455,92.455,10:28 AM,92.43,10:28,55464.5,6,92.45,600
2019-11-01,92.48,92.49,92.49,10:29 AM,92.47,10:29,18496.0,2,92.47,200
2019-11-01,92.52600000000001,92.53,92.53,10:30 AM,92.52,10:30,37010.5,4,92.53,400
2019-11-01,92.47,92.45,92.49,10:31 AM,92.45,10:31,18494.0,2,92.49,200
2019-11-01,92.458,92.46,92.46,10:32 AM,92.445,10:32,65367.72,5,92.46,707
2019-11-01,92.55,92.55,92.55,10:33 AM,92.55,10:33,18602.55,3,92.55,201
2019-11-01,92.605,92.605,92.605,10:34 AM,92.605,10:34,27781.5,3,92.605,300
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,92.613,92.595,92.63,10:36 AM,92.595,10:36,19448.7,3,92.63,210
2019-11-01,92.595,92.6,92.605,10:37 AM,92.59,10:37,64816.5,7,92.605,700
2019-11-01,92.59,92.59,92.59,10:38 AM,92.59,10:38,18518.0,2,92.59,200
2019-11-01,92.56,92.56,92.56,10:39 AM,92.56,10:39,9256.0,1,92.56,100
2019-11-01,92.56,92.55,92.57,10:40 AM,92.55,10:40,27768.0,3,92.57,300
2019-11-01,92.54799999999999,92.55,92.55,10:41 AM,92.545,10:41,27764.5,3,92.545,300
2019-11-01,92.57,92.57,92.57,10:42 AM,92.57,10:42,9257.0,1,92.57,100
2019-11-01,92.59,92.59,92.59,10:43 AM,92.59,10:43,9259.0,1,92.59,100
2019-11-01,92.69,92.69,92.69,10:44 AM,92.69,10:44,9269.0,1,92.69,100
2019-11-01,92.65299999999999,92.64,92.67,10:45 AM,92.64,10:45,27796.0,3,92.67,300
2019-11-01,92.62,92.62,92.62,10:46 AM,92.62,10:46,18524.0,2,92.62,200
2019-11-01,92.61,92.605,92.62,10:47 AM,92.605,10:47,27783.0,2,92.62,300
2019-11-01,92.59,92.59,92.59,10:48 AM,92.59,10:48,10277.49,2,92.59,111
2019-11-01,92.665,92.665,92.665,10:49 AM,92.665,10:49,9266.5,1,92.665,100
2019-11-01,92.625,92.6,92.64,10:50 AM,92.6,10:50,27787.5,3,92.64,300
2019-11-01,92.62,92.62,92.62,10:51 AM,92.62,10:51,18524.0,2,92.62,200
2019-11-01,92.615,92.61,92.62,10:52 AM,92.61,10:52,18523.0,2,92.62,200
2019-11-01,92.605,92.605,92.605,10:53 AM,92.605,10:53,9260.5,1,92.605,100
2019-11-01,92.587,92.6,92.6,10:54 AM,92.57,10:54,27776.0,3,92.57,300
2019-11-01,92.595,92.575,92.61,10:55 AM,92.575,10:55,55557.055,8,92.61,600
2019-11-01,,,,10:56 AM,,10:56,0.0,0,,0
2019-11-01,92.54299999999999,92.525,92.56,10:57 AM,92.525,10:57,18508.5,2,92.56,200
2019-11-01,92.505,92.49,92.52,10:58 AM,92.49,10:58,18501.0,2,92.52,200
2019-11-01,92.475,92.495,92.495,10:59 AM,92.46,10:59,28297.32,3,92.47,306
2019-11-01,92.57799999999999,92.58,92.58,11 AM,92.575,11:00,18515.5,2,92.575,200
2019-11-01,,,,11:01 AM,,11:01,0.0,0,,0
2019-11-01,92.45,92.45,92.45,11:02 AM,92.45,11:02,18490.0,2,92.45,200
2019-11-01,,,,11:03 AM,,11:03,0.0,0,,0
2019-11-01,92.45700000000001,92.44,92.475,11:04 AM,92.44,11:04,19415.9,3,92.475,210
2019-11-01,,,,11:05 AM,,11:05,0.0,0,,0
2019-11-01,92.47,92.47,92.47,11:06 AM,92.47,11:06,9247.0,1,92.47,100
2019-11-01,92.45,92.44,92.46,11:07 AM,92.44,11:07,27735.0,3,92.46,300
2019-11-01,92.443,92.45,92.45,11:08 AM,92.44,11:08,27733.0,2,92.44,300
2019-11-01,92.494,92.495,92.495,11:09 AM,92.49,11:09,36997.5,4,92.49,400
2019-11-01,92.505,92.5,92.51,11:10 AM,92.5,11:10,18501.0,2,92.51,200
2019-11-01,92.47,92.47,92.47,11:11 AM,92.47,11:11,9247.0,1,92.47,100
2019-11-01,,,,11:12 AM,,11:12,0.0,0,,0
2019-11-01,92.53,92.53,92.53,11:13 AM,92.53,11:13,27759.0,2,92.53,300
2019-11-01,,,,11:14 AM,,11:14,0.0,0,,0
2019-11-01,92.536,92.52,92.54,11:15 AM,92.52,11:15,22948.96,2,92.54,248
2019-11-01,92.507,92.51,92.51,11:16 AM,92.5,11:16,27752.0,3,92.5,300
2019-11-01,,,,11:17 AM,,11:17,0.0,0,,0
2019-11-01,92.45,92.45,92.45,11:18 AM,92.45,11:18,4807.4,1,92.45,52
2019-11-01,92.48200000000001,92.485,92.485,11:19 AM,92.45,11:19,20068.65,2,92.45,217
2019-11-01,92.50299999999999,92.5,92.51,11:20 AM,92.5,11:20,27751.0,3,92.51,300
2019-11-01,92.454,92.45,92.47,11:21 AM,92.45,11:21,46227.0,4,92.47,500
2019-11-01,92.449,92.47,92.47,11:22 AM,92.425,11:22,36979.5,4,92.47,400
2019-11-01,92.455,92.43,92.48,11:23 AM,92.43,11:23,18491.0,2,92.48,200
2019-11-01,92.45700000000001,92.465,92.465,11:24 AM,92.45,11:24,18676.41,3,92.45,202
2019-11-01,92.476,92.485,92.485,11:25 AM,92.465,11:25,46238.0,5,92.48,500
