date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,,,,09:35 AM,,09:35,0.0,0.0,,0.0
2019-11-01,223.795,223.795,223.795,09:36 AM,223.795,09:36,22379.5,1.0,223.795,100.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,223.705,223.705,223.705,09:39 AM,223.705,09:39,67111.5,3.0,223.705,300.0
2019-11-01,224.04,224.04,224.04,09:40 AM,224.04,09:40,22404.0,1.0,224.04,100.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,224.162,224.245,224.245,09:42 AM,224.08,09:42,44832.5,2.0,224.08,200.0
2019-11-01,224.172,224.02,224.175,09:43 AM,224.02,09:43,23089.715,3.0,224.175,103.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,223.78,223.75,223.87,09:50 AM,223.75,09:50,45203.62,4.0,223.81,202.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,223.72,223.72,223.72,09:52 AM,223.72,09:52,22372.0,1.0,223.72,100.0
2019-11-01,223.46,223.46,223.46,09:53 AM,223.46,09:53,30167.1,1.0,223.46,135.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,,,,09:57 AM,,09:57,0.0,0.0,,0.0
2019-11-01,222.979,222.91,223.1,09:58 AM,222.91,09:58,61319.25,3.0,223.1,275.0
2019-11-01,223.15,223.15,223.15,09:59 AM,223.15,09:59,44630.0,2.0,223.15,200.0
2019-11-01,,,,10 AM,,10:00,0.0,0.0,,0.0
2019-11-01,223.115,223.115,223.115,10:01 AM,223.115,10:01,22311.5,1.0,223.115,100.0
2019-11-01,223.06,223.06,223.06,10:02 AM,223.06,10:02,22306.0,1.0,223.06,100.0
2019-11-01,,,,10:03 AM,,10:03,0.0,0.0,,0.0
2019-11-01,,,,10:04 AM,,10:04,0.0,0.0,,0.0
2019-11-01,222.85,222.85,222.85,10:05 AM,222.85,10:05,22285.0,1.0,222.85,100.0
2019-11-01,222.803,222.78,222.825,10:06 AM,222.78,10:06,44560.5,2.0,222.825,200.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,,,,10:08 AM,,10:08,0.0,0.0,,0.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,,,,10:10 AM,,10:10,0.0,0.0,,0.0
2019-11-01,,,,10:11 AM,,10:11,0.0,0.0,,0.0
2019-11-01,,,,10:12 AM,,10:12,0.0,0.0,,0.0
2019-11-01,,,,10:13 AM,,10:13,0.0,0.0,,0.0
2019-11-01,,,,10:14 AM,,10:14,0.0,0.0,,0.0
2019-11-01,222.68,222.68,222.68,10:15 AM,222.68,10:15,445.36,1.0,222.68,2.0
2019-11-01,,,,10:16 AM,,10:16,0.0,0.0,,0.0
2019-11-01,,,,10:17 AM,,10:17,0.0,0.0,,0.0
2019-11-01,222.31,222.31,222.31,10:18 AM,222.31,10:18,22231.0,1.0,222.31,100.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,221.955,221.89,222.02,10:20 AM,221.89,10:20,88782.0,4.0,222.02,400.0
2019-11-01,,,,10:21 AM,,10:21,0.0,0.0,,0.0
2019-11-01,,,,10:22 AM,,10:22,0.0,0.0,,0.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,222.08900000000003,222.145,222.145,10:24 AM,222.07,10:24,888.355,2.0,222.07,4.0
2019-11-01,,,,10:25 AM,,10:25,0.0,0.0,,0.0
2019-11-01,,,,10:26 AM,,10:26,0.0,0.0,,0.0
2019-11-01,,,,10:27 AM,,10:27,0.0,0.0,,0.0
2019-11-01,,,,10:28 AM,,10:28,0.0,0.0,,0.0
2019-11-01,222.265,222.265,222.265,10:29 AM,222.265,10:29,22226.5,1.0,222.265,100.0
2019-11-01,,,,10:30 AM,,10:30,0.0,0.0,,0.0
2019-11-01,,,,10:31 AM,,10:31,0.0,0.0,,0.0
2019-11-01,,,,10:32 AM,,10:32,0.0,0.0,,0.0
2019-11-01,222.215,222.215,222.215,10:33 AM,222.215,10:33,22221.5,1.0,222.215,100.0
2019-11-01,,,,10:34 AM,,10:34,0.0,0.0,,0.0
2019-11-01,,,,10:35 AM,,10:35,0.0,0.0,,0.0
2019-11-01,,,,10:36 AM,,10:36,0.0,0.0,,0.0
2019-11-01,221.69,221.69,221.69,10:37 AM,221.69,10:37,22169.0,1.0,221.69,100.0
2019-11-01,,,,10:38 AM,,10:38,0.0,0.0,,0.0
2019-11-01,,,,10:39 AM,,10:39,0.0,0.0,,0.0
