date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,117.67,117.63,117.675,09:32 AM,117.63,09:32,423611.5,8,117.675,3600
2019-11-01,117.829,117.67,117.95,09:33 AM,117.67,09:33,29928.62,3,117.83,254
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,117.803,117.85,117.85,09:36 AM,117.71,09:36,35341.0,3,117.71,300
2019-11-01,117.898,117.865,117.92,09:37 AM,117.865,09:37,35369.5,3,117.92,300
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,117.87700000000001,117.85,117.905,09:39 AM,117.85,09:39,23575.5,2,117.905,200
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,117.604,117.58,117.64,09:41 AM,117.575,09:41,47041.79,5,117.575,400
2019-11-01,117.56200000000001,117.535,117.58,09:42 AM,117.535,09:42,35268.5,4,117.57,300
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,117.46,117.46,117.46,09:44 AM,117.46,09:44,11746.0,1,117.46,100
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,117.69,117.69,117.69,09:46 AM,117.69,09:46,11769.0,1,117.69,100
2019-11-01,117.84700000000001,117.87,117.87,09:47 AM,117.83,09:47,58923.5,5,117.83,500
2019-11-01,117.92,117.92,117.92,09:48 AM,117.92,09:48,11792.0,1,117.92,100
2019-11-01,117.95,117.95,117.95,09:49 AM,117.95,09:49,11795.0,1,117.95,100
2019-11-01,117.78,117.78,117.78,09:50 AM,117.78,09:50,588.9,1,117.78,5
2019-11-01,117.795,117.795,117.795,09:51 AM,117.795,09:51,471.18,1,117.795,4
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,117.705,117.705,117.705,09:54 AM,117.705,09:54,11770.5,1,117.705,100
2019-11-01,117.735,117.735,117.735,09:55 AM,117.735,09:55,11773.5,1,117.735,100
2019-11-01,117.75,117.75,117.75,09:56 AM,117.75,09:56,11775.0,1,117.75,100
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,117.68,117.68,117.68,09:58 AM,117.68,09:58,11768.0,1,117.68,100
2019-11-01,117.72,117.72,117.72,09:59 AM,117.72,09:59,11772.0,1,117.72,100
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,117.836,117.84,117.84,10:01 AM,117.83,10:01,18382.48,2,117.83,156
2019-11-01,117.96799999999999,117.97,117.975,10:02 AM,117.96,10:02,35508.47,3,117.975,301
2019-11-01,117.99,117.99,117.99,10:03 AM,117.99,10:03,11799.0,1,117.99,100
2019-11-01,117.95,117.95,117.95,10:04 AM,117.95,10:04,11795.0,1,117.95,100
2019-11-01,117.993,118.045,118.045,10:05 AM,117.9,10:05,129792.0,6,117.9,1100
2019-11-01,118.037,118.03,118.045,10:06 AM,118.03,10:06,23607.5,2,118.045,200
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,118.03,118.03,118.03,10:09 AM,118.03,10:09,12157.09,2,118.03,103
2019-11-01,118.11,118.06,118.115,10:10 AM,118.06,10:10,78542.9,2,118.115,665
2019-11-01,117.999,118.005,118.02,10:11 AM,117.99,10:11,248858.91,7,117.99,2109
2019-11-01,118.05799999999999,118.05,118.11,10:12 AM,118.025,10:12,94446.0,6,118.025,800
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,118.08200000000001,118.065,118.1,10:14 AM,118.065,10:14,23616.5,2,118.1,200
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,118.318,118.31,118.34,10:17 AM,118.31,10:17,45788.97,5,118.34,387
2019-11-01,118.29,118.29,118.29,10:18 AM,118.29,10:18,11829.0,1,118.29,100
2019-11-01,118.225,118.225,118.225,10:19 AM,118.225,10:19,11822.5,1,118.225,100
2019-11-01,118.256,118.24,118.27,10:20 AM,118.24,10:20,47302.5,4,118.26,400
2019-11-01,118.3,118.3,118.31,10:21 AM,118.29,10:21,35490.0,3,118.29,300
2019-11-01,118.32,118.32,118.32,10:22 AM,118.32,10:22,11832.0,1,118.32,100
2019-11-01,118.395,118.38,118.41,10:23 AM,118.38,10:23,23679.0,2,118.41,200
2019-11-01,118.345,118.345,118.345,10:24 AM,118.345,10:24,11834.5,1,118.345,100
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,118.32799999999999,118.31,118.355,10:26 AM,118.31,10:26,35498.5,3,118.355,300
2019-11-01,118.11,118.11,118.11,10:27 AM,118.11,10:27,12047.22,2,118.11,102
