date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,92.63,92.24,93.24,09:30 AM,91.56,09:30,687130.385,73,91.56,7418
2019-11-01,92.75399999999999,93.53,93.53,09:31 AM,92.1,09:31,380293.5,33,92.5,4100
2019-11-01,93.085,92.165,93.97,09:32 AM,92.165,09:32,494186.88,47,93.46,5309
2019-11-01,91.95700000000001,91.89,92.175,09:33 AM,91.74,09:33,231730.5,23,92.175,2520
2019-11-01,91.861,91.79,92.015,09:34 AM,91.59,09:34,369282.7,28,92.015,4020
2019-11-01,91.791,91.78,91.85,09:35 AM,91.69,09:35,130252.22,13,91.69,1419
2019-11-01,92.272,93.065,93.21,09:36 AM,91.9,09:36,643412.965,57,91.9,6973
2019-11-01,92.715,92.395,93.04,09:37 AM,92.395,09:37,228170.82,27,92.94,2461
2019-11-01,92.71600000000001,92.985,93.18,09:38 AM,92.4,09:38,299007.58,34,92.405,3225
2019-11-01,93.12,93.39,93.69,09:39 AM,92.885,09:39,303293.4,35,93.015,3257
2019-11-01,93.749,93.62,94.0,09:40 AM,93.39,09:40,355775.66,36,93.39,3795
2019-11-01,93.699,93.65,93.77,09:41 AM,93.56,09:41,178027.5,18,93.59,1900
2019-11-01,94.11,94.39,94.42,09:42 AM,93.51,09:42,926044.58,90,93.56,9840
2019-11-01,94.494,94.47,94.625,09:43 AM,94.39,09:43,392621.02,41,94.4,4155
2019-11-01,94.538,94.62,94.8,09:44 AM,94.48,09:44,616767.64,34,94.5,6524
2019-11-01,94.76899999999999,94.905,94.92,09:45 AM,94.6,09:45,389879.765,35,94.605,4114
2019-11-01,94.853,94.6,94.965,09:46 AM,94.6,09:46,335684.295,37,94.91,3539
2019-11-01,94.396,94.45,94.665,09:47 AM,94.26,09:47,179352.5,19,94.665,1900
2019-11-01,94.39399999999999,94.39,94.52,09:48 AM,94.21,09:48,233341.44,26,94.465,2472
2019-11-01,94.506,94.415,94.65,09:49 AM,94.39,09:49,264523.4,33,94.42,2799
2019-11-01,94.22,94.14,94.45,09:50 AM,94.01,09:50,199368.98,21,94.44,2116
2019-11-01,93.934,93.865,94.21,09:51 AM,93.775,09:51,148510.245,19,94.155,1581
2019-11-01,94.163,94.325,94.39,09:52 AM,93.94,09:52,318177.45,28,94.055,3379
2019-11-01,94.447,94.425,94.585,09:53 AM,94.31,09:53,152815.65,19,94.31,1618
2019-11-01,94.598,94.805,94.805,09:54 AM,94.455,09:54,274995.63,25,94.475,2907
2019-11-01,95.079,95.08,95.3,09:55 AM,94.81,09:55,415497.15,46,94.81,4370
2019-11-01,94.97,94.69,95.21,09:56 AM,94.69,09:56,392892.53,31,95.06,4137
2019-11-01,94.99,95.14,95.175,09:57 AM,94.715,09:57,232724.75,23,94.72,2450
2019-11-01,95.448,95.63,95.64,09:58 AM,95.22,09:58,212944.95,21,95.25,2231
2019-11-01,95.554,95.185,95.64,09:59 AM,95.185,09:59,195885.5,15,95.63,2050
2019-11-01,95.51100000000001,95.75,95.75,10 AM,95.27,10:00,429896.32,36,95.275,4501
2019-11-01,95.818,95.79,95.905,10:01 AM,95.76,10:01,258708.0,29,95.775,2700
2019-11-01,95.71,95.515,95.77,10:02 AM,95.49,10:02,183860.04,21,95.72,1921
2019-11-01,95.345,95.27,95.47,10:03 AM,95.27,10:03,259624.275,16,95.47,2723
2019-11-01,95.255,95.36,95.36,10:04 AM,95.18,10:04,212323.575,22,95.255,2229
2019-11-01,95.199,95.025,95.31,10:05 AM,95.025,10:05,218863.18,26,95.265,2299
2019-11-01,95.098,94.905,95.25,10:06 AM,94.905,10:06,80833.5,9,94.94,850
2019-11-01,95.03399999999999,95.03,95.115,10:07 AM,94.75,10:07,144927.25,16,94.75,1525
2019-11-01,95.01299999999999,95.025,95.05,10:08 AM,94.95,10:08,79716.1,7,94.95,839
2019-11-01,94.865,94.67,95.025,10:09 AM,94.67,10:09,95150.015,9,95.025,1003
2019-11-01,94.95,94.935,95.0,10:10 AM,94.7,10:10,185152.5,16,94.7,1950
2019-11-01,94.958,94.865,95.01,10:11 AM,94.865,10:11,116323.42,20,95.01,1225
2019-11-01,94.902,94.825,94.935,10:12 AM,94.795,10:12,163041.0,38,94.895,1718
2019-11-01,94.87200000000001,94.815,94.92,10:13 AM,94.67,10:13,101323.605,28,94.82,1068
2019-11-01,94.885,95.015,95.02,10:14 AM,94.815,10:14,224402.29,41,94.83,2365
2019-11-01,95.008,94.94,95.025,10:15 AM,94.935,10:15,377944.11,41,95.015,3978
2019-11-01,94.99700000000001,95.0,95.015,10:16 AM,94.95,10:16,194268.64,37,94.95,2045
2019-11-01,94.99700000000001,94.935,95.07,10:17 AM,94.91,10:17,179353.855,39,95.015,1888
2019-11-01,94.62,94.365,94.78,10:18 AM,94.335,10:18,173911.02,43,94.78,1838
2019-11-01,94.59,94.66,94.74,10:19 AM,94.32,10:19,192207.785,28,94.32,2032
2019-11-01,94.70200000000001,94.88,94.88,10:20 AM,94.55,10:20,56821.0,6,94.58,600
2019-11-01,94.905,94.815,94.98,10:21 AM,94.815,10:21,98037.255,12,94.965,1033
2019-11-01,94.95299999999999,94.95,94.985,10:22 AM,94.895,10:22,202440.04,20,94.97,2132
2019-11-01,94.98299999999999,94.985,95.0,10:23 AM,94.97,10:23,87764.28,9,94.97,924
2019-11-01,94.98100000000001,94.92,94.995,10:24 AM,94.92,10:24,66486.5,7,94.995,700
2019-11-01,94.677,94.66,94.695,10:25 AM,94.65,10:25,85209.5,9,94.69,900
2019-11-01,94.719,94.73,94.73,10:26 AM,94.68,10:26,56831.5,5,94.68,600
2019-11-01,94.949,94.955,94.955,10:27 AM,94.82,10:27,19274.73,4,94.82,203
2019-11-01,94.975,94.98,95.01,10:28 AM,94.92,10:28,104472.5,11,95.01,1100
2019-11-01,95.32,95.25,95.45,10:29 AM,95.05,10:29,231150.025,27,95.05,2425
2019-11-01,95.49,95.705,95.705,10:30 AM,95.29,10:30,214948.94,24,95.29,2251
2019-11-01,95.445,95.2,95.66,10:31 AM,95.19,10:31,186118.55,21,95.66,1950
2019-11-01,95.1,95.02,95.12,10:32 AM,95.02,10:32,47550.0,5,95.12,500
2019-11-01,95.18799999999999,95.215,95.3,10:33 AM,95.12,10:33,152300.5,16,95.12,1600
2019-11-01,95.271,95.26,95.345,10:34 AM,95.2,10:34,133380.0,14,95.2,1400
2019-11-01,95.285,95.225,95.365,10:35 AM,95.19,10:35,195049.24,19,95.29,2047
2019-11-01,95.06200000000001,95.115,95.18,10:36 AM,94.78,10:36,133086.5,14,95.18,1400
2019-11-01,95.18799999999999,95.12,95.235,10:37 AM,95.12,10:37,133262.5,14,95.175,1400
2019-11-01,95.14200000000001,95.035,95.215,10:38 AM,95.02,10:38,70975.93,7,95.205,746
2019-11-01,94.943,94.955,94.97,10:39 AM,94.905,10:39,28483.0,3,94.97,300
2019-11-01,94.95299999999999,94.99,94.99,10:40 AM,94.875,10:40,75962.0,8,94.965,800
2019-11-01,94.98,94.93,95.13,10:41 AM,94.9,10:41,209904.75,24,95.125,2210
2019-11-01,95.064,95.215,95.215,10:42 AM,94.95,10:42,202867.28,17,94.96,2134
2019-11-01,95.31200000000001,95.295,95.385,10:43 AM,95.23,10:43,190624.0,19,95.25,2000
2019-11-01,95.243,95.405,95.485,10:44 AM,95.0,10:44,243442.16,20,95.17,2556
2019-11-01,95.415,95.335,95.545,10:45 AM,95.335,10:45,143122.5,13,95.43,1500
2019-11-01,95.257,95.32,95.36,10:46 AM,95.09,10:46,118213.38,13,95.36,1241
2019-11-01,95.524,95.64,95.64,10:47 AM,95.3,10:47,324781.0,26,95.455,3400
2019-11-01,95.39399999999999,95.36,95.56,10:48 AM,95.265,10:48,200327.5,21,95.56,2100
2019-11-01,95.338,95.29,95.4,10:49 AM,95.23,10:49,266946.0,25,95.36,2800
2019-11-01,95.385,95.27,95.51,10:50 AM,95.25,10:50,192678.3,27,95.29,2020
2019-11-01,95.375,95.37,95.435,10:51 AM,95.285,10:51,114450.5,12,95.285,1200
2019-11-01,95.18299999999999,94.94,95.355,10:52 AM,94.94,10:52,128497.0,14,95.255,1350
2019-11-01,94.947,94.96,94.96,10:53 AM,94.9,10:53,170904.5,18,94.955,1800
2019-11-01,94.875,94.87,94.96,10:54 AM,94.765,10:54,199047.69,22,94.96,2098
2019-11-01,94.74600000000001,94.65,94.84,10:55 AM,94.65,10:55,198682.36,19,94.84,2097
