date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,257.4,257.4,257.4,09:50 AM,257.4,09:50,25740.0,1,257.4,100
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,257.32,257.32,257.32,09:53 AM,257.32,09:53,6433.0,1,257.32,25
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,257.43,257.43,257.43,09:56 AM,257.43,09:56,1287.15,1,257.43,5
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,257.7,257.7,257.7,09:58 AM,257.7,09:58,77310.0,1,257.7,300
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,257.88,257.88,257.88,10 AM,257.88,10:00,257.88,1,257.88,1
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,,,,10:03 AM,,10:03,0.0,0,,0
2019-11-01,257.67,257.67,257.67,10:04 AM,257.67,10:04,257.67,1,257.67,1
2019-11-01,257.765,257.765,257.765,10:05 AM,257.765,10:05,25776.5,1,257.765,100
2019-11-01,257.97,257.97,257.97,10:06 AM,257.97,10:06,257.97,1,257.97,1
2019-11-01,257.95,257.95,257.95,10:07 AM,257.95,10:07,25021.15,1,257.95,97
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,257.86,257.86,257.86,10:19 AM,257.86,10:19,25786.0,1,257.86,100
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,258.259,258.26,258.26,10:33 AM,258.24,10:33,26858.96,2,258.24,104
2019-11-01,258.166,258.14,258.195,10:34 AM,258.14,10:34,71511.885,4,258.195,277
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,,,,10:37 AM,,10:37,0.0,0,,0
2019-11-01,,,,10:38 AM,,10:38,0.0,0,,0
2019-11-01,258.56,258.56,258.56,10:39 AM,258.56,10:39,25856.0,1,258.56,100
2019-11-01,,,,10:40 AM,,10:40,0.0,0,,0
2019-11-01,,,,10:41 AM,,10:41,0.0,0,,0
2019-11-01,,,,10:42 AM,,10:42,0.0,0,,0
