date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,16.3,16.31,16.31,09:30 AM,16.27,09:30,6520.0,4,16.31,400
2019-11-01,16.312,16.315,16.325,09:31 AM,16.305,09:31,11467.455,9,16.305,703
2019-11-01,16.314,16.31,16.33,09:32 AM,16.3,09:32,8205.93,6,16.32,503
2019-11-01,16.323,16.34,16.34,09:33 AM,16.31,09:33,375.44,5,16.31,23
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,16.284000000000002,16.285,16.285,09:35 AM,16.28,09:35,569.93,5,16.285,35
2019-11-01,16.305999999999994,16.305,16.31,09:36 AM,16.295,09:36,5071.27,15,16.3,311
2019-11-01,16.313,16.315,16.315,09:37 AM,16.305,09:37,1174.55,7,16.305,72
2019-11-01,16.313,16.305,16.315,09:38 AM,16.305,09:38,277.315,8,16.305,17
2019-11-01,16.288,16.285,16.295,09:39 AM,16.285,09:39,276.895,4,16.295,17
2019-11-01,16.269000000000002,16.265,16.275,09:40 AM,16.265,09:40,5466.55,9,16.27,336
2019-11-01,16.235,16.235,16.235,09:41 AM,16.235,09:41,422.11,2,16.235,26
2019-11-01,16.233,16.215,16.235,09:42 AM,16.215,09:42,8700.82,9,16.23,536
2019-11-01,16.224,16.225,16.225,09:43 AM,16.215,09:43,2725.63,13,16.215,168
2019-11-01,16.205,16.205,16.205,09:44 AM,16.205,09:44,599.585,5,16.205,37
2019-11-01,16.215,16.215,16.215,09:45 AM,16.215,09:45,7280.535,9,16.215,449
2019-11-01,16.232,16.235,16.235,09:46 AM,16.215,09:46,31539.31,24,16.215,1943
2019-11-01,16.225,16.22,16.225,09:47 AM,16.22,09:47,3699.265,6,16.225,228
2019-11-01,16.215,16.215,16.225,09:48 AM,16.215,09:48,24647.02,14,16.225,1520
2019-11-01,16.237000000000002,16.255,16.255,09:49 AM,16.215,09:49,44391.93,28,16.215,2734
2019-11-01,16.24,16.235,16.245,09:50 AM,16.235,09:50,5343.085,9,16.245,329
2019-11-01,16.26,16.26,16.265,09:51 AM,16.245,09:51,4178.755,9,16.245,257
2019-11-01,16.267,16.265,16.275,09:52 AM,16.26,09:52,2960.52,10,16.265,182
2019-11-01,16.25,16.24,16.255,09:53 AM,16.235,09:53,4436.26,8,16.255,273
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,16.26,16.26,16.26,09:55 AM,16.26,09:55,24390.0,4,16.26,1500
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,16.285,16.285,16.285,09:58 AM,16.285,09:58,1628.5,1,16.285,100
2019-11-01,16.297,16.305,16.305,09:59 AM,16.29,09:59,19556.5,3,16.29,1200
2019-11-01,16.267,16.255,16.29,10 AM,16.255,10:00,4880.0,3,16.29,300
2019-11-01,16.27,16.265,16.28,10:01 AM,16.265,10:01,17897.5,7,16.28,1100
2019-11-01,16.29,16.29,16.29,10:02 AM,16.29,10:02,6516.0,2,16.29,400
2019-11-01,16.313,16.32,16.32,10:03 AM,16.31,10:03,11419.0,4,16.31,700
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,16.35,16.35,16.35,10:05 AM,16.35,10:05,4905.0,1,16.35,300
2019-11-01,16.347,16.35,16.35,10:06 AM,16.34,10:06,4920.35,3,16.35,301
2019-11-01,16.34,16.34,16.34,10:07 AM,16.34,10:07,1634.0,1,16.34,100
2019-11-01,16.345,16.345,16.345,10:08 AM,16.345,10:08,9807.0,2,16.345,600
2019-11-01,16.332,16.33,16.335,10:09 AM,16.33,10:09,3266.5,2,16.335,200
2019-11-01,16.34,16.34,16.34,10:10 AM,16.34,10:10,3268.0,1,16.34,200
2019-11-01,16.355,16.355,16.355,10:11 AM,16.355,10:11,1978.955,4,16.355,121
2019-11-01,16.347,16.345,16.355,10:12 AM,16.345,10:12,8598.53,19,16.355,526
2019-11-01,16.357,16.355,16.36,10:13 AM,16.345,10:13,23079.365,33,16.345,1411
2019-11-01,16.345,16.355,16.355,10:14 AM,16.345,10:14,37920.5,18,16.345,2320
2019-11-01,16.355,16.355,16.355,10:15 AM,16.355,10:15,65.42,3,16.355,4
2019-11-01,16.355,16.365,16.365,10:16 AM,16.345,10:16,2191.59,8,16.345,134
2019-11-01,16.365,16.365,16.365,10:17 AM,16.365,10:17,1898.34,6,16.365,116
2019-11-01,16.361,16.345,16.365,10:18 AM,16.345,10:18,359.94,8,16.355,22
2019-11-01,16.357,16.355,16.36,10:19 AM,16.345,10:19,22801.075,11,16.345,1394
2019-11-01,16.355,16.355,16.36,10:20 AM,16.355,10:20,1651.86,2,16.36,101
2019-11-01,16.35,16.345,16.355,10:21 AM,16.345,10:21,1782.115,4,16.35,109
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,16.361,16.365,16.365,10:23 AM,16.35,10:23,10012.75,7,16.35,612
2019-11-01,16.355,16.355,16.355,10:24 AM,16.355,10:24,376.165,10,16.355,23
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,16.365,16.365,16.365,10:26 AM,16.365,10:26,327.3,5,16.365,20
2019-11-01,16.352999999999998,16.34,16.355,10:27 AM,16.34,10:27,1978.745,7,16.355,121
2019-11-01,16.335,16.335,16.335,10:28 AM,16.335,10:28,277.695,7,16.335,17
2019-11-01,16.335,16.335,16.335,10:29 AM,16.335,10:29,65.34,2,16.335,4
2019-11-01,16.345,16.345,16.345,10:30 AM,16.345,10:30,277.865,7,16.345,17
2019-11-01,16.345,16.345,16.345,10:31 AM,16.345,10:31,294.21,7,16.345,18
2019-11-01,16.355,16.355,16.355,10:32 AM,16.345,10:32,13868.94,26,16.355,848
2019-11-01,16.364,16.365,16.365,10:33 AM,16.355,10:33,180.005,4,16.355,11
2019-11-01,16.375,16.375,16.375,10:34 AM,16.365,10:34,126610.96,33,16.365,7732
2019-11-01,16.375,16.375,16.375,10:35 AM,16.375,10:35,114.625,4,16.375,7
2019-11-01,16.375,16.375,16.375,10:36 AM,16.375,10:36,16.375,1,16.375,1
2019-11-01,16.379,16.37,16.38,10:37 AM,16.37,10:37,1867.2,6,16.375,114
2019-11-01,16.384,16.385,16.39,10:38 AM,16.375,10:38,25509.435,14,16.375,1557
2019-11-01,16.385,16.385,16.385,10:39 AM,16.38,10:39,1785.95,5,16.385,109
2019-11-01,16.385,16.385,16.385,10:40 AM,16.385,10:40,1769.58,5,16.385,108
2019-11-01,16.379,16.385,16.385,10:41 AM,16.375,10:41,409.485,6,16.375,25
2019-11-01,16.396,16.4,16.4,10:42 AM,16.395,10:42,377.1,10,16.395,23
2019-11-01,16.408,16.41,16.41,10:43 AM,16.395,10:43,5972.38,8,16.395,364
2019-11-01,16.401,16.395,16.405,10:44 AM,16.395,10:44,442.835,6,16.405,27
2019-11-01,16.392,16.395,16.395,10:45 AM,16.385,10:45,4081.725,7,16.395,249
2019-11-01,16.399,16.405,16.41,10:46 AM,16.385,10:46,9281.92,17,16.395,566
2019-11-01,16.405,16.405,16.405,10:47 AM,16.405,10:47,1722.525,6,16.405,105
2019-11-01,16.405,16.405,16.405,10:48 AM,16.405,10:48,114.835,5,16.405,7
2019-11-01,16.415,16.415,16.415,10:49 AM,16.415,10:49,1690.745,2,16.415,103
