date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,149.002,148.98,149.01,09:35 AM,148.98,09:35,19817.34,2.0,149.01,133.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,149.26,149.26,149.26,09:38 AM,149.26,09:38,14926.0,1.0,149.26,100.0
2019-11-01,,,,09:39 AM,,09:39,0.0,0.0,,0.0
2019-11-01,,,,09:40 AM,,09:40,0.0,0.0,,0.0
2019-11-01,149.379,149.38,149.38,09:41 AM,149.31,09:41,14937.93,2.0,149.31,100.0
2019-11-01,,,,09:42 AM,,09:42,0.0,0.0,,0.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,149.79,149.79,149.79,09:44 AM,149.79,09:44,14979.0,1.0,149.79,100.0
2019-11-01,149.695,149.695,149.695,09:45 AM,149.695,09:45,14969.5,1.0,149.695,100.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,149.68,149.68,149.68,09:50 AM,149.68,09:50,14968.0,1.0,149.68,100.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,149.605,149.605,149.605,09:52 AM,149.605,09:52,14960.5,1.0,149.605,100.0
2019-11-01,,,,09:53 AM,,09:53,0.0,0.0,,0.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,,,,09:57 AM,,09:57,0.0,0.0,,0.0
2019-11-01,,,,09:58 AM,,09:58,0.0,0.0,,0.0
2019-11-01,,,,09:59 AM,,09:59,0.0,0.0,,0.0
2019-11-01,149.18,149.18,149.18,10 AM,149.18,10:00,149.18,1.0,149.18,1.0
2019-11-01,,,,10:01 AM,,10:01,0.0,0.0,,0.0
2019-11-01,,,,10:02 AM,,10:02,0.0,0.0,,0.0
2019-11-01,149.609,149.61,149.61,10:03 AM,149.55,10:03,14960.94,2.0,149.55,100.0
2019-11-01,,,,10:04 AM,,10:04,0.0,0.0,,0.0
2019-11-01,,,,10:05 AM,,10:05,0.0,0.0,,0.0
2019-11-01,,,,10:06 AM,,10:06,0.0,0.0,,0.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,,,,10:08 AM,,10:08,0.0,0.0,,0.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,,,,10:10 AM,,10:10,0.0,0.0,,0.0
2019-11-01,,,,10:11 AM,,10:11,0.0,0.0,,0.0
2019-11-01,,,,10:12 AM,,10:12,0.0,0.0,,0.0
2019-11-01,,,,10:13 AM,,10:13,0.0,0.0,,0.0
2019-11-01,,,,10:14 AM,,10:14,0.0,0.0,,0.0
2019-11-01,,,,10:15 AM,,10:15,0.0,0.0,,0.0
2019-11-01,,,,10:16 AM,,10:16,0.0,0.0,,0.0
2019-11-01,149.145,149.145,149.145,10:17 AM,149.145,10:17,149.145,1.0,149.145,1.0
2019-11-01,,,,10:18 AM,,10:18,0.0,0.0,,0.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,,,,10:20 AM,,10:20,0.0,0.0,,0.0
2019-11-01,,,,10:21 AM,,10:21,0.0,0.0,,0.0
2019-11-01,,,,10:22 AM,,10:22,0.0,0.0,,0.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,,,,10:24 AM,,10:24,0.0,0.0,,0.0
2019-11-01,,,,10:25 AM,,10:25,0.0,0.0,,0.0
2019-11-01,,,,10:26 AM,,10:26,0.0,0.0,,0.0
2019-11-01,,,,10:27 AM,,10:27,0.0,0.0,,0.0
2019-11-01,,,,10:28 AM,,10:28,0.0,0.0,,0.0
2019-11-01,,,,10:29 AM,,10:29,0.0,0.0,,0.0
2019-11-01,,,,10:30 AM,,10:30,0.0,0.0,,0.0
2019-11-01,,,,10:31 AM,,10:31,0.0,0.0,,0.0
2019-11-01,,,,10:32 AM,,10:32,0.0,0.0,,0.0
2019-11-01,,,,10:33 AM,,10:33,0.0,0.0,,0.0
2019-11-01,148.773,148.73,148.795,10:34 AM,148.73,10:34,47458.51,3.0,148.795,319.0
2019-11-01,148.63,148.63,148.63,10:35 AM,148.63,10:35,59452.0,4.0,148.63,400.0
2019-11-01,,,,10:36 AM,,10:36,0.0,0.0,,0.0
2019-11-01,,,,10:37 AM,,10:37,0.0,0.0,,0.0
2019-11-01,,,,10:38 AM,,10:38,0.0,0.0,,0.0
2019-11-01,148.59,148.59,148.59,10:39 AM,148.59,10:39,19019.52,2.0,148.59,128.0
2019-11-01,148.67,148.67,148.67,10:40 AM,148.67,10:40,29734.0,2.0,148.67,200.0
2019-11-01,,,,10:41 AM,,10:41,0.0,0.0,,0.0
2019-11-01,148.519,148.48,148.55,10:42 AM,148.48,10:42,48862.92,4.0,148.55,329.0
