date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,239.65200000000002,238.7,239.775,09:31 AM,238.7,09:31,215687.0,3,239.77,900
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,240.18099999999998,240.185,240.185,09:35 AM,240.17,09:35,82141.77,3,240.17,342
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,240.18,240.18,240.18,09:39 AM,240.18,09:39,29301.96,1,240.18,122
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,240.22,240.22,240.22,09:41 AM,240.22,09:41,3843.52,2,240.22,16
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,240.351,240.35,240.355,09:43 AM,240.35,09:43,1922.81,2,240.355,8
2019-11-01,240.345,240.345,240.345,09:44 AM,240.345,09:44,3364.83,3,240.345,14
2019-11-01,239.74900000000002,239.58,239.88,09:45 AM,239.58,09:45,3835.98,2,239.88,16
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,239.585,239.585,239.585,09:48 AM,239.585,09:48,47917.0,1,239.585,200
2019-11-01,239.644,239.52,239.72,09:49 AM,239.52,09:49,38582.72,2,239.72,161
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,239.93,239.93,239.93,09:52 AM,239.93,09:52,239.93,1,239.93,1
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,240.725,240.725,240.725,09:54 AM,240.725,09:54,37553.1,1,240.725,156
2019-11-01,241.09,241.09,241.09,09:55 AM,241.09,09:55,24109.0,1,241.09,100
2019-11-01,240.907,240.915,240.915,09:56 AM,240.9,09:56,48181.5,2,240.9,200
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,241.84,241.84,241.84,10 AM,241.84,10:00,24184.0,1,241.84,100
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,242.2,242.2,242.2,10:03 AM,242.2,10:03,24220.0,1,242.2,100
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
