date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,85.09200000000001,85.08,85.12,09:30 AM,84.845,09:30,34802.605,5,84.845,409
2019-11-01,84.87799999999999,84.85,84.97,09:31 AM,84.75,09:31,42523.795,5,84.795,501
2019-11-01,84.90299999999998,84.85,84.99,09:32 AM,84.8,09:32,130071.76,11,84.93,1532
2019-11-01,84.6,84.6,84.6,09:33 AM,84.6,09:33,8460.0,1,84.6,100
2019-11-01,84.61200000000002,84.74,84.74,09:34 AM,84.5,09:34,119472.235,11,84.5,1412
2019-11-01,84.816,84.79,84.84,09:35 AM,84.785,09:35,459026.24,15,84.795,5412
2019-11-01,84.72399999999998,84.685,84.76,09:36 AM,84.685,09:36,117766.525,6,84.72,1390
2019-11-01,84.46700000000001,84.45,84.58,09:37 AM,84.42,09:37,77624.95,10,84.58,919
2019-11-01,84.15100000000002,84.135,84.28,09:38 AM,84.065,09:38,245551.84,27,84.28,2918
2019-11-01,84.04,83.93,84.11,09:39 AM,83.925,09:39,237832.65,20,84.11,2830
2019-11-01,83.76799999999999,83.775,83.8,09:40 AM,83.7,09:40,92312.09,11,83.795,1102
2019-11-01,83.715,83.715,83.765,09:41 AM,83.63,09:41,42108.735,5,83.765,503
2019-11-01,83.705,83.73,83.735,09:42 AM,83.63,09:42,170506.945,19,83.73,2037
2019-11-01,83.743,83.775,83.785,09:43 AM,83.7,09:43,494083.25,36,83.71,5900
2019-11-01,83.76899999999998,83.75,83.845,09:44 AM,83.67,09:44,315892.23,28,83.77,3771
2019-11-01,83.59200000000001,83.6,83.74,09:45 AM,83.52,09:45,491939.7,22,83.74,5885
2019-11-01,83.603,83.54,83.645,09:46 AM,83.54,09:46,133848.58,15,83.645,1601
2019-11-01,83.564,83.52,83.605,09:47 AM,83.52,09:47,41865.555,6,83.555,501
2019-11-01,83.529,83.555,83.58,09:48 AM,83.49,09:48,133730.01,18,83.54,1601
2019-11-01,83.654,83.635,83.67,09:49 AM,83.635,09:49,81729.8,12,83.64,977
2019-11-01,83.684,83.665,83.75,09:50 AM,83.585,09:50,150630.5,17,83.63,1800
2019-11-01,83.62700000000002,83.6,83.66,09:51 AM,83.6,09:51,80449.295,10,83.635,962
2019-11-01,83.62700000000002,83.62,83.66,09:52 AM,83.605,09:52,29771.26,5,83.605,356
2019-11-01,83.698,83.695,83.7,09:53 AM,83.695,09:53,16906.9,3,83.7,202
2019-11-01,83.74,83.73,83.75,09:54 AM,83.73,09:54,33747.19,5,83.75,403
2019-11-01,83.905,83.875,83.95,09:55 AM,83.85,09:55,100686.5,9,83.85,1200
2019-11-01,83.765,83.76,83.77,09:56 AM,83.76,09:56,16753.0,2,83.77,200
2019-11-01,83.726,83.71,83.73,09:57 AM,83.705,09:57,205714.61,6,83.73,2457
2019-11-01,83.729,83.77,83.77,09:58 AM,83.725,09:58,184957.585,7,83.73,2209
2019-11-01,83.76299999999998,83.825,83.825,09:59 AM,83.74,09:59,50258.0,7,83.75,600
2019-11-01,83.85600000000002,83.92,83.92,10 AM,83.785,10:00,76476.54,6,83.825,912
2019-11-01,83.96,83.89,83.99,10:01 AM,83.89,10:01,163553.775,17,83.915,1948
2019-11-01,83.86399999999998,83.87,83.87,10:02 AM,83.86,10:02,41932.0,4,83.86,500
2019-11-01,83.859,83.875,83.875,10:03 AM,83.83,10:03,62642.48,8,83.87,747
2019-11-01,83.848,83.835,83.88,10:04 AM,83.835,10:04,11906.46,2,83.88,142
2019-11-01,83.772,83.775,83.775,10:05 AM,83.75,10:05,191921.025,5,83.75,2291
2019-11-01,83.73,83.72,83.76,10:06 AM,83.715,10:06,25202.72,5,83.76,301
2019-11-01,83.661,83.59,83.72,10:07 AM,83.59,10:07,68350.83,11,83.72,817
2019-11-01,83.515,83.385,83.57,10:08 AM,83.385,10:08,284117.335,37,83.57,3402
2019-11-01,83.40100000000002,83.45,83.45,10:09 AM,83.375,10:09,109838.715,12,83.395,1317
2019-11-01,83.36,83.34,83.415,10:10 AM,83.33,10:10,85277.43,10,83.415,1023
2019-11-01,83.221,83.19,83.295,10:11 AM,83.19,10:11,28461.75,7,83.295,342
2019-11-01,83.15299999999998,83.165,83.18,10:12 AM,83.1,10:12,109596.32,11,83.18,1318
2019-11-01,83.113,83.08,83.19,10:13 AM,83.06,10:13,18949.685,8,83.19,228
2019-11-01,83.18700000000003,83.22,83.22,10:14 AM,83.1,10:14,33191.75,8,83.1,399
2019-11-01,83.18799999999997,83.15,83.23,10:15 AM,83.145,10:15,122951.58,15,83.2,1478
2019-11-01,83.24700000000001,83.25,83.315,10:16 AM,83.19,10:16,160167.005,16,83.19,1924
2019-11-01,83.241,83.25,83.255,10:17 AM,83.225,10:17,105216.515,17,83.25,1264
2019-11-01,83.318,83.36,83.36,10:18 AM,83.28,10:18,183300.0,8,83.31,2200
2019-11-01,83.287,83.335,83.335,10:19 AM,83.275,10:19,510799.085,15,83.32,6133
2019-11-01,83.383,83.365,83.415,10:20 AM,83.345,10:20,92222.1,13,83.38,1106
2019-11-01,83.405,83.395,83.44,10:21 AM,83.37,10:21,128276.575,17,83.44,1538
2019-11-01,83.35700000000001,83.35,83.415,10:22 AM,83.29,10:22,533904.78,27,83.415,6405
2019-11-01,83.351,83.37,83.385,10:23 AM,83.33,10:23,169119.65,17,83.345,2029
2019-11-01,83.361,83.47,83.47,10:24 AM,83.325,10:24,395713.815,29,83.34,4747
2019-11-01,83.454,83.39,83.465,10:25 AM,83.39,10:25,815014.435,20,83.445,9766
2019-11-01,83.369,83.43,83.43,10:26 AM,83.365,10:26,266530.115,12,83.38,3197
2019-11-01,83.376,83.37,83.405,10:27 AM,83.36,10:27,106387.22,14,83.38,1276
2019-11-01,83.37100000000002,83.36,83.385,10:28 AM,83.36,10:28,58360.0,8,83.37,700
2019-11-01,83.34700000000002,83.35,83.35,10:29 AM,83.34,10:29,33339.0,4,83.35,400
2019-11-01,83.301,83.3,83.305,10:30 AM,83.3,10:30,58310.5,3,83.305,700
2019-11-01,83.291,83.29,83.3,10:31 AM,83.29,10:31,99949.0,6,83.29,1200
2019-11-01,83.376,83.36,83.4,10:32 AM,83.35,10:32,172005.8,15,83.35,2063
2019-11-01,83.319,83.28,83.34,10:33 AM,83.28,10:33,65155.46,9,83.34,782
2019-11-01,83.23299999999998,83.21,83.26,10:34 AM,83.21,10:34,33376.245,5,83.25,401
2019-11-01,83.18799999999997,83.17,83.22,10:35 AM,83.17,10:35,134847.105,22,83.195,1621
2019-11-01,83.109,83.075,83.14,10:36 AM,83.065,10:36,184833.64,18,83.135,2224
2019-11-01,83.065,83.07,83.07,10:37 AM,83.055,10:37,180500.05,15,83.07,2173
2019-11-01,83.06700000000002,83.03,83.1,10:38 AM,83.03,10:38,44191.43,8,83.1,532
2019-11-01,83.0,83.0,83.0,10:39 AM,83.0,10:39,24817.0,14,83.0,299
2019-11-01,83.215,83.245,83.245,10:40 AM,83.2,10:40,27793.97,3,83.205,334
2019-11-01,83.225,83.22,83.23,10:41 AM,83.22,10:41,16645.0,2,83.23,200
