date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,577.83,577.82,577.84,09:31 AM,577.82,09:31,1155.66,2.0,577.84,2.0
2019-11-01,576.901,576.91,576.91,09:32 AM,576.42,09:32,64612.94,2.0,576.42,112.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,576.965,576.965,576.965,09:34 AM,576.965,09:34,115393.0,2.0,576.965,200.0
2019-11-01,576.924,576.43,577.12,09:35 AM,576.43,09:35,431539.335,4.0,577.115,748.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,575.335,575.335,575.335,09:37 AM,575.335,09:37,1150.67,1.0,575.335,2.0
2019-11-01,575.67,575.5,575.75,09:38 AM,575.41,09:38,348280.64,7.0,575.705,605.0
2019-11-01,575.5830000000002,575.58,575.59,09:39 AM,575.52,09:39,176128.45,6.0,575.52,306.0
2019-11-01,575.317,575.235,575.48,09:40 AM,575.235,09:40,1725.95,2.0,575.48,3.0
2019-11-01,575.01,575.01,575.01,09:41 AM,575.01,09:41,575.01,1.0,575.01,1.0
2019-11-01,575.51,575.51,575.51,09:42 AM,575.51,09:42,115102.0,1.0,575.51,200.0
2019-11-01,575.668,575.7,575.7,09:43 AM,575.635,09:43,116860.535,4.0,575.635,203.0
2019-11-01,575.7130000000002,575.74,575.74,09:44 AM,575.7,09:44,1727.14,2.0,575.7,3.0
2019-11-01,575.76,575.76,575.76,09:45 AM,575.725,09:45,117454.94,4.0,575.73,204.0
2019-11-01,575.525,575.525,575.535,09:46 AM,575.525,09:46,58128.035,2.0,575.535,101.0
2019-11-01,575.472,575.495,575.495,09:47 AM,575.45,09:47,1150.945,2.0,575.45,2.0
2019-11-01,575.7669999999998,575.77,575.77,09:48 AM,575.765,09:48,115729.265,3.0,575.765,201.0
2019-11-01,575.79,575.79,575.79,09:49 AM,575.78,09:49,346049.78,4.0,575.78,601.0
2019-11-01,575.365,575.335,575.465,09:50 AM,575.33,09:50,2301.46,3.0,575.465,4.0
2019-11-01,575.73,575.73,575.73,09:51 AM,575.73,09:51,575.73,1.0,575.73,1.0
2019-11-01,576.008,576.0,576.1,09:52 AM,575.82,09:52,318532.47,5.0,575.82,553.0
2019-11-01,576.018,576.01,576.085,09:53 AM,575.98,09:53,71426.17,5.0,576.085,124.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,575.67,575.67,575.67,09:55 AM,575.67,09:55,1151.34,1.0,575.67,2.0
2019-11-01,575.582,575.595,575.595,09:56 AM,575.575,09:56,1726.745,2.0,575.575,3.0
2019-11-01,575.565,575.565,575.565,09:57 AM,575.565,09:57,1151.13,2.0,575.565,2.0
