date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,62.903,62.93,62.93,09:30 AM,62.89,09:30,115741.0,6,62.89,1840
2019-11-01,62.922,63.02,63.02,09:31 AM,62.91,09:31,42220.42,2,62.91,671
2019-11-01,63.071999999999996,63.07,63.075,09:32 AM,63.07,09:32,12614.5,2,63.075,200
2019-11-01,63.038000000000004,63.025,63.065,09:33 AM,63.025,09:33,18911.5,3,63.065,300
2019-11-01,62.935,62.94,62.94,09:34 AM,62.93,09:34,12587.0,2,62.93,200
2019-11-01,62.9,62.9,62.9,09:35 AM,62.9,09:35,6290.0,1,62.9,100
2019-11-01,62.879,62.88,62.92,09:36 AM,62.875,09:36,31502.475,7,62.875,501
2019-11-01,62.88,62.88,62.88,09:37 AM,62.88,09:37,6288.0,1,62.88,100
2019-11-01,62.842,62.82,62.865,09:38 AM,62.82,09:38,13196.75,3,62.865,210
2019-11-01,62.83,62.805,62.83,09:39 AM,62.805,09:39,51080.465,2,62.83,813
2019-11-01,62.896,62.905,62.91,09:40 AM,62.85,09:40,31448.0,4,62.85,500
2019-11-01,62.895,62.895,62.895,09:41 AM,62.895,09:41,6289.5,1,62.895,100
2019-11-01,62.868,62.88,62.88,09:42 AM,62.845,09:42,238898.5,11,62.875,3800
2019-11-01,62.91,62.91,62.91,09:43 AM,62.91,09:43,6291.0,1,62.91,100
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,62.95,62.95,62.95,09:45 AM,62.95,09:45,6295.0,1,62.95,100
2019-11-01,62.95,62.95,62.95,09:46 AM,62.95,09:46,2769.8,1,62.95,44
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,62.86,62.85,62.87,09:49 AM,62.85,09:49,12572.0,2,62.87,200
2019-11-01,62.825,62.835,62.835,09:50 AM,62.8,09:50,37946.28,7,62.82,604
2019-11-01,62.791000000000004,62.79,62.815,09:51 AM,62.775,09:51,126461.35,5,62.815,2014
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,62.743,62.745,62.745,09:54 AM,62.74,09:54,19136.725,4,62.745,305
2019-11-01,62.735,62.75,62.75,09:55 AM,62.725,09:55,10790.5,2,62.725,172
2019-11-01,62.71,62.71,62.71,09:56 AM,62.71,09:56,6271.0,1,62.71,100
2019-11-01,62.692,62.69,62.695,09:57 AM,62.69,09:57,33226.85,7,62.695,530
2019-11-01,62.7,62.7,62.7,09:58 AM,62.7,09:58,6270.0,1,62.7,100
2019-11-01,62.725,62.725,62.725,09:59 AM,62.725,09:59,6272.5,1,62.725,100
2019-11-01,62.711999999999996,62.71,62.755,10 AM,62.705,10:00,271230.25,14,62.705,4325
2019-11-01,62.7,62.675,62.715,10:01 AM,62.675,10:01,76682.05,8,62.715,1223
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,,,,10:03 AM,,10:03,0.0,0,,0
2019-11-01,62.66,62.645,62.665,10:04 AM,62.645,10:04,81458.5,6,62.655,1300
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,62.617,62.615,62.62,10:06 AM,62.615,10:06,12523.5,2,62.62,200
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,62.685,62.685,62.685,10:09 AM,62.685,10:09,6268.5,1,62.685,100
2019-11-01,62.675,62.675,62.675,10:10 AM,62.675,10:10,12535.0,2,62.675,200
2019-11-01,62.685,62.685,62.685,10:11 AM,62.685,10:11,12537.0,1,62.685,200
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,62.608000000000004,62.585,62.625,10:13 AM,62.585,10:13,50086.5,7,62.61,800
2019-11-01,62.565,62.565,62.565,10:14 AM,62.565,10:14,6256.5,1,62.565,100
2019-11-01,62.54,62.555,62.555,10:15 AM,62.54,10:15,12883.33,2,62.54,206
2019-11-01,62.535,62.535,62.535,10:16 AM,62.535,10:16,6253.5,1,62.535,100
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,62.542,62.54,62.545,10:18 AM,62.54,10:18,18762.5,2,62.545,300
2019-11-01,62.523,62.495,62.535,10:19 AM,62.495,10:19,31261.5,5,62.52,500
2019-11-01,62.461999999999996,62.455,62.47,10:20 AM,62.455,10:20,18738.5,3,62.47,300
2019-11-01,62.465,62.465,62.465,10:21 AM,62.465,10:21,6246.5,1,62.465,100
2019-11-01,62.435,62.435,62.435,10:22 AM,62.435,10:22,6243.5,1,62.435,100
2019-11-01,62.44,62.44,62.44,10:23 AM,62.44,10:23,124.88,1,62.44,2
2019-11-01,62.495,62.495,62.495,10:24 AM,62.445,10:24,1336950.535,6,62.445,21393
2019-11-01,62.508,62.505,62.525,10:25 AM,62.505,10:25,51319.025,6,62.505,821
2019-11-01,62.545,62.545,62.545,10:26 AM,62.545,10:26,31272.5,5,62.545,500
2019-11-01,62.541000000000004,62.525,62.555,10:27 AM,62.52,10:27,312706.54,19,62.555,5000
2019-11-01,62.518,62.515,62.525,10:28 AM,62.505,10:28,200494.105,20,62.515,3207
2019-11-01,62.508,62.495,62.52,10:29 AM,62.495,10:29,81261.0,10,62.52,1300
2019-11-01,62.501999999999995,62.505,62.505,10:30 AM,62.5,10:30,20750.5,2,62.5,332
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,62.505,62.505,62.505,10:32 AM,62.505,10:32,18688.995,2,62.505,299
2019-11-01,62.501999999999995,62.475,62.505,10:33 AM,62.475,10:33,62939.395,3,62.505,1007
2019-11-01,62.455,62.44,62.47,10:34 AM,62.44,10:34,12553.455,3,62.47,201
2019-11-01,62.424,62.415,62.43,10:35 AM,62.415,10:35,7366.065,5,62.425,118
2019-11-01,62.405,62.4,62.41,10:36 AM,62.4,10:36,13229.92,2,62.41,212
