date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,151.745,151.745,151.745,09:31 AM,151.745,09:31,15174.5,1,151.745,100
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,151.87,151.87,151.87,09:33 AM,151.87,09:33,7137.89,2,151.87,47
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,151.938,151.91,151.965,09:37 AM,151.91,09:37,30387.5,2,151.965,200
2019-11-01,151.915,151.895,151.935,09:38 AM,151.895,09:38,30383.0,2,151.935,200
2019-11-01,152.036,152.095,152.095,09:39 AM,152.025,09:39,261197.45,17,152.025,1718
2019-11-01,152.076,152.03,152.2,09:40 AM,152.0,09:40,76037.93,6,152.2,500
2019-11-01,151.95,151.95,151.95,09:41 AM,151.95,09:41,15195.0,1,151.95,100
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,152.105,152.105,152.105,09:44 AM,152.105,09:44,15210.5,1,152.105,100
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,152.023,151.975,152.07,09:47 AM,151.975,09:47,30404.5,2,152.07,200
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,151.738,151.72,151.75,09:50 AM,151.72,09:50,15173.77,3,151.75,100
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,151.916,151.91,151.965,09:58 AM,151.91,09:58,30838.895,3,151.965,203
2019-11-01,151.945,151.945,151.945,09:59 AM,151.945,09:59,15194.5,1,151.945,100
2019-11-01,151.97,151.97,151.97,10 AM,151.97,10:00,15197.0,1,151.97,100
2019-11-01,151.955,151.955,151.955,10:01 AM,151.955,10:01,45586.5,2,151.955,300
2019-11-01,152.145,152.145,152.145,10:02 AM,152.145,10:02,15214.5,1,152.145,100
2019-11-01,,,,10:03 AM,,10:03,0.0,0,,0
2019-11-01,151.982,151.98,152.0,10:04 AM,151.97,10:04,32676.06,3,151.97,215
2019-11-01,151.972,151.975,151.975,10:05 AM,151.97,10:05,8358.485,2,151.97,55
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,151.975,151.975,151.975,10:07 AM,151.975,10:07,30395.0,2,151.975,200
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,152.114,152.17,152.17,10:09 AM,152.095,10:09,60845.5,2,152.095,400
2019-11-01,152.21,152.21,152.21,10:10 AM,152.21,10:10,45663.0,2,152.21,300
2019-11-01,152.215,152.215,152.215,10:11 AM,152.215,10:11,15830.36,2,152.215,104
2019-11-01,152.365,152.365,152.365,10:12 AM,152.365,10:12,15236.5,1,152.365,100
2019-11-01,152.615,152.615,152.615,10:13 AM,152.615,10:13,15261.5,1,152.615,100
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,152.46,152.46,152.475,10:19 AM,152.46,10:19,15703.425,4,152.475,103
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,152.34799999999996,152.38,152.46,10:24 AM,152.335,10:24,198052.5,5,152.46,1300
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,152.5,152.5,152.5,10:28 AM,152.5,10:28,15250.0,1,152.5,100
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,152.665,152.665,152.665,10:31 AM,152.665,10:31,15266.5,1,152.665,100
2019-11-01,152.674,152.67,152.72,10:32 AM,152.64,10:32,46260.16,4,152.71,303
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,,,,10:34 AM,,10:34,0.0,0,,0
2019-11-01,152.69,152.69,152.69,10:35 AM,152.69,10:35,30538.0,2,152.69,200
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,,,,10:37 AM,,10:37,0.0,0,,0
2019-11-01,,,,10:38 AM,,10:38,0.0,0,,0
2019-11-01,,,,10:39 AM,,10:39,0.0,0,,0
2019-11-01,,,,10:40 AM,,10:40,0.0,0,,0
2019-11-01,,,,10:41 AM,,10:41,0.0,0,,0
2019-11-01,,,,10:42 AM,,10:42,0.0,0,,0
2019-11-01,152.583,152.6,152.6,10:43 AM,152.55,10:43,44096.4,2,152.55,289
2019-11-01,,,,10:44 AM,,10:44,0.0,0,,0
2019-11-01,,,,10:45 AM,,10:45,0.0,0,,0
