date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,67.053,67.19,67.19,09:30 AM,66.92,09:30,13209.43,2.0,66.92,197.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,67.14699999999999,67.12,67.16,09:32 AM,67.12,09:32,20144.0,3.0,67.16,300.0
2019-11-01,67.139,67.08,67.16,09:33 AM,67.08,09:33,51764.62,7.0,67.16,771.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,,,,09:35 AM,,09:35,0.0,0.0,,0.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,67.145,67.145,67.145,09:39 AM,67.145,09:39,6714.5,1.0,67.145,100.0
2019-11-01,67.133,67.13,67.14,09:40 AM,67.13,09:40,27658.64,6.0,67.135,412.0
2019-11-01,67.07,67.035,67.13,09:41 AM,67.0,09:41,86989.81,12.0,67.125,1297.0
2019-11-01,66.98899999999999,66.95,67.03,09:42 AM,66.95,09:42,20833.45,5.0,67.03,311.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,66.93,66.95,66.95,09:45 AM,66.915,09:45,53544.0,10.0,66.915,800.0
2019-11-01,66.965,67.03,67.03,09:46 AM,66.94,09:46,53572.0,7.0,66.94,800.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,67.092,67.11,67.11,09:48 AM,67.07,09:48,27641.84,5.0,67.095,412.0
2019-11-01,67.075,67.075,67.075,09:49 AM,67.075,09:49,13415.0,2.0,67.075,200.0
2019-11-01,67.09,67.07,67.1,09:50 AM,67.07,09:50,40254.0,7.0,67.1,600.0
2019-11-01,67.097,67.1,67.1,09:51 AM,67.055,09:51,94606.5,4.0,67.055,1410.0
2019-11-01,,,,09:52 AM,,09:52,0.0,0.0,,0.0
2019-11-01,67.039,67.04,67.04,09:53 AM,67.02,09:53,7173.14,2.0,67.02,107.0
2019-11-01,67.02,67.02,67.02,09:54 AM,67.02,09:54,4959.48,2.0,67.02,74.0
2019-11-01,67.125,67.125,67.125,09:55 AM,67.125,09:55,13425.0,1.0,67.125,200.0
2019-11-01,67.138,67.13,67.14,09:56 AM,67.13,09:56,33569.0,2.0,67.14,500.0
