date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,218.255,218.255,218.255,09:32 AM,218.255,09:32,21825.5,1,218.255,100
2019-11-01,217.85,217.85,217.85,09:33 AM,217.85,09:33,21785.0,1,217.85,100
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,217.792,217.715,217.87,09:35 AM,217.715,09:35,435.585,2,217.87,2
2019-11-01,218.053,218.13,218.13,09:36 AM,217.95,09:36,1526.37,2,217.95,7
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,218.016,218.04,218.04,09:38 AM,217.98,09:38,1090.08,2,217.98,5
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,218.162,218.245,218.245,09:40 AM,218.135,09:40,872.65,2,218.135,4
2019-11-01,218.355,218.355,218.355,09:41 AM,218.355,09:41,218.355,1,218.355,1
2019-11-01,218.051,218.155,218.155,09:42 AM,218.05,09:42,22023.155,2,218.05,101
2019-11-01,218.113,218.375,218.375,09:43 AM,217.98,09:43,87899.455,4,218.155,403
2019-11-01,218.453,218.66,218.66,09:44 AM,218.45,09:44,46530.48,4,218.45,213
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,218.54,218.49,218.59,09:46 AM,218.49,09:46,1092.7,3,218.59,5
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,218.563,218.595,218.595,09:48 AM,218.52,09:48,24041.875,4,218.52,110
2019-11-01,218.55,218.55,218.55,09:49 AM,218.55,09:49,874.2,1,218.55,4
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,218.92,218.92,218.92,09:53 AM,218.92,09:53,3064.88,1,218.92,14
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,218.614,218.6,218.62,09:55 AM,218.6,09:55,23828.98,4,218.62,109
2019-11-01,218.40599999999998,218.39,218.505,09:56 AM,218.39,09:56,1528.845,2,218.505,7
2019-11-01,218.255,218.255,218.255,09:57 AM,218.255,09:57,3492.08,1,218.255,16
2019-11-01,217.935,217.935,217.935,09:58 AM,217.935,09:58,653.805,2,217.935,3
2019-11-01,218.072,218.08,218.085,09:59 AM,218.065,09:59,67384.24,5,218.065,309
2019-11-01,218.08,218.08,218.09,10 AM,218.06,10:00,2616.96,3,218.06,12
2019-11-01,218.25599999999997,218.26,218.27,10:01 AM,218.235,10:01,4583.385,5,218.245,21
2019-11-01,218.28,218.28,218.28,10:02 AM,218.28,10:02,23574.24,5,218.28,108
2019-11-01,218.54,218.54,218.54,10:03 AM,218.54,10:03,218.54,1,218.54,1
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,218.69,218.69,218.69,10:05 AM,218.69,10:05,21869.0,1,218.69,100
2019-11-01,218.80700000000002,218.81,218.81,10:06 AM,218.64,10:06,44636.56,2,218.64,204
2019-11-01,218.805,218.805,218.805,10:07 AM,218.805,10:07,43761.0,1,218.805,200
2019-11-01,218.762,218.725,218.8,10:08 AM,218.725,10:08,437.525,2,218.8,2
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,218.6,218.52,218.68,10:11 AM,218.52,10:11,43720.0,2,218.68,200
2019-11-01,218.321,218.26,218.38,10:12 AM,218.26,10:12,45192.52,6,218.38,207
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,218.41,218.34,218.45,10:15 AM,218.34,10:15,87800.68,4,218.45,402
2019-11-01,218.43,218.43,218.43,10:16 AM,218.43,10:16,873.72,2,218.43,4
2019-11-01,218.421,218.37,218.45,10:17 AM,218.37,10:17,37786.83,4,218.45,173
2019-11-01,218.24,218.24,218.24,10:18 AM,218.24,10:18,21824.0,1,218.24,100
2019-11-01,218.14,218.19,218.19,10:19 AM,218.12,10:19,61297.39,3,218.12,281
2019-11-01,218.165,218.165,218.165,10:20 AM,218.165,10:20,21816.5,1,218.165,100
2019-11-01,218.13,218.13,218.13,10:21 AM,218.13,10:21,218.13,1,218.13,1
2019-11-01,218.13,218.13,218.13,10:22 AM,218.13,10:22,21813.0,1,218.13,100
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,218.18,218.175,218.26,10:25 AM,218.175,10:25,23127.06,2,218.26,106
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,218.007,218.07,218.07,10:27 AM,217.9,10:27,65620.01,4,217.9,301
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
