date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,38.97,38.99,39.01,09:30 AM,38.95,09:30,23654.96,10,38.97,607
2019-11-01,38.97,38.97,38.97,09:31 AM,38.97,09:31,233.82,2,38.97,6
2019-11-01,38.976,38.945,39.005,09:32 AM,38.94,09:32,465329.7,33,38.97,11939
2019-11-01,38.921,38.915,38.95,09:33 AM,38.88,09:33,736387.685,40,38.95,18920
2019-11-01,38.918,38.89,38.93,09:34 AM,38.885,09:34,392486.755,33,38.925,10085
2019-11-01,38.834,38.83,38.89,09:35 AM,38.785,09:35,220848.15,49,38.89,5687
2019-11-01,38.86,38.835,38.9,09:36 AM,38.835,09:36,203896.82,25,38.84,5247
2019-11-01,38.843,38.805,38.88,09:37 AM,38.805,09:37,317305.535,27,38.845,8169
2019-11-01,38.836999999999996,38.87,38.87,09:38 AM,38.81,09:38,209836.52,29,38.825,5403
2019-11-01,38.871,38.875,38.885,09:39 AM,38.855,09:39,143822.0,20,38.86,3700
2019-11-01,38.945,38.97,38.97,09:40 AM,38.855,09:40,1080606.06,68,38.86,27747
2019-11-01,38.94,38.91,38.97,09:41 AM,38.9,09:41,327249.34,72,38.97,8404
2019-11-01,38.906,38.895,38.93,09:42 AM,38.885,09:42,264560.5,44,38.885,6800
2019-11-01,38.909,38.9,38.93,09:43 AM,38.89,09:43,74899.71,11,38.905,1925
2019-11-01,38.898,38.895,38.905,09:44 AM,38.895,09:44,133421.5,22,38.905,3430
2019-11-01,38.895,38.885,38.905,09:45 AM,38.885,09:45,348890.15,35,38.895,8970
2019-11-01,38.9,38.9,38.905,09:46 AM,38.895,09:46,476093.6,24,38.895,12239
2019-11-01,38.903,38.9,38.905,09:47 AM,38.895,09:47,131102.205,14,38.905,3370
2019-11-01,38.891,38.88,38.9,09:48 AM,38.88,09:48,244394.05,35,38.895,6284
2019-11-01,38.869,38.875,38.875,09:49 AM,38.865,09:49,123682.16,25,38.875,3182
2019-11-01,38.864000000000004,38.855,38.875,09:50 AM,38.855,09:50,181303.05,17,38.875,4665
2019-11-01,38.841,38.835,38.85,09:51 AM,38.83,09:51,463455.63,30,38.84,11932
2019-11-01,38.828,38.82,38.835,09:52 AM,38.82,09:52,178609.5,15,38.825,4600
2019-11-01,38.827,38.835,38.835,09:53 AM,38.825,09:53,241078.97,18,38.825,6209
2019-11-01,38.813,38.845,38.845,09:54 AM,38.805,09:54,216071.515,24,38.82,5567
2019-11-01,38.842,38.85,38.855,09:55 AM,38.835,09:55,332254.215,42,38.845,8554
2019-11-01,38.836999999999996,38.83,38.85,09:56 AM,38.83,09:56,734677.95,53,38.845,18917
2019-11-01,38.802,38.8,38.82,09:57 AM,38.785,09:57,264204.52,30,38.82,6809
2019-11-01,38.785,38.79,38.8,09:58 AM,38.775,09:58,111972.6,18,38.8,2887
2019-11-01,38.802,38.82,38.82,09:59 AM,38.79,09:59,34960.32,9,38.79,901
2019-11-01,38.824,38.825,38.85,10 AM,38.805,10:00,203360.585,36,38.81,5238
2019-11-01,38.839,38.805,38.85,10:01 AM,38.805,10:01,396505.835,15,38.825,10209
2019-11-01,38.813,38.805,38.835,10:02 AM,38.795,10:02,177879.9,21,38.805,4583
2019-11-01,38.817,38.805,38.83,10:03 AM,38.8,10:03,278161.105,43,38.8,7166
2019-11-01,38.8,38.795,38.805,10:04 AM,38.785,10:04,255420.485,21,38.805,6583
2019-11-01,38.791,38.78,38.8,10:05 AM,38.78,10:05,89878.515,14,38.795,2317
2019-11-01,38.78,38.79,38.79,10:06 AM,38.775,10:06,138755.91,25,38.78,3578
2019-11-01,38.785,38.785,38.79,10:07 AM,38.785,10:07,35876.135,6,38.79,925
2019-11-01,38.781,38.79,38.79,10:08 AM,38.775,10:08,78259.655,10,38.78,2018
2019-11-01,38.801,38.8,38.805,10:09 AM,38.79,10:09,226907.63,23,38.79,5848
2019-11-01,38.793,38.785,38.8,10:10 AM,38.785,10:10,37008.78,8,38.8,954
2019-11-01,38.773,38.755,38.78,10:11 AM,38.745,10:11,76306.0,11,38.78,1968
2019-11-01,38.765,38.775,38.775,10:12 AM,38.75,10:12,102998.01,19,38.75,2657
2019-11-01,38.785,38.785,38.795,10:13 AM,38.775,10:13,37350.455,9,38.775,963
2019-11-01,38.783,38.79,38.79,10:14 AM,38.78,10:14,43320.93,10,38.785,1117
2019-11-01,38.797,38.795,38.8,10:15 AM,38.79,10:15,90473.985,22,38.79,2332
2019-11-01,38.793,38.795,38.795,10:16 AM,38.79,10:16,31034.5,8,38.79,800
2019-11-01,38.778,38.795,38.795,10:17 AM,38.765,10:17,135721.465,31,38.79,3500
2019-11-01,38.792,38.8,38.8,10:18 AM,38.79,10:18,38869.6,5,38.79,1002
2019-11-01,38.783,38.775,38.795,10:19 AM,38.775,10:19,59067.055,7,38.795,1523
2019-11-01,38.775,38.77,38.78,10:20 AM,38.77,10:20,19387.5,6,38.78,500
2019-11-01,38.77,38.765,38.775,10:21 AM,38.765,10:21,68466.99,11,38.775,1766
2019-11-01,38.77,38.77,38.77,10:22 AM,38.77,10:22,15508.0,2,38.77,400
2019-11-01,38.766999999999996,38.77,38.77,10:23 AM,38.765,10:23,34890.5,8,38.77,900
2019-11-01,38.779,38.78,38.78,10:24 AM,38.775,10:24,19040.48,6,38.775,491
