date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,90.095,90.095,90.095,09:30 AM,90.095,09:30,9009.5,1.0,90.095,100.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,,,,09:35 AM,,09:35,0.0,0.0,,0.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,90.44,90.44,90.44,09:37 AM,90.44,09:37,723.52,1.0,90.44,8.0
2019-11-01,90.3,90.33,90.33,09:38 AM,90.3,09:38,9210.66,2.0,90.3,102.0
2019-11-01,,,,09:39 AM,,09:39,0.0,0.0,,0.0
2019-11-01,,,,09:40 AM,,09:40,0.0,0.0,,0.0
2019-11-01,90.175,90.17,90.185,09:41 AM,90.17,09:41,54105.0,2.0,90.185,600.0
2019-11-01,90.2,90.2,90.2,09:42 AM,90.2,09:42,18040.0,1.0,90.2,200.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,90.35,90.35,90.35,09:47 AM,90.35,09:47,2168.4,3.0,90.35,24.0
2019-11-01,90.348,90.285,90.35,09:48 AM,90.285,09:48,9305.855,2.0,90.35,103.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,90.135,90.135,90.135,09:52 AM,90.135,09:52,9013.5,1.0,90.135,100.0
2019-11-01,90.135,90.135,90.135,09:53 AM,90.135,09:53,9013.5,1.0,90.135,100.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,90.175,90.175,90.175,09:55 AM,90.175,09:55,3426.65,1.0,90.175,38.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,90.03,90.03,90.03,09:57 AM,90.03,09:57,13504.5,2.0,90.03,150.0
2019-11-01,,,,09:58 AM,,09:58,0.0,0.0,,0.0
2019-11-01,90.02,90.02,90.02,09:59 AM,90.02,09:59,27006.0,2.0,90.02,300.0
2019-11-01,90.01,90.01,90.01,10 AM,90.01,10:00,9001.0,1.0,90.01,100.0
2019-11-01,90.007,90.0,90.02,10:01 AM,90.0,10:01,27002.0,2.0,90.02,300.0
2019-11-01,90.025,90.03,90.03,10:02 AM,90.02,10:02,18005.0,2.0,90.02,200.0
2019-11-01,90.105,90.12,90.12,10:03 AM,90.105,10:03,26220.585,2.0,90.105,291.0
2019-11-01,90.115,90.115,90.115,10:04 AM,90.115,10:04,27034.5,1.0,90.115,300.0
2019-11-01,90.115,90.115,90.115,10:05 AM,90.115,10:05,9011.5,1.0,90.115,100.0
2019-11-01,,,,10:06 AM,,10:06,0.0,0.0,,0.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,90.25299999999999,90.26,90.26,10:08 AM,90.24,10:08,27076.0,3.0,90.24,300.0
2019-11-01,,,,10:09 AM,,10:09,0.0,0.0,,0.0
2019-11-01,90.345,90.35,90.35,10:10 AM,90.34,10:10,325242.0,6.0,90.34,3600.0
2019-11-01,,,,10:11 AM,,10:11,0.0,0.0,,0.0
2019-11-01,,,,10:12 AM,,10:12,0.0,0.0,,0.0
2019-11-01,,,,10:13 AM,,10:13,0.0,0.0,,0.0
2019-11-01,90.34700000000001,90.34,90.36,10:14 AM,90.34,10:14,27104.0,3.0,90.36,300.0
2019-11-01,90.34,90.34,90.34,10:15 AM,90.34,10:15,9034.0,1.0,90.34,100.0
2019-11-01,,,,10:16 AM,,10:16,0.0,0.0,,0.0
2019-11-01,90.4,90.4,90.4,10:17 AM,90.4,10:17,9040.0,1.0,90.4,100.0
2019-11-01,90.36399999999999,90.35,90.39,10:18 AM,90.35,10:18,45182.0,5.0,90.38,500.0
2019-11-01,,,,10:19 AM,,10:19,0.0,0.0,,0.0
2019-11-01,,,,10:20 AM,,10:20,0.0,0.0,,0.0
2019-11-01,90.363,90.35,90.38,10:21 AM,90.35,10:21,15723.12,2.0,90.38,174.0
2019-11-01,90.42,90.42,90.42,10:22 AM,90.42,10:22,9042.0,1.0,90.42,100.0
2019-11-01,,,,10:23 AM,,10:23,0.0,0.0,,0.0
2019-11-01,90.56299999999999,90.55,90.6,10:24 AM,90.55,10:24,36225.0,4.0,90.6,400.0
2019-11-01,90.51100000000001,90.51,90.515,10:25 AM,90.51,10:25,36204.5,3.0,90.515,400.0
2019-11-01,90.539,90.51,90.54,10:26 AM,90.51,10:26,9416.04,2.0,90.54,104.0
2019-11-01,90.45299999999999,90.455,90.455,10:27 AM,90.45,10:27,18090.5,2.0,90.45,200.0
2019-11-01,90.479,90.48,90.48,10:28 AM,90.44,10:28,9228.88,2.0,90.44,102.0
2019-11-01,,,,10:29 AM,,10:29,0.0,0.0,,0.0
2019-11-01,90.505,90.505,90.505,10:30 AM,90.505,10:30,9050.5,1.0,90.505,100.0
2019-11-01,,,,10:31 AM,,10:31,0.0,0.0,,0.0
