date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,107.899,107.86,107.97,09:32 AM,107.755,09:32,20069.27,5,107.97,186
2019-11-01,107.79,107.79,107.79,09:33 AM,107.79,09:33,1077.9,1,107.79,10
2019-11-01,107.965,107.965,107.98,09:34 AM,107.96,09:34,14035.5,4,107.96,130
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,107.874,107.9,107.9,09:36 AM,107.865,09:36,32685.7,3,107.865,303
2019-11-01,108.118,108.14,108.23,09:37 AM,108.0,09:37,21947.92,4,108.23,203
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,108.15,108.15,108.15,09:39 AM,108.15,09:39,21630.0,1,108.15,200
2019-11-01,108.15299999999999,107.985,108.2,09:40 AM,107.985,09:40,27038.25,3,108.19,250
2019-11-01,107.87700000000001,107.85,107.91,09:41 AM,107.85,09:41,43151.0,6,107.91,400
2019-11-01,107.855,107.855,107.855,09:42 AM,107.855,09:42,64713.0,2,107.855,600
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,107.84100000000001,107.885,107.885,09:44 AM,107.83,09:44,280709.005,5,107.83,2603
2019-11-01,107.777,107.745,107.89,09:45 AM,107.745,09:45,70055.0,3,107.89,650
2019-11-01,107.74,107.74,107.74,09:46 AM,107.74,09:46,53870.0,2,107.74,500
2019-11-01,107.59,107.59,107.59,09:47 AM,107.59,09:47,21518.0,2,107.59,200
2019-11-01,107.52,107.52,107.52,09:48 AM,107.52,09:48,21504.0,2,107.52,200
2019-11-01,107.54899999999999,107.55,107.55,09:49 AM,107.52,09:49,11077.56,2,107.52,103
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,107.555,107.56,107.57,09:51 AM,107.48,09:51,96799.5,5,107.48,900
2019-11-01,107.53200000000001,107.545,107.57,09:52 AM,107.5,09:52,155384.15,8,107.5,1445
2019-11-01,107.6,107.6,107.6,09:53 AM,107.6,09:53,32280.0,2,107.6,300
2019-11-01,107.69,107.69,107.69,09:54 AM,107.69,09:54,430.76,1,107.69,4
2019-11-01,107.71,107.71,107.71,09:55 AM,107.71,09:55,10771.0,1,107.71,100
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,107.74,107.74,107.74,09:57 AM,107.74,09:57,21548.0,1,107.74,200
2019-11-01,107.85600000000001,107.85,107.86,09:58 AM,107.85,09:58,37749.5,3,107.85,350
2019-11-01,107.73700000000001,107.705,107.79,09:59 AM,107.705,09:59,227970.46,8,107.79,2116
2019-11-01,107.71700000000001,107.72,107.755,10 AM,107.685,10:00,452410.5,8,107.73,4200
2019-11-01,107.75399999999999,107.79,107.835,10:01 AM,107.73,10:01,659777.25,9,107.825,6123
2019-11-01,107.837,107.85,107.86,10:02 AM,107.8,10:02,2124814.575,18,107.82,19704
2019-11-01,107.875,107.93,107.995,10:03 AM,107.86,10:03,1260197.76,8,107.86,11682
2019-11-01,107.90100000000001,107.94,107.985,10:04 AM,107.885,10:04,927946.5,6,107.91,8600
2019-11-01,107.87200000000001,107.92,107.97,10:05 AM,107.865,10:05,1178828.89,7,107.93,10928
2019-11-01,107.90100000000001,107.9,107.98,10:06 AM,107.895,10:06,876696.375,4,107.98,8125
2019-11-01,107.93,107.925,107.935,10:07 AM,107.925,10:07,118722.5,3,107.935,1100
2019-11-01,107.85700000000001,107.855,107.91,10:08 AM,107.845,10:08,594830.14,7,107.91,5515
2019-11-01,107.916,107.97,107.97,10:09 AM,107.91,10:09,226623.0,3,107.91,2100
2019-11-01,107.986,107.985,107.99,10:10 AM,107.985,10:10,43194.5,2,107.99,400
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,108.01299999999999,108.01,108.015,10:12 AM,108.01,10:12,53034.49,8,108.015,491
2019-11-01,107.885,107.885,107.885,10:13 AM,107.885,10:13,10788.5,1,107.885,100
2019-11-01,107.78,107.785,107.785,10:14 AM,107.75,10:14,15735.86,4,107.75,146
2019-11-01,107.8,107.8,107.8,10:15 AM,107.8,10:15,21560.0,2,107.8,200
2019-11-01,107.82700000000001,107.84,107.84,10:16 AM,107.81,10:16,32348.0,3,107.83,300
2019-11-01,107.839,107.89,107.89,10:17 AM,107.795,10:17,67183.63,5,107.845,623
2019-11-01,107.85,107.83,107.87,10:18 AM,107.83,10:18,21570.0,2,107.87,200
2019-11-01,107.73899999999999,107.725,107.74,10:19 AM,107.725,10:19,11420.35,3,107.74,106
2019-11-01,107.68299999999999,107.61,107.69,10:20 AM,107.61,10:20,11737.49,2,107.69,109
2019-11-01,107.56200000000001,107.565,107.565,10:21 AM,107.55,10:21,53781.0,2,107.55,500
2019-11-01,107.6,107.6,107.6,10:22 AM,107.6,10:22,2582.4,1,107.6,24
