date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,116.4,116.4,116.4,09:30 AM,116.4,09:30,11640.0,1,116.4,100
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,117.06,117.06,117.06,09:35 AM,117.06,09:35,351.18,1,117.06,3
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,117.195,117.195,117.195,09:38 AM,117.195,09:38,117.195,1,117.195,1
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,117.175,117.175,117.175,09:41 AM,117.175,09:41,117.175,1,117.175,1
2019-11-01,117.21,117.19,117.23,09:42 AM,117.17,09:42,23559.17,3,117.17,201
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,117.2,117.2,117.2,09:47 AM,117.2,09:47,11720.0,1,117.2,100
2019-11-01,117.249,117.23,117.25,09:48 AM,117.23,09:48,12076.695,3,117.25,103
2019-11-01,117.23,117.23,117.23,09:49 AM,117.23,09:49,468.92,1,117.23,4
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,117.34200000000001,117.275,117.375,09:53 AM,117.275,09:53,35319.84,4,117.375,301
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,117.335,117.335,117.335,09:56 AM,117.335,09:56,11733.5,1,117.335,100
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,117.435,117.43,117.47,10 AM,117.39,10:00,47913.44,6,117.39,408
2019-11-01,117.415,117.415,117.42,10:01 AM,117.41,10:01,35224.5,3,117.42,300
2019-11-01,117.45,117.44,117.46,10:02 AM,117.44,10:02,23490.0,2,117.46,200
2019-11-01,117.485,117.51,117.51,10:03 AM,117.455,10:03,35245.5,3,117.455,300
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,117.631,117.63,117.635,10:05 AM,117.63,10:05,47052.5,4,117.635,400
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,117.64,117.64,117.64,10:07 AM,117.64,10:07,11764.0,1,117.64,100
2019-11-01,117.595,117.59,117.6,10:08 AM,117.59,10:08,23519.0,2,117.6,200
2019-11-01,117.54,117.525,117.555,10:09 AM,117.525,10:09,23508.0,2,117.555,200
2019-11-01,117.56,117.56,117.56,10:10 AM,117.56,10:10,11756.0,1,117.56,100
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,117.625,117.625,117.625,10:12 AM,117.625,10:12,117.625,1,117.625,1
2019-11-01,117.65,117.65,117.65,10:13 AM,117.65,10:13,34471.45,5,117.65,293
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,117.719,117.72,117.72,10:16 AM,117.71,10:16,12360.55,3,117.71,105
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,117.68,117.67,117.73,10:18 AM,117.67,10:18,23653.73,3,117.73,201
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,117.59,117.59,117.59,10:27 AM,117.59,10:27,117.59,1,117.59,1
2019-11-01,117.51100000000001,117.51,117.535,10:28 AM,117.51,10:28,12221.125,3,117.53,104
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,117.57,117.57,117.57,10:32 AM,117.57,10:32,587.85,1,117.57,5
2019-11-01,117.58,117.58,117.58,10:33 AM,117.58,10:33,1528.54,2,117.58,13
2019-11-01,117.555,117.555,117.555,10:34 AM,117.555,10:34,117.555,1,117.555,1
2019-11-01,117.551,117.53,117.57,10:35 AM,117.53,10:35,12577.95,4,117.57,107
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,117.485,117.485,117.485,10:37 AM,117.485,10:37,117.485,1,117.485,1
2019-11-01,,,,10:38 AM,,10:38,0.0,0,,0
2019-11-01,,,,10:39 AM,,10:39,0.0,0,,0
2019-11-01,117.53,117.53,117.53,10:40 AM,117.53,10:40,117.53,1,117.53,1
2019-11-01,,,,10:41 AM,,10:41,0.0,0,,0
2019-11-01,,,,10:42 AM,,10:42,0.0,0,,0
2019-11-01,117.598,117.595,117.6,10:43 AM,117.595,10:43,1058.385,2,117.6,9
2019-11-01,117.59299999999999,117.595,117.595,10:44 AM,117.59,10:44,470.37,4,117.59,4
2019-11-01,117.56,117.56,117.56,10:45 AM,117.56,10:45,117.56,1,117.56,1
2019-11-01,117.555,117.555,117.555,10:46 AM,117.555,10:46,117.555,1,117.555,1
2019-11-01,117.51700000000001,117.5,117.545,10:47 AM,117.5,10:47,940.135,4,117.545,8
2019-11-01,117.47,117.47,117.47,10:48 AM,117.47,10:48,117.47,1,117.47,1
2019-11-01,117.40700000000001,117.395,117.42,10:49 AM,117.395,10:49,939.26,3,117.42,8
2019-11-01,117.41,117.41,117.41,10:50 AM,117.41,10:50,117.41,1,117.41,1
2019-11-01,,,,10:51 AM,,10:51,0.0,0,,0
2019-11-01,117.42,117.42,117.42,10:52 AM,117.42,10:52,117.42,1,117.42,1
2019-11-01,117.505,117.5,117.51,10:53 AM,117.5,10:53,470.02,2,117.51,4
2019-11-01,117.57,117.57,117.57,10:54 AM,117.57,10:54,117.57,1,117.57,1
2019-11-01,117.541,117.54,117.545,10:55 AM,117.54,10:55,470.165,2,117.545,4
2019-11-01,117.56700000000001,117.575,117.575,10:56 AM,117.56,10:56,235.135,2,117.56,2
2019-11-01,117.48700000000001,117.48,117.49,10:57 AM,117.48,10:57,469.95,2,117.49,4
2019-11-01,,,,10:58 AM,,10:58,0.0,0,,0
2019-11-01,,,,10:59 AM,,10:59,0.0,0,,0
2019-11-01,117.56,117.56,117.56,11 AM,117.56,11:00,117.56,1,117.56,1
2019-11-01,117.53,117.53,117.53,11:01 AM,117.53,11:01,1292.83,1,117.53,11
2019-11-01,,,,11:02 AM,,11:02,0.0,0,,0
2019-11-01,,,,11:03 AM,,11:03,0.0,0,,0
2019-11-01,,,,11:04 AM,,11:04,0.0,0,,0
2019-11-01,,,,11:05 AM,,11:05,0.0,0,,0
2019-11-01,,,,11:06 AM,,11:06,0.0,0,,0
2019-11-01,117.42,117.41,117.425,11:07 AM,117.41,11:07,352.26,2,117.425,3
2019-11-01,117.38,117.38,117.38,11:08 AM,117.38,11:08,117.38,1,117.38,1
2019-11-01,117.405,117.405,117.405,11:09 AM,117.405,11:09,117.405,1,117.405,1
2019-11-01,117.41,117.39,117.425,11:10 AM,117.39,11:10,10801.715,4,117.425,92
2019-11-01,,,,11:11 AM,,11:11,0.0,0,,0
2019-11-01,117.41,117.41,117.41,11:12 AM,117.41,11:12,234.82,2,117.41,2
2019-11-01,117.45299999999999,117.44,117.465,11:13 AM,117.44,11:13,234.905,2,117.465,2
2019-11-01,,,,11:14 AM,,11:14,0.0,0,,0
2019-11-01,117.441,117.475,117.475,11:15 AM,117.44,11:15,13740.655,3,117.44,117
2019-11-01,117.475,117.475,117.475,11:16 AM,117.475,11:16,11747.5,1,117.475,100
2019-11-01,117.45,117.45,117.46,11:17 AM,117.45,11:17,23959.82,5,117.46,204
2019-11-01,117.448,117.44,117.45,11:18 AM,117.44,11:18,469.79,2,117.45,4
2019-11-01,117.415,117.415,117.415,11:19 AM,117.415,11:19,117.415,1,117.415,1
2019-11-01,117.395,117.39,117.405,11:20 AM,117.39,11:20,469.58,4,117.405,4
2019-11-01,,,,11:21 AM,,11:21,0.0,0,,0
2019-11-01,117.34,117.33,117.36,11:22 AM,117.33,11:22,17601.0,2,117.36,150
2019-11-01,117.38600000000001,117.365,117.39,11:23 AM,117.365,11:23,821.705,3,117.39,7
2019-11-01,117.365,117.365,117.365,11:24 AM,117.365,11:24,117.365,1,117.365,1
2019-11-01,,,,11:25 AM,,11:25,0.0,0,,0
2019-11-01,117.37299999999999,117.37,117.41,11:26 AM,117.37,11:26,8450.84,3,117.41,72
2019-11-01,117.4,117.405,117.405,11:27 AM,117.395,11:27,234.8,2,117.395,2
2019-11-01,117.41,117.41,117.41,11:28 AM,117.41,11:28,117.41,1,117.41,1
2019-11-01,117.475,117.475,117.475,11:29 AM,117.475,11:29,234.95,1,117.475,2
