date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,95.36,95.36,95.36,09:34 AM,95.36,09:34,9536.0,1,95.36,100
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,95.5,95.5,95.5,09:36 AM,95.5,09:36,95.5,1,95.5,1
2019-11-01,95.59,95.59,95.595,09:37 AM,95.59,09:37,9750.19,2,95.595,102
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,95.34,95.34,95.34,09:39 AM,95.34,09:39,9534.0,1,95.34,100
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,95.405,95.405,95.405,09:43 AM,95.405,09:43,190.81,1,95.405,2
2019-11-01,95.35,95.35,95.35,09:44 AM,95.35,09:44,9535.0,1,95.35,100
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,95.17,95.17,95.17,09:49 AM,95.17,09:49,475.85,1,95.17,5
2019-11-01,95.15,95.14,95.16,09:50 AM,95.14,09:50,19030.0,2,95.16,200
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,95.235,95.235,95.235,09:52 AM,95.235,09:52,9523.5,1,95.235,100
2019-11-01,95.286,95.32,95.32,09:53 AM,95.285,09:53,9719.14,2,95.285,102
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,95.325,95.325,95.325,09:57 AM,95.325,09:57,9532.5,1,95.325,100
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,95.43,95.43,95.43,09:59 AM,95.43,09:59,190.86,1,95.43,2
2019-11-01,95.365,95.38,95.38,10 AM,95.36,10:00,38146.0,3,95.36,400
2019-11-01,95.46,95.46,95.46,10:01 AM,95.46,10:01,9546.0,1,95.46,100
2019-11-01,95.522,95.565,95.565,10:02 AM,95.48,10:02,19104.5,2,95.48,200
2019-11-01,95.65,95.65,95.65,10:03 AM,95.65,10:03,9565.0,1,95.65,100
2019-11-01,95.758,95.735,95.77,10:04 AM,95.735,10:04,28727.5,3,95.77,300
2019-11-01,95.73,95.73,95.73,10:05 AM,95.73,10:05,9573.0,1,95.73,100
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,95.765,95.765,95.765,10:07 AM,95.765,10:07,9576.5,1,95.765,100
2019-11-01,95.773,95.705,95.815,10:08 AM,95.7,10:08,28827.705,4,95.815,301
2019-11-01,95.705,95.705,95.705,10:09 AM,95.705,10:09,9570.5,1,95.705,100
2019-11-01,95.64399999999999,95.62,95.69,10:10 AM,95.62,10:10,49639.07,6,95.69,519
2019-11-01,95.619,95.59,95.62,10:11 AM,95.59,10:11,9753.18,2,95.62,102
2019-11-01,95.54,95.54,95.54,10:12 AM,95.54,10:12,2770.66,1,95.54,29
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,95.541,95.54,95.56,10:14 AM,95.52,10:14,38503.07,6,95.54,403
2019-11-01,95.55,95.51,95.55,10:15 AM,95.51,10:15,9650.51,2,95.55,101
2019-11-01,95.48100000000001,95.485,95.54,10:16 AM,95.47,10:16,29217.13,8,95.49,306
2019-11-01,95.428,95.485,95.5,10:17 AM,95.39,10:17,48382.295,6,95.5,507
2019-11-01,95.46,95.45,95.46,10:18 AM,95.45,10:18,9736.9,2,95.46,102
2019-11-01,95.40299999999999,95.41,95.41,10:19 AM,95.36,10:19,22324.24,2,95.36,234
2019-11-01,95.38,95.38,95.38,10:20 AM,95.38,10:20,9538.0,1,95.38,100
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,95.38,95.38,95.38,10:22 AM,95.36,10:22,9633.36,2,95.36,101
2019-11-01,95.455,95.47,95.47,10:23 AM,95.44,10:23,19091.0,2,95.44,200
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,95.54799999999999,95.54,95.64,10:25 AM,95.52,10:25,81311.05,12,95.64,851
2019-11-01,95.574,95.6,95.6,10:26 AM,95.55,10:26,38229.5,4,95.55,400
2019-11-01,95.58,95.59,95.59,10:27 AM,95.57,10:27,19116.0,2,95.57,200
2019-11-01,95.59,95.59,95.59,10:28 AM,95.59,10:28,9559.0,1,95.59,100
2019-11-01,95.61,95.61,95.61,10:29 AM,95.61,10:29,9561.0,1,95.61,100
