date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,29.97,29.99,29.995,09:30 AM,29.93,09:30,17052.81,6,29.995,569
2019-11-01,29.945,29.95,29.96,09:31 AM,29.925,09:31,11978.0,4,29.945,400
2019-11-01,29.94,29.985,30.0,09:32 AM,29.9,09:32,55299.54,11,29.91,1847
2019-11-01,29.93,29.9,29.96,09:33 AM,29.9,09:33,5986.0,2,29.96,200
2019-11-01,29.945,29.945,29.945,09:34 AM,29.945,09:34,2994.5,1,29.945,100
2019-11-01,29.995,30.02,30.06,09:35 AM,29.945,09:35,50602.185,13,29.945,1687
2019-11-01,30.024,30.05,30.05,09:36 AM,29.99,09:36,24169.65,9,30.02,805
2019-11-01,30.134,30.19,30.2,09:37 AM,30.04,09:37,46105.655,18,30.065,1530
2019-11-01,30.193,30.16,30.25,09:38 AM,30.14,09:38,89099.01,24,30.2,2951
2019-11-01,30.206999999999997,30.22,30.22,09:39 AM,30.17,09:39,25162.26,10,30.17,833
2019-11-01,30.160999999999998,30.17,30.19,09:40 AM,30.14,09:40,23525.31,9,30.17,780
2019-11-01,30.14,30.15,30.165,09:41 AM,30.13,09:41,62721.375,15,30.14,2081
2019-11-01,30.138,30.1,30.155,09:42 AM,30.1,09:42,84386.0,13,30.155,2800
2019-11-01,30.138,30.09,30.15,09:43 AM,30.09,09:43,41168.94,4,30.14,1366
2019-11-01,30.094,30.095,30.1,09:44 AM,30.07,09:44,25399.69,6,30.1,844
2019-11-01,30.041,30.04,30.05,09:45 AM,30.035,09:45,57079.0,6,30.04,1900
2019-11-01,30.045,30.045,30.045,09:46 AM,30.045,09:46,15022.5,4,30.045,500
2019-11-01,30.059,30.035,30.07,09:47 AM,30.035,09:47,17915.52,9,30.06,596
2019-11-01,30.014,30.03,30.03,09:48 AM,30.0,09:48,38177.18,15,30.025,1272
2019-11-01,29.99,29.97,30.03,09:49 AM,29.97,09:49,27891.1,8,30.03,930
2019-11-01,29.938000000000002,29.995,29.995,09:50 AM,29.92,09:50,46044.84,7,29.95,1538
2019-11-01,30.009,30.03,30.03,09:51 AM,29.97,09:51,63020.0,14,30.0,2100
2019-11-01,30.023000000000003,30.01,30.035,09:52 AM,30.01,09:52,36178.175,8,30.025,1205
2019-11-01,30.05,30.05,30.05,09:53 AM,30.05,09:53,3005.0,1,30.05,100
2019-11-01,30.06,30.06,30.06,09:54 AM,30.06,09:54,6012.0,2,30.06,200
2019-11-01,30.06,30.035,30.075,09:55 AM,30.035,09:55,7815.6,3,30.075,260
2019-11-01,30.019000000000002,30.04,30.04,09:56 AM,30.0,09:56,15009.5,5,30.015,500
2019-11-01,30.006999999999998,30.0,30.01,09:57 AM,30.0,09:57,30007.0,9,30.01,1000
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,29.983,29.96,29.99,09:59 AM,29.96,09:59,18079.97,6,29.985,603
2019-11-01,29.912,29.92,29.955,10 AM,29.9,10:00,26921.0,9,29.955,900
2019-11-01,29.939,29.94,29.94,10:01 AM,29.935,10:01,3293.35,2,29.935,110
2019-11-01,29.954,29.955,29.98,10:02 AM,29.915,10:02,20279.235,8,29.915,677
2019-11-01,29.956,29.955,29.985,10:03 AM,29.945,10:03,19680.985,11,29.985,657
2019-11-01,29.945999999999998,29.945,29.955,10:04 AM,29.945,10:04,3713.27,4,29.955,124
2019-11-01,29.956999999999997,29.955,29.96,10:05 AM,29.935,10:05,51106.26,11,29.935,1706
2019-11-01,29.97,29.965,29.985,10:06 AM,29.955,10:06,9500.405,4,29.985,317
2019-11-01,29.967,29.955,29.99,10:07 AM,29.955,10:07,12226.42,5,29.99,408
2019-11-01,29.926,29.915,29.955,10:08 AM,29.915,10:08,13766.11,9,29.955,460
2019-11-01,29.82,29.825,29.825,10:09 AM,29.82,10:09,16699.5,6,29.82,560
2019-11-01,29.82800000000001,29.825,29.835,10:10 AM,29.825,10:10,13721.1,5,29.835,460
2019-11-01,29.82800000000001,29.83,29.845,10:11 AM,29.82,10:11,71586.5,8,29.825,2400
2019-11-01,29.845,29.845,29.845,10:12 AM,29.84,10:12,22413.34,8,29.845,751
2019-11-01,29.874000000000002,29.875,29.875,10:13 AM,29.86,10:13,13234.04,6,29.875,443
2019-11-01,29.849,29.83,29.87,10:14 AM,29.83,10:14,54533.41,12,29.865,1827
2019-11-01,29.826,29.85,29.855,10:15 AM,29.82,10:15,33614.045,4,29.835,1127
2019-11-01,29.831999999999997,29.82,29.85,10:16 AM,29.82,10:16,17899.0,6,29.85,600
2019-11-01,29.79,29.75,29.81,10:17 AM,29.75,10:17,33364.5,12,29.81,1120
2019-11-01,29.721,29.725,29.755,10:18 AM,29.7,10:18,65476.29,24,29.755,2203
2019-11-01,29.73,29.73,29.73,10:19 AM,29.72,10:19,6243.2,4,29.72,210
2019-11-01,29.74,29.74,29.74,10:20 AM,29.74,10:20,5948.0,2,29.74,200
2019-11-01,29.725,29.73,29.75,10:21 AM,29.72,10:21,19321.5,5,29.75,650
2019-11-01,29.776999999999997,29.79,29.815,10:22 AM,29.725,10:22,30789.215,11,29.725,1034
2019-11-01,29.81,29.81,29.81,10:23 AM,29.81,10:23,8943.0,3,29.81,300
2019-11-01,29.849,29.88,29.88,10:24 AM,29.825,10:24,9790.52,4,29.825,328
2019-11-01,29.886999999999997,29.89,29.895,10:25 AM,29.885,10:25,20921.0,6,29.885,700
2019-11-01,29.875,29.885,29.885,10:26 AM,29.865,10:26,32862.5,11,29.885,1100
2019-11-01,29.874000000000002,29.885,29.885,10:27 AM,29.86,10:27,35848.5,9,29.885,1200
2019-11-01,29.875,29.885,29.885,10:28 AM,29.865,10:28,16132.6,5,29.87,540
2019-11-01,29.871,29.86,29.895,10:29 AM,29.86,10:29,20909.5,7,29.895,700
2019-11-01,29.866,29.875,29.875,10:30 AM,29.86,10:30,17919.5,5,29.86,600
2019-11-01,29.86,29.84,29.875,10:31 AM,29.84,10:31,27888.905,13,29.875,934
2019-11-01,29.784000000000002,29.785,29.805,10:32 AM,29.77,10:32,15547.47,7,29.805,522
2019-11-01,29.776999999999997,29.775,29.785,10:33 AM,29.77,10:33,8933.0,3,29.785,300
2019-11-01,29.765,29.775,29.775,10:34 AM,29.755,10:34,20835.5,6,29.755,700
2019-11-01,29.77,29.77,29.775,10:35 AM,29.76,10:35,22416.78,7,29.775,753
2019-11-01,29.775,29.805,29.805,10:36 AM,29.765,10:36,22271.76,10,29.765,748
2019-11-01,29.795,29.79,29.8,10:37 AM,29.79,10:37,5959.0,2,29.8,200
2019-11-01,29.776,29.77,29.78,10:38 AM,29.765,10:38,29984.355,10,29.78,1007
2019-11-01,29.772,29.78,29.78,10:39 AM,29.765,10:39,12504.365,4,29.765,420
2019-11-01,29.766,29.77,29.77,10:40 AM,29.765,10:40,21193.74,3,29.765,712
2019-11-01,29.771,29.775,29.775,10:41 AM,29.77,10:41,9794.835,4,29.77,329
2019-11-01,29.744,29.745,29.745,10:42 AM,29.74,10:42,32718.0,4,29.74,1100
2019-11-01,29.747,29.79,29.79,10:43 AM,29.735,10:43,98759.2,14,29.745,3320
2019-11-01,29.776999999999997,29.78,29.79,10:44 AM,29.77,10:44,41687.5,12,29.79,1400
2019-11-01,29.745,29.745,29.75,10:45 AM,29.74,10:45,92120.265,20,29.74,3097
2019-11-01,29.743000000000002,29.745,29.75,10:46 AM,29.74,10:46,27155.185,8,29.74,913
2019-11-01,29.741999999999997,29.74,29.75,10:47 AM,29.735,10:47,45654.075,12,29.74,1535
2019-11-01,29.721999999999998,29.72,29.74,10:48 AM,29.715,10:48,51122.5,13,29.73,1720
2019-11-01,29.718000000000004,29.72,29.72,10:49 AM,29.715,10:49,39168.96,4,29.715,1318
2019-11-01,29.748,29.765,29.765,10:50 AM,29.735,10:50,18652.155,7,29.735,627
2019-11-01,29.75800000000001,29.74,29.765,10:51 AM,29.74,10:51,17855.0,6,29.765,600
2019-11-01,29.725,29.75,29.75,10:52 AM,29.71,10:52,66317.29,13,29.74,2231
2019-11-01,29.75800000000001,29.76,29.78,10:53 AM,29.755,10:53,12200.8,5,29.78,410
