date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,119.236,119.21,119.59,09:30 AM,119.02,09:30,306437.4,17,119.12,2570
2019-11-01,119.01299999999999,118.99,119.05,09:31 AM,118.985,09:31,59506.5,4,118.985,500
2019-11-01,118.7,118.655,118.745,09:32 AM,118.655,09:32,47480.0,2,118.745,400
2019-11-01,118.531,118.43,118.695,09:33 AM,118.43,09:33,109285.96,6,118.695,922
2019-11-01,118.492,118.505,118.505,09:34 AM,118.48,09:34,86262.44,7,118.48,728
2019-11-01,118.64299999999999,118.7,118.71,09:35 AM,118.525,09:35,83050.0,4,118.525,700
2019-11-01,118.77,118.66,118.87,09:36 AM,118.66,09:36,35631.0,3,118.87,300
2019-11-01,118.773,118.765,118.79,09:37 AM,118.765,09:37,35632.0,2,118.79,300
2019-11-01,118.715,118.67,118.72,09:38 AM,118.67,09:38,49385.42,6,118.71,416
2019-11-01,118.71,118.7,118.74,09:39 AM,118.69,09:39,47484.0,4,118.69,400
2019-11-01,118.62799999999999,118.555,118.69,09:40 AM,118.555,09:40,94783.755,8,118.635,799
2019-11-01,118.228,118.2,118.41,09:41 AM,118.19,09:41,56867.71,7,118.41,481
2019-11-01,118.255,118.36,118.36,09:42 AM,118.15,09:42,23651.0,2,118.15,200
2019-11-01,118.39,118.38,118.4,09:43 AM,118.38,09:43,23678.0,3,118.4,200
2019-11-01,118.464,118.51,118.51,09:44 AM,118.43,09:44,84346.43,9,118.435,712
2019-11-01,118.51299999999999,118.53,118.53,09:45 AM,118.495,09:45,35554.0,3,118.495,300
2019-11-01,118.57,118.48,118.6,09:46 AM,118.48,09:46,47428.0,3,118.6,400
2019-11-01,118.435,118.435,118.435,09:47 AM,118.435,09:47,11843.5,1,118.435,100
2019-11-01,118.493,118.48,118.51,09:48 AM,118.48,09:48,218028.02,12,118.51,1840
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,118.67,118.67,118.67,09:50 AM,118.67,09:50,23734.0,5,118.67,200
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,118.596,118.59,118.61,09:52 AM,118.58,09:52,47438.5,6,118.61,400
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,118.77,118.77,118.77,09:54 AM,118.77,09:54,11877.0,1,118.77,100
2019-11-01,118.93299999999999,118.91,118.97,09:55 AM,118.91,09:55,83253.0,3,118.97,700
2019-11-01,118.9,118.9,118.9,09:56 AM,118.9,09:56,11890.0,1,118.9,100
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,118.75,118.75,118.75,09:58 AM,118.75,09:58,11875.0,3,118.75,100
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,118.63799999999999,118.64,118.69,10 AM,118.6,10:00,47455.0,4,118.69,400
2019-11-01,118.65299999999999,118.63,118.68,10:01 AM,118.63,10:01,71191.5,6,118.635,600
2019-11-01,118.62,118.62,118.62,10:02 AM,118.62,10:02,59310.0,2,118.62,500
2019-11-01,118.895,118.895,118.895,10:03 AM,118.895,10:03,35668.5,2,118.895,300
2019-11-01,118.885,118.885,118.885,10:04 AM,118.885,10:04,56470.375,2,118.885,475
2019-11-01,118.87,118.87,118.87,10:05 AM,118.87,10:05,178305.0,1,118.87,1500
2019-11-01,118.97399999999999,118.945,118.995,10:06 AM,118.945,10:06,59487.0,5,118.995,500
2019-11-01,118.86399999999999,118.86,118.88,10:07 AM,118.86,10:07,57767.68,2,118.88,486
2019-11-01,118.639,118.63,118.655,10:08 AM,118.63,10:08,83047.5,6,118.65,700
2019-11-01,118.693,118.67,118.76,10:09 AM,118.65,10:09,35608.0,3,118.65,300
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,118.639,118.635,118.655,10:11 AM,118.635,10:11,59319.5,2,118.655,500
2019-11-01,118.67200000000001,118.695,118.7,10:12 AM,118.605,10:12,106805.0,8,118.655,900
2019-11-01,118.694,118.68,118.71,10:13 AM,118.68,10:13,54124.32,8,118.695,456
2019-11-01,118.62799999999999,118.64,118.64,10:14 AM,118.625,10:14,106765.5,5,118.625,900
2019-11-01,118.64299999999999,118.62,118.7,10:15 AM,118.62,10:15,163846.66,8,118.68,1381
2019-11-01,118.6,118.59,118.62,10:16 AM,118.59,10:16,59300.0,5,118.62,500
2019-11-01,118.561,118.495,118.59,10:17 AM,118.495,10:17,109787.32,7,118.59,926
2019-11-01,118.53299999999999,118.505,118.6,10:18 AM,118.505,10:18,82973.0,4,118.56,700
