date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,50.36,50.36,50.36,09:30 AM,50.36,09:30,5036.0,1,50.36,100
2019-11-01,50.37,50.37,50.37,09:31 AM,50.37,09:31,5037.0,1,50.37,100
2019-11-01,50.371,50.375,50.375,09:32 AM,50.37,09:32,20148.5,2,50.37,400
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,50.326,50.3,50.37,09:34 AM,50.3,09:34,25414.68,4,50.37,505
2019-11-01,50.31,50.37,50.37,09:35 AM,50.3,09:35,905.59,4,50.3,18
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,50.4,50.43,50.43,09:37 AM,50.37,09:37,10281.575,5,50.37,204
2019-11-01,50.415,50.415,50.415,09:38 AM,50.415,09:38,201.66,2,50.415,4
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,50.446999999999996,50.44,50.46,09:40 AM,50.44,09:40,403.58,3,50.46,8
2019-11-01,50.464,50.46,50.475,09:41 AM,50.45,09:41,403.71,3,50.475,8
2019-11-01,50.498999999999995,50.595,50.595,09:42 AM,50.465,09:42,15705.3,11,50.465,311
2019-11-01,50.595,50.585,50.61,09:43 AM,50.585,09:43,151.785,3,50.61,3
2019-11-01,50.585,50.585,50.585,09:44 AM,50.585,09:44,50.585,1,50.585,1
2019-11-01,50.607,50.605,50.62,09:45 AM,50.605,09:45,404.855,5,50.605,8
2019-11-01,50.597,50.605,50.605,09:46 AM,50.595,09:46,10220.705,4,50.595,202
2019-11-01,50.565,50.545,50.58,09:47 AM,50.545,09:47,15169.5,3,50.57,300
2019-11-01,50.565,50.585,50.585,09:48 AM,50.56,09:48,10467.02,5,50.565,207
2019-11-01,50.547,50.535,50.55,09:49 AM,50.535,09:49,252.735,2,50.55,5
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,50.55,50.55,50.55,09:51 AM,50.55,09:51,5307.75,4,50.55,105
2019-11-01,50.525,50.525,50.525,09:52 AM,50.525,09:52,101.05,1,50.525,2
2019-11-01,50.515,50.515,50.515,09:53 AM,50.515,09:53,5102.015,2,50.515,101
2019-11-01,50.488,50.475,50.515,09:54 AM,50.475,09:54,151.465,2,50.515,3
2019-11-01,50.45,50.445,50.45,09:55 AM,50.445,09:55,3935.09,3,50.45,78
2019-11-01,50.4,50.4,50.4,09:56 AM,50.4,09:56,50.4,1,50.4,1
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,50.36,50.37,50.37,09:59 AM,50.36,09:59,15762.81,4,50.36,313
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,50.415,50.415,50.415,10:01 AM,50.415,10:01,5041.5,1,50.415,100
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,50.355,50.355,50.355,10:03 AM,50.355,10:03,5035.5,1,50.355,100
2019-11-01,50.31,50.31,50.31,10:04 AM,50.31,10:04,5031.0,1,50.31,100
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
